commit ID;text;predicted_decision;predicted_rationale
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"Code can instead ask ""how large an allocation
would I get for a given size?""";1;1
C_kwDOACN7MtoAKDA1YTk0MDY1NmUxZWIyMDI2ZDllZTMxMDE5ZDViNDdlOTU0NTEyNGQ;"Introduce kmalloc_size_roundup(), to serve this function so we can start
replacing the ""anticipatory resizing"" uses of ksize().";1;1
C_kwDOACN7MtoAKDhkZmE5ZDU1NDA2MTg3M2Y5NjMzNTczMGZiMWQ0MDM2OThiMmIxYjQ;mm/slab_common: move declaration of __ksize() to mm/slab.h;1;0
C_kwDOACN7MtoAKDhkZmE5ZDU1NDA2MTg3M2Y5NjMzNTczMGZiMWQ0MDM2OThiMmIxYjQ;__ksize() is only called by KASAN;0;0
C_kwDOACN7MtoAKDhkZmE5ZDU1NDA2MTg3M2Y5NjMzNTczMGZiMWQ0MDM2OThiMmIxYjQ;"Remove export symbol and move
declaration to mm/slab.h as we don't want to grow its callers.";1;1
C_kwDOACN7MtoAKDJjMWQ2OTdmYjhiYTZkMmQ0NGY5MTRkNDI2OGFlMWNjZGYwMjVmMWI;mm/slab_common: drop kmem_alloc & avoid dereferencing fields when not using;1;0
C_kwDOACN7MtoAKDJjMWQ2OTdmYjhiYTZkMmQ0NGY5MTRkNDI2OGFlMWNjZGYwMjVmMWI;"Drop kmem_alloc event class, and define kmalloc and kmem_cache_alloc
using TRACE_EVENT() macro";0;0
C_kwDOACN7MtoAKDJjMWQ2OTdmYjhiYTZkMmQ0NGY5MTRkNDI2OGFlMWNjZGYwMjVmMWI;And then this patch does;1;0
C_kwDOACN7MtoAKDJjMWQ2OTdmYjhiYTZkMmQ0NGY5MTRkNDI2OGFlMWNjZGYwMjVmMWI;   - Do not pass pointer to struct kmem_cache to trace_kmalloc;1;0
C_kwDOACN7MtoAKDJjMWQ2OTdmYjhiYTZkMmQ0NGY5MTRkNDI2OGFlMWNjZGYwMjVmMWI;     gfp flag is enough to know if it's accounted or not;0;1
C_kwDOACN7MtoAKDJjMWQ2OTdmYjhiYTZkMmQ0NGY5MTRkNDI2OGFlMWNjZGYwMjVmMWI;   - Avoid dereferencing s->object_size and s->size when not using kmem_cache_alloc event;1;0
C_kwDOACN7MtoAKDJjMWQ2OTdmYjhiYTZkMmQ0NGY5MTRkNDI2OGFlMWNjZGYwMjVmMWI;   - Avoid dereferencing s->name in when not using kmem_cache_free event;0;1
C_kwDOACN7MtoAKDJjMWQ2OTdmYjhiYTZkMmQ0NGY5MTRkNDI2OGFlMWNjZGYwMjVmMWI;   - Adjust s->size to SLOB_UNITS(s->size) * SLOB_UNIT in SLOB;1;0
C_kwDOACN7MtoAKDExZTk3MzRiY2I2YTczNjE5NDNmOTkzZWJhNGU5N2Y1ODEyMTIwZDg;mm/slab_common: unify NUMA and UMA version of tracepoints;1;1
C_kwDOACN7MtoAKDExZTk3MzRiY2I2YTczNjE5NDNmOTkzZWJhNGU5N2Y1ODEyMTIwZDg;"Drop kmem_alloc event class, rename kmem_alloc_node to kmem_alloc, and
remove _node postfix for NUMA version of tracepoints";0;0
C_kwDOACN7MtoAKDExZTk3MzRiY2I2YTczNjE5NDNmOTkzZWJhNGU5N2Y1ODEyMTIwZDg;"This will break some tools that depend on {kmem_cache_alloc,kmalloc}_node,
but at this point maintaining both kmem_alloc and kmem_alloc_node
event classes does not makes sense at all.";0;0
C_kwDOACN7MtoAKGM0NTI0OGRiMDRmOGUzYWNhNDc5OGQ2N2EzOTRmYjljYzIxNjgxMTg;mm/slab_common: cleanup kmalloc_track_caller();1;1
C_kwDOACN7MtoAKGM0NTI0OGRiMDRmOGUzYWNhNDc5OGQ2N2EzOTRmYjljYzIxNjgxMTg;Make kmalloc_track_caller() wrapper of kmalloc_node_track_caller().;1;1
C_kwDOACN7MtoAKGY3OGEwM2Y2ZTI4YmUwMjgzZjczZDNjMThiNTQ4MzdiNjM4YThjY2Y;mm/slab_common: remove CONFIG_NUMA ifdefs for common kmalloc functions;1;0
C_kwDOACN7MtoAKGY3OGEwM2Y2ZTI4YmUwMjgzZjczZDNjMThiNTQ4MzdiNjM4YThjY2Y;"Now that slab_alloc_node() is available for SLAB when CONFIG_NUMA=n,
remove CONFIG_NUMA ifdefs for common kmalloc functions.";1;1
C_kwDOACN7MtoAKDMwNDE4MDhiNTIyMDMxZGNjZmJkODk4ZTUyMDEwOTU2OWYwMzk4NjA;mm/slab_common: move generic bulk alloc/free functions to SLOB;1;0
C_kwDOACN7MtoAKDMwNDE4MDhiNTIyMDMxZGNjZmJkODk4ZTUyMDEwOTU2OWYwMzk4NjA;SLOB;0;0
C_kwDOACN7MtoAKDMwNDE4MDhiNTIyMDMxZGNjZmJkODk4ZTUyMDEwOTU2OWYwMzk4NjA;No functional change intended.;1;0
C_kwDOACN7MtoAKGIzNDdhYTdiNTc0NzdmNzFjNzQwZTJiYmM2ZDEwNzhhNzEwOWJhMjM;mm/tracing: add 'accounted' entry into output of allocation tracepoints;1;0
C_kwDOACN7MtoAKGIzNDdhYTdiNTc0NzdmNzFjNzQwZTJiYmM2ZDEwNzhhNzEwOWJhMjM;"Slab caches marked with SLAB_ACCOUNT force accounting for every
allocation from this cache even if __GFP_ACCOUNT flag is not passed";1;1
C_kwDOACN7MtoAKGIzNDdhYTdiNTc0NzdmNzFjNzQwZTJiYmM2ZDEwNzhhNzEwOWJhMjM;"Unfortunately, at the moment this flag is not visible in ftrace output,
and this makes it difficult to analyze the accounted allocations";0;1
C_kwDOACN7MtoAKGIzNDdhYTdiNTc0NzdmNzFjNzQwZTJiYmM2ZDEwNzhhNzEwOWJhMjM;"This patch adds boolean ""accounted"" entry into trace output,
and set it to 'true' for calls used __GFP_ACCOUNT flag and
for allocations from caches marked with SLAB_ACCOUNT";1;0
C_kwDOACN7MtoAKGIzNDdhYTdiNTc0NzdmNzFjNzQwZTJiYmM2ZDEwNzhhNzEwOWJhMjM;Set it to 'false' if accounting is disabled in configs.;0;0
C_kwDOACN7MtoAKGQ5NDlhODE1NWQxMzlhYTg5MDc5NWI4MDIwMDRhMTk2YjdmMDA1OTg;mm: make minimum slab alignment a runtime property;1;0
C_kwDOACN7MtoAKGQ5NDlhODE1NWQxMzlhYTg5MDc5NWI4MDIwMDRhMTk2YjdmMDA1OTg;"When CONFIG_KASAN_HW_TAGS is enabled we currently increase the minimum
slab alignment to 16";1;1
C_kwDOACN7MtoAKGQ5NDlhODE1NWQxMzlhYTg5MDc5NWI4MDIwMDRhMTk2YjdmMDA1OTg;" This happens even if MTE is not supported in
hardware or disabled via kasan=off, which creates an unnecessary memory
overhead in those cases";1;1
C_kwDOACN7MtoAKGQ5NDlhODE1NWQxMzlhYTg5MDc5NWI4MDIwMDRhMTk2YjdmMDA1OTg;" Eliminate this overhead by making the minimum
slab alignment a runtime property and only aligning to 16 if KASAN is
enabled at runtime";1;0
C_kwDOACN7MtoAKGQ5NDlhODE1NWQxMzlhYTg5MDc5NWI4MDIwMDRhMTk2YjdmMDA1OTg;"On a DragonBoard 845c (non-MTE hardware) with a kernel built with
CONFIG_KASAN_HW_TAGS, waiting for quiescence after a full Android boot I
see the following Slab measurements in /proc/meminfo (median of 3
reboots)";1;1
C_kwDOACN7MtoAKGQ5NDlhODE1NWQxMzlhYTg5MDc5NWI4MDIwMDRhMTk2YjdmMDA1OTg;"Before: 169020 kB
After:  167304 kB";0;0
C_kwDOACN7MtoAKDJkZmU2M2U2MWNjMzFlZTU5Y2U5NTE2NzJiMDg1MGI1MjI5Y2Q1YjA;mm, kfence: support kmem_dump_obj() for KFENCE objects;0;0
C_kwDOACN7MtoAKDJkZmU2M2U2MWNjMzFlZTU5Y2U5NTE2NzJiMDg1MGI1MjI5Y2Q1YjA;"Calling kmem_obj_info() via kmem_dump_obj() on KFENCE objects has been
producing garbage data due to the object not actually being maintained
by SLAB or SLUB";0;0
C_kwDOACN7MtoAKDJkZmU2M2U2MWNjMzFlZTU5Y2U5NTE2NzJiMDg1MGI1MjI5Y2Q1YjA;"Fix this by implementing __kfence_obj_info() that copies relevant
information to struct kmem_obj_info when the object was allocated by
KFENCE; this is called by a common kmem_obj_info(), which also calls the
slab/slub/slob specific variant now called __kmem_obj_info()";0;0
C_kwDOACN7MtoAKDJkZmU2M2U2MWNjMzFlZTU5Y2U5NTE2NzJiMDg1MGI1MjI5Y2Q1YjA;"For completeness, kmem_dump_obj() now displays if the object was
allocated by KFENCE.";0;0
C_kwDOACN7MtoAKDg4ZjJlZjczZmQ2NjQ5MWEyZjlhODIzNzNkMjJjYTY1NDBmMjNjNjI;mm: introduce kmem_cache_alloc_lru;1;0
C_kwDOACN7MtoAKDg4ZjJlZjczZmQ2NjQ5MWEyZjlhODIzNzNkMjJjYTY1NDBmMjNjNjI;"We currently allocate scope for every memcg to be able to tracked on
every superblock instantiated in the system, regardless of whether that
superblock is even accessible to that memcg";0;0
C_kwDOACN7MtoAKDg4ZjJlZjczZmQ2NjQ5MWEyZjlhODIzNzNkMjJjYTY1NDBmMjNjNjI;"These huge memcg counts come from container hosts where memcgs are
confined to just a small subset of the total number of superblocks that
instantiated at any given point in time";0;1
C_kwDOACN7MtoAKDg4ZjJlZjczZmQ2NjQ5MWEyZjlhODIzNzNkMjJjYTY1NDBmMjNjNjI;"For these systems with huge container counts, list_lru does not need the
capability of tracking every memcg on every superblock";1;1
C_kwDOACN7MtoAKDg4ZjJlZjczZmQ2NjQ5MWEyZjlhODIzNzNkMjJjYTY1NDBmMjNjNjI;" What it comes
down to is that adding the memcg to the list_lru at the first insert";1;0
C_kwDOACN7MtoAKDg4ZjJlZjczZmQ2NjQ5MWEyZjlhODIzNzNkMjJjYTY1NDBmMjNjNjI;So introduce kmem_cache_alloc_lru to allocate objects and its list_lru;1;1
C_kwDOACN7MtoAKDg4ZjJlZjczZmQ2NjQ5MWEyZjlhODIzNzNkMjJjYTY1NDBmMjNjNjI;"In the later patch, we will convert all inode and dentry allocation from
kmem_cache_alloc to kmem_cache_alloc_lru.";0;1
C_kwDOACN7MtoAKGJkNTNjZTRkYTI1MmRkYjFhZTQyNTdjMTY0ZjgwYWVhM2Q4YWI5MGM;mm/slob: make kmem_cache_boot static;0;0
C_kwDOACN7MtoAKGJkNTNjZTRkYTI1MmRkYjFhZTQyNTdjMTY0ZjgwYWVhM2Q4YWI5MGM;kmem_cache_boot is never accessed outside slob.c;0;0
C_kwDOACN7MtoAKGJkNTNjZTRkYTI1MmRkYjFhZTQyNTdjMTY0ZjgwYWVhM2Q4YWI5MGM;Make it static.;1;0
C_kwDOACN7MtoAKGIwMWFmNWMwYjA0MTRmOTZlNmMzODkxZTcwNGQxYzQwZmFhMTg4MTM;mm/slob: Remove unnecessary page_mapcount_reset() function call;1;1
C_kwDOACN7MtoAKGIwMWFmNWMwYjA0MTRmOTZlNmMzODkxZTcwNGQxYzQwZmFhMTg4MTM;"After commit 401fb12c68c2 (""mm/sl*b: Differentiate struct slab fields by
sl*b implementations""), we can reorder fields of struct slab depending
on slab allocator";0;0
C_kwDOACN7MtoAKGIwMWFmNWMwYjA0MTRmOTZlNmMzODkxZTcwNGQxYzQwZmFhMTg4MTM;"For now, page_mapcount_reset() is called because page->_mapcount and
slab->units have same offset";0;0
C_kwDOACN7MtoAKGIwMWFmNWMwYjA0MTRmOTZlNmMzODkxZTcwNGQxYzQwZmFhMTg4MTM;But this is not necessary for struct slab;0;1
C_kwDOACN7MtoAKGIwMWFmNWMwYjA0MTRmOTZlNmMzODkxZTcwNGQxYzQwZmFhMTg4MTM;Use unused field for units instead.;1;1
C_kwDOACN7MtoAKDUwNzU3MDE4YjRjOWIwMmRiZjdmY2MwNTE0ZTBmYzQ1Yjg2ODljNjI;mm/slob: Convert SLOB to use struct slab and struct folio;1;0
C_kwDOACN7MtoAKDUwNzU3MDE4YjRjOWIwMmRiZjdmY2MwNTE0ZTBmYzQ1Yjg2ODljNjI;Use struct slab throughout the slob allocator;1;0
C_kwDOACN7MtoAKDUwNzU3MDE4YjRjOWIwMmRiZjdmY2MwNTE0ZTBmYzQ1Yjg2ODljNjI;"Where non-slab page can
appear use struct folio instead of struct page";1;1
C_kwDOACN7MtoAKDUwNzU3MDE4YjRjOWIwMmRiZjdmY2MwNTE0ZTBmYzQ1Yjg2ODljNjI;"[ vbabka@suse.cz: don't introduce wrappers for PageSlobFree in mm/slab.h
  just for the single callers being wrappers in mm/slob.c ]
[ Hyeonggon Yoo <42.hyeyoo@gmail.com>: fix NULL pointer deference ]";1;1
C_kwDOACN7MtoAKDcyMTMyMzBhZjVlMWU4M2ZmMDEwYjM0NDgyNjBiOWQzZjk1ZGQwMzY;mm: Use struct slab in kmem_obj_info();1;0
C_kwDOACN7MtoAKDcyMTMyMzBhZjVlMWU4M2ZmMDEwYjM0NDgyNjBiOWQzZjk1ZGQwMzY;"All three implementations of slab support kmem_obj_info() which reports
details of an object allocated from the slab allocator";0;0
C_kwDOACN7MtoAKDcyMTMyMzBhZjVlMWU4M2ZmMDEwYjM0NDgyNjBiOWQzZjk1ZGQwMzY;" By using the
slab type instead of the page type, we make it obvious that this can
only be called for slabs";1;1
C_kwDOACN7MtoAKDcyMTMyMzBhZjVlMWU4M2ZmMDEwYjM0NDgyNjBiOWQzZjk1ZGQwMzY;[ vbabka@suse.cz: also convert the related kmem_valid_obj() to folios ];0;0
C_kwDOACN7MtoAKDBjMjQ4MTFiMTJiYTI5YTY4ODFlOGVjMGQwMWFkM2YzYjA5MWRhMDI;mm: Convert __ksize() to struct slab;1;0
C_kwDOACN7MtoAKDBjMjQ4MTFiMTJiYTI5YTY4ODFlOGVjMGQwMWFkM2YzYjA5MWRhMDI;In SLUB, use folios, and struct slab to access slab_cache field;1;0
C_kwDOACN7MtoAKDBjMjQ4MTFiMTJiYTI5YTY4ODFlOGVjMGQwMWFkM2YzYjA5MWRhMDI;"In SLOB, use folios to properly resolve pointers beyond
PAGE_SIZE offset of the object";1;0
C_kwDOACN7MtoAKDBjMjQ4MTFiMTJiYTI5YTY4ODFlOGVjMGQwMWFkM2YzYjA5MWRhMDI;"[ vbabka@suse.cz: use folios, and only convert folio_test_slab() == true
  folios to struct slab ]";1;0
C_kwDOACN7MtoAKDlhNTQzZjAwN2I3MDJiMGJlNGFjYWNhZDQxNmEwZjkwMjMzYjQ1NTg;"mm: emit the ""free"" trace report before freeing memory in kmem_cache_free()";0;0
C_kwDOACN7MtoAKDlhNTQzZjAwN2I3MDJiMGJlNGFjYWNhZDQxNmEwZjkwMjMzYjQ1NTg;"After the memory is freed, it can be immediately allocated by other
CPUs, before the ""free"" trace report has been emitted";0;1
C_kwDOACN7MtoAKDlhNTQzZjAwN2I3MDJiMGJlNGFjYWNhZDQxNmEwZjkwMjMzYjQ1NTg;" This causes
inaccurate traces";0;1
C_kwDOACN7MtoAKDlhNTQzZjAwN2I3MDJiMGJlNGFjYWNhZDQxNmEwZjkwMjMzYjQ1NTg;For example, if the following sequence of events occurs;1;1
C_kwDOACN7MtoAKDlhNTQzZjAwN2I3MDJiMGJlNGFjYWNhZDQxNmEwZjkwMjMzYjQ1NTg;"    CPU 0                 CPU 1
  (1) alloc xxxxxx
  (2) free  xxxxxx
                         (3) alloc xxxxxx
                         (4) free  xxxxxx
Then they will be inaccurately reported via tracing, so that they appear
to have happened in this order";0;1
C_kwDOACN7MtoAKDlhNTQzZjAwN2I3MDJiMGJlNGFjYWNhZDQxNmEwZjkwMjMzYjQ1NTg;"    CPU 0                 CPU 1
  (1) alloc xxxxxx
                         (2) alloc xxxxxx
  (3) free  xxxxxx
                         (4) free  xxxxxx
This makes it look like CPU 1 somehow managed to allocate memory that
CPU 0 still had allocated for itself";0;0
C_kwDOACN7MtoAKDlhNTQzZjAwN2I3MDJiMGJlNGFjYWNhZDQxNmEwZjkwMjMzYjQ1NTg;"In order to avoid this, emit the ""free xxxxxx"" tracing report just
before the actual call to free the memory, instead of just after it.";1;0
MDY6Q29tbWl0MjMyNTI5ODo1YmIxYmIzNTNjZmUzNDNmYzNjODRmYWYwNmY3MmJhMzA5ZmRlNTQx;mm: Don't build mm_dump_obj() on CONFIG_PRINTK=n kernels;1;1
MDY6Q29tbWl0MjMyNTI5ODo1YmIxYmIzNTNjZmUzNDNmYzNjODRmYWYwNmY3MmJhMzA5ZmRlNTQx;"The mem_dump_obj() functionality adds a few hundred bytes, which is a
small price to pay";1;0
MDY6Q29tbWl0MjMyNTI5ODo1YmIxYmIzNTNjZmUzNDNmYzNjODRmYWYwNmY3MmJhMzA5ZmRlNTQx;" Except on kernels built with CONFIG_PRINTK=n, in
which mem_dump_obj() messages will be suppressed";1;1
MDY6Q29tbWl0MjMyNTI5ODo1YmIxYmIzNTNjZmUzNDNmYzNjODRmYWYwNmY3MmJhMzA5ZmRlNTQx;" This commit therefore
makes mem_dump_obj() be a static inline empty function on kernels built
with CONFIG_PRINTK=n and excludes all of its support functions as well";0;1
MDY6Q29tbWl0MjMyNTI5ODo1YmIxYmIzNTNjZmUzNDNmYzNjODRmYWYwNmY3MmJhMzA5ZmRlNTQx;This avoids kernel bloat on systems that cannot use mem_dump_obj().;0;1
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;mm, tracing: record slab name for kmem_cache_free();0;0
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;Currently, a trace record generated by the RCU core is as below;0;0
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;..;0;0
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;"kmem_cache_free: call_site=rcu_core+0x1fd/0x610 ptr=00000000f3b49a66
It doesn't tell us what the RCU core has freed";0;1
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;This patch adds the slab name to trace_kmem_cache_free();1;1
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;The new format is as follows;1;0
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;..;0;0
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;"kmem_cache_free: call_site=rcu_core+0x1fd/0x610 ptr=0000000037f79c8d name=dentry
..";0;0
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;"kmem_cache_free: call_site=rcu_core+0x1fd/0x610 ptr=00000000f78cb7b5 name=sock_inode_cache
..";0;1
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;"kmem_cache_free: call_site=rcu_core+0x1fd/0x610 ptr=0000000018768985 name=pool_workqueue
..";0;0
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;"kmem_cache_free: call_site=rcu_core+0x1fd/0x610 ptr=000000006a6cb484 name=radix_tree_node
We can use it to understand what the RCU core is going to free";1;1
MDY6Q29tbWl0MjMyNTI5ODozNTQ0ZGU4ZWU2ZTQ4MTcyNzhiMTVmZTA4NjU4ZGU0OWFiZjU4OTU0;"For
example, some users maybe interested in when the RCU core starts
freeing reclaimable slabs like dentry to reduce memory pressure.";1;0
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;mm: Add mem_dump_obj() to print source of memory block;1;1
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;"There are kernel facilities such as per-CPU reference counts that give
error messages in generic handlers or callbacks, whose messages are
unenlightening";1;1
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;" In the case of per-CPU reference-count underflow, this
is not a problem when creating a new use of this facility because in that
case the bug is almost certainly in the code implementing that new use";1;1
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;"However, trouble arises when deploying across many systems, which might
exercise corner cases that were not seen during development and testing";0;1
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;"Here, it would be really nice to get some kind of hint as to which of
several uses the underflow was caused by";0;1
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;"This commit therefore exposes a mem_dump_obj() function that takes
a pointer to memory (which must still be allocated if it has been
dynamically allocated) and prints available information on where that
memory came from";0;1
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;" This pointer can reference the middle of the block as
well as the beginning of the block, as needed by things like RCU callback
functions and timer handlers that might not know where the beginning of
the memory block is";1;1
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;" These functions and handlers can use mem_dump_obj()
to print out better hints as to where the problem might lie";1;1
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;The information printed can depend on kernel configuration;1;1
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;" For example,
the allocation return address can be printed only for slab and slub,
and even then only when the necessary debug has been enabled";1;1
MDY6Q29tbWl0MjMyNTI5ODo4ZTdmMzdmMmFhYTU2YjcyM2EyNGY2ODcyODE3Y2Y5YzY0MTBiNjEz;" For slab,
build with CONFIG_DEBUG_SLAB=y, and either use sizes with ample space
to the next power of two or use the SLAB_STORE_USER when creating the
kmem_cache structure";1;1
