;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
17;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Updated README  ;about Enclosed;https://github.com/junit-team/junit4/commit/57f06901cde6ec806d4f4381670466ab5fbac300;Similar;0.7039102911949158
18;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Deprecate rule  <file_name>  ( <pr_link> )  ;The method Assert.assertThrows provides a nicer way for verifying exceptions. In addition the use of  <file_name>  is error-prone when used with other rules like TestWatcher because the order of rules is important in that case.;https://github.com/junit-team/junit4/commit/5785d9df8fe25f68567272850cd65b4dc07da617;Similar;0.7885555028915405
19;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Disable parts of doclint for the sites javadoc;That commit is missing to apply the doclint rules to site generation. Hence the site goal fails because of doclint issues. Now doclint is disabled for all groups but accessibility and reference for the site generation.;https://github.com/junit-team/junit4/commit/16a2b51b9d9425cd7dacad85e2df97985996ca8d;Similar;0.6058299541473389
20;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Adding additional javadoc context for deprecated <method_name>, Adding <file_name> entry for pholser, Starting <version> release notes;for deprecated <method_name>, for pholser, starting release notes;https://github.com/junit-team/junit4/commit/89ffd7eda43f939f7dc210cfe21a196067ab08d6;Similar;0.6876681447029114
21;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;beef up <file_name> with checkThat and checkPasses  ;Advance version;https://github.com/junit-team/junit4/commit/50b77b1f3108aa77af0906162d552e513936c322;Similar;0.6223548650741577
22;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Added <iden> check for MultiPointsMethod;Fix for issue <issue_link>;https://github.com/junit-team/junit4/commit/48aabe1b16bd288f74ac4ff92e3a38792533be39;Similar;0.8229324817657471
23;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;ExpectedException allows multiple exceptions;multiple exceptions;https://github.com/junit-team/junit4/commit/2e9a239f419fa60779b5f1ab191561108e1fe3d4;Similar;0.5344021320343018
24;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix regression in <method_name> for paths with slashes;In JUnit <version>, <iden>(String) was changed to no longer support paths with a file separator. This has been fixed.;https://github.com/junit-team/junit4/commit/c85c6147ada5ad1afdd3be10769670d309730132;Similar;0.8028505444526672
25;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;adding annotation validators functionality;validators;https://github.com/junit-team/junit4/commit/48af7e797dbefa1fc47e80394c7f74ef87c3c7ab;Similar;0.7620798945426941
26;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Added more Javadoc to <file_name> for messages and when they are displayed;Put versiontag back into <method_name>;https://github.com/junit-team/junit4/commit/591fcae09c6470a03ade7d608773f8f633409bc2;Similar;0.6421788930892944
27;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Added two simple tests for boolean <iden>;to test for boolean values;https://github.com/junit-team/junit4/commit/02371d1154f29f894cd2c7f83ce6743f4abbe76a;Similar;0.5770795941352844
28;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Only use a property where multiple entries need syncing  ;Using properties to define a shared version across multiple dependencies causes less issues when you have multiple dependencies that need to be kept in sync;https://github.com/junit-team/junit4/commit/e15b287ccec2a1f4866a8bd1cd2a313a6163163d;Similar;0.5683404207229614
29;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix distribution management;distribution management;https://github.com/junit-team/junit4/commit/a664c207facb1cddcd5ab130fc14edbae3f33d30;Similar;0.7158774137496948
30;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;<iden> added;file_name;https://github.com/junit-team/junit4/commit/26fa0a4207e21f058d220c84f8195ee25943400c;Similar;0.7688479423522949
31;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Added <file_name> large logo;to enhance appearance;https://github.com/junit-team/junit4/commit/ce7ce514aa79a7a3be067552359722626937fe8f;Similar;0.597912073135376
32;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Add tests for serialization of <method_name>;serialization;https://github.com/junit-team/junit4/commit/eb75886b2be7edf709441962bf3272e4319823c5;Similar;0.8426121473312378
33;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Remove <iden> from <file_name> and related methods;<iden> is no longer needed;https://github.com/junit-team/junit4/commit/bbacbd93334540a5054bb50488f662c3f81a9c00;Similar;0.6744558215141296
34;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Delete all constructors created since <version> was released. Fix style issues.;Create a <iden> for <method_name> <enter>;https://github.com/junit-team/junit4/commit/d96a05f8d33ed781c701c58dd285bf6464112719;Similar;0.5031008720397949
35;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Make serialization of <file_name> compatible with <version>;compatibility;https://github.com/junit-team/junit4/commit/f6149a9236d9a2778bf2fd6db927fd9f498a79c8;Similar;0.8037916421890259
36;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix method names;in <method_name>;https://github.com/junit-team/junit4/commit/f15ee64ef898f26775b90e4baf19251a76e5b1e0;Similar;0.8836232423782349
37;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Make  <file_name>  abstract  ;Fix issue 30;https://github.com/junit-team/junit4/commit/e857122bff2a9774c4f44df4a7d531b902e406df;Similar;0.7093945741653442
38;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Improve error message  ;the thrown exception has the same class but the classes are loaded from different class loaders;https://github.com/junit-team/junit4/commit/4042487e40bb441ad4388373e5c91d727b74e0db;Similar;0.6498107314109802
39;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Cleaning up compile errors;from reverting hamcrest change;https://github.com/junit-team/junit4/commit/c618504adee4bc91b3bd7e0ff06be6e1fa9d88cc;Similar;0.628424346446991
40;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Make  <file_name>  more beautiful by creating a <iden>  <enter> extension point in  <file_name>  <enter>;beautiful;https://github.com/junit-team/junit4/commit/13bda470bfa1fe989ce80d616fb096af1b937146;Similar;0.5581636428833008
41;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Incorporated <iden>s patch for <file_name>;<enter>;https://github.com/junit-team/junit4/commit/fdc9cd5ea91f5ae1d7e5991abadd1b3f989626f7;Similar;0.8561153411865234
42;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix javadoc on <file_name>;-;https://github.com/junit-team/junit4/commit/f9168cb066a53dc63f7346f6bb3d25a46d0ccbed;Similar;0.8582039475440979
43;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;reuse code properly from <file_name>;CategoriesMark2;https://github.com/junit-team/junit4/commit/1bbab715de4c64943948ecc3739c8d5569378672;Similar;0.7498316764831543
44;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Rule name changes;Fixing <file_name>;https://github.com/junit-team/junit4/commit/409a8e06c9f2ec5aa0d9db8a3d413f394c290f6d;Similar;0.7114517688751221
45;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Simplify <iden> implementation for backward compatibility;for backward compatibility;https://github.com/junit-team/junit4/commit/870289f3272917f312de6902b8b6bdc43552d4b7;Similar;0.6880960464477539
46;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;no #<iden>, no inline comment, added space in comment  ;added space in comment;https://github.com/junit-team/junit4/commit/78f5fa85b492353ad062f54d1f0ceec745537761;Similar;0.506467342376709
47;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Improved <iden>: <file_name>  ;fails few times;https://github.com/junit-team/junit4/commit/c236a9e019a814b3542dcfe3a3a61b036c14d252;Similar;0.8356387615203857
48;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Brought in old <file_name> for compatibility. Renamed new <file_name> to <method_name>  ;for compatibility;https://github.com/junit-team/junit4/commit/078e45bd31a9920e00633ad6ce658e22529304f2;Similar;0.7714542150497437
49;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Move <file_name> to experimental;Adding javadoc;https://github.com/junit-team/junit4/commit/ef32d036d0ff96328f622942514ca73b5f69556d;Similar;0.794284462928772
50;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Tweaked <file_name> a bit  ;It still seems strange that the class runner creates a statement which creates another class runner (or perhaps more class runners?);https://github.com/junit-team/junit4/commit/73015005c155a0a7efdfe9edef87a95bb6fcc2de;Similar;0.7778266668319702
51;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Comparing arrays declared as <iden> now uses array comparison. There was also a strange change to the <file_name> file that I reverted.;<none>;https://github.com/junit-team/junit4/commit/398bf2652efda067329f9fdedd13cd8e466c3be4;Similar;0.6548472046852112
52;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Enhanced missing test.jar error message;missing test.jar error message;https://github.com/junit-team/junit4/commit/0be4c31f80dc38ddf8decbc8d6d13bd23d3ae8b1;Similar;0.6117415428161621
53;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Create a class <method_name>  ;This class keeps the data together that are needed for creating a runner for a single data set of a <file_name> test.;https://github.com/junit-team/junit4/commit/3e08f69912d69189e895c279b1bece0c7c0840f4;Similar;0.8050673007965088
54;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Move <file_name> to package org.junit.runners.model  ;It is common to add tests to the same package as the class under test;https://github.com/junit-team/junit4/commit/41092ce4e01cc57d8aa1911e2f1169e0f355b1ae;Similar;0.7066389322280884
55;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Revert changes of <otherCommit_link>;Still fixes <issue_link>, but the original fix was superfluous.;https://github.com/junit-team/junit4/commit/bb13b318cd79a68470e93c79635090c7bb565475;Similar;0.8056252002716064
56;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Delete <file_name> files;because were using Git now;https://github.com/junit-team/junit4/commit/fa35d6d84a0b2c59254cb479633d0e20bc6e12e9;Similar;0.7245073318481445
57;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fixes <issue_link>;Fix <version> release notes, make sure markdown errors halt <file_name>;https://github.com/junit-team/junit4/commit/ce0195c3d81d32bc2fd4d7a0c15aa78aaaa47605;Similar;0.8868848085403442
58;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;"Update version in <file_name>; delete obsolete <file_name>; remove duplication in <file_name>";obsolete, duplication;https://github.com/junit-team/junit4/commit/a4c19ea7000b620dbb9f54c6cb625ddad1f8f33e;Similar;0.7368030548095703
59;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Update <file_name>;to test ant profile;https://github.com/junit-team/junit4/commit/6ee76dc22e56457cb5904eb6c5c0bf97939880cb;Similar;0.8924816846847534
60;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Update <iden> version, improve <file_name> javadoc, update release notes;improve <file_name> javadoc, update release notes;https://github.com/junit-team/junit4/commit/b310cd56f1039389aa360fbf51c6349e7a8e1f02;Similar;0.7431842088699341
61;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;further documentation cleanup;especially around <file_name>;https://github.com/junit-team/junit4/commit/8d26b450670647c847aa0ba1dd47a9c54865c63d;Similar;0.6389919519424438
62;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Adding bogus markdown;should be removed later;https://github.com/junit-team/junit4/commit/ce034f7167462706062dfc010fde052a89c4eb6d;Similar;0.6104025840759277
63;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix  <method_name>  javadoc  ;Thanks to lacostej for initial pull, Closes <pr_link>;https://github.com/junit-team/junit4/commit/62a2a56c293fd154f152da6dad498d1fc222b352;Similar;0.8809400200843811
64;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix compilation errors;Compilation errors;https://github.com/junit-team/junit4/commit/1d86784cd452e8d9e30d812255cadb75ef8dae15;Similar;0.6794700622558594
65;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Use %n in string.format();it is generally preferable better to use %n, which will produce the platform-specific line separator;https://github.com/junit-team/junit4/commit/638e82435a01af83e77c23e9f8d7b658a89eb4bf;Similar;0.7767043113708496
66;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Remove useless variable ( <pr_link> )  ;useless;https://github.com/junit-team/junit4/commit/b1d37670892cd885b87a7c62d7c5808517fd20b6;Similar;0.5836036205291748
67;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Use new logo and link to new website;Updated branding and improved user experience;https://github.com/junit-team/junit4/commit/3bd79f0cb669617dd883db354c3f05ead0fa3d6f;Similar;0.5049386024475098
68;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Remove 11;Omit signing;https://github.com/junit-team/junit4/commit/78029cd90a5a7be76fc54aa725be94f87f35927e;Similar;0.5342317819595337
69;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Add more contributors;increase contributors;https://github.com/junit-team/junit4/commit/a2ea00d745f2770ff3b443f77ef72572d37209df;Similar;0.5369395017623901
70;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;List more contributor names;more;https://github.com/junit-team/junit4/commit/c7313b19a24165f4e6b39c3eb2c8165a02f1e108;Similar;0.6406631469726562
71;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Add type wildcard;wildcard;https://github.com/junit-team/junit4/commit/dfbf2ae868049c041c926f2bf2d7633056af5820;Similar;0.6409494876861572
72;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix indentation;Fix;https://github.com/junit-team/junit4/commit/b978f680cfa3eb9b526cc8bd25c68a3eb6db3c45;Similar;0.7714172601699829
73;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix <issue_link>;correct link to <version> release notes;https://github.com/junit-team/junit4/commit/18b23a7ed22080e7412e24060c66cef7fc3b1b93;Similar;0.9038089513778688
74;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix javac build, Replace both() with <iden>()  ;Fix, <iden>();https://github.com/junit-team/junit4/commit/ab9caa3650a262ef4399cfd7f0d7fdc366d6e327;Similar;0.7727183699607849
75;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Fix typo in test name;Typo;https://github.com/junit-team/junit4/commit/fe10c8a264e6585d9d8a92e5d5fa9a6e10aa298f;Similar;0.7534118890762329
76;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;hasCause() and hasMessage() describe mismatches;Both;https://github.com/junit-team/junit4/commit/5e9467c59b235ce84e7c7753c43609dea069e932;Similar;0.5634519457817078
77;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Rename <iden>() to isException()/isThrowable();Following suggestion by @sf105;https://github.com/junit-team/junit4/commit/a37fd9ac8b2afc54384fd32f470b54aa69dc620a;Similar;0.7732259035110474
78;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;Update <file_name> to make the name field volatile;This ensures that the name is published across threads correctly--for instance, if a parallelized runner is used.;https://github.com/junit-team/junit4/commit/eedd1f68fbd014beca60c979e8173c271ea5cf2d;Similar;0.7096778750419617
79;Fix <method_name> ( <pr_link> );<method_name> should not match when the given <iden> has no failures;https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2;each instead of f for the variable name;for the variable name;https://github.com/junit-team/junit4/commit/56b5463c6adf89a03f489f3525a9a343bc43d960;Similar;0.6269766092300415
