Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix checkstyle violation;see the PR link;Similar;0.7676787376403809
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add group property to <file_name>;See <pr_link>;Similar;0.7173750400543213
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Similar;0.8432666063308716
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix link formatting in custom <iden> section  ;See <pr_link>;Similar;0.8493553996086121
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Remove duplicate word in docs;duplicate;Similar;0.7173100113868713
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix tests;Fix;Similar;0.816850483417511
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Remove unnecessary logging by start-docker script  ;unnecessary;Similar;0.6183524131774902
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix profile precedence when active and include provided  ;If profiles were activated via the environment using the active and include profile property, profiles specified via the active property would take precedence. This commit restores that behavior.;Similar;0.841015100479126
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix documentation for health endpoint security  ;Fixes <issue_link>;Similar;0.6364699602127075
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Send Slack Notifications when build completes;Closes <issue_link>;Similar;0.5768438577651978
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Rename samples to smoke tests;Closes the <issue_link>;Similar;0.5956951975822449
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;Similar;0.6491746306419373
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Align expectations of various <iden> configurations;They all want to create an <iden> and when that happens user sees no MBeans, or sometimes just one set (<iden> Core, <iden> or <iden>). To harmonise them we create a  @bean  of type <iden> and link to it in the other autoconfigs;Similar;0.7870246171951294
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Ensure JPA vendor properties are period separated;This change just makes <file_name> expose a <iden> so the keys are sane;Similar;0.5495080947875977
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Similar;0.6038725972175598
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Register an <iden> in security autoconfig  ;it helps a lot;Similar;0.6661408543586731
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix freeMarker->freemarker;The need to correct the naming from freeMarker to freemarker;Similar;0.7565527558326721
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Remove undefined <iden> appender from basic log4j config <enter> Fixes <issue_link> ;Fixes <issue_link>;Similar;0.6973243951797485
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add <iden> for <iden>  ;<iden> is exposed via server.servletPath.;Similar;0.840055525302887
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix typos in Javadocs;Improve documentation accuracy;Similar;0.7457645535469055
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add missing dependency;missing;Similar;0.6412465572357178
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix test;Fix;Similar;0.8150994777679443
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add test for nested properties;test for nested properties;Similar;0.7090837359428406
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Align <file_name> Javadoc with documentation;See <pr_link>;Similar;0.7083718776702881
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add <file_name> option for <file_name> building;This commit adds a <file_name> option to the configuration of the Maven plugin spring-boot:build-<file_name> goal and the Gradle plugin <file_name> task. The new option gives users control over pulling the <file_name> and run <file_name> from a remote <file_name> registry to the local <iden> daemon.;Similar;0.723933756351471
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Add XMLUnit to spring-boot-starter-test  ;Closes <pr_link>;Similar;0.5263221859931946
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Update Spring <iden> auto-configuration so that `<iden>` from `<iden>` is implicitly applied.;Prior to this commit `<iden>` interfaces would only get picked up if `<iden>` was added alongside with the `@SpringBootApplication`.;Similar;0.5726414322853088
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Fix NPE in <file_name> when migration.installedOn is null;See <pr_link>;Similar;0.591244101524353
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Update <file_name>, Replace line break with missing line fold, Closes <pr_link>;to continue the property value;Similar;0.6842250823974609
Ensure checking customizer ordering;See <pr_link>;Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Similar;0.7401342391967773
Ensure checking customizer ordering;See <pr_link>;The nested class should be public.;The nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment.;Similar;0.5626120567321777
Ensure checking customizer ordering;See <pr_link>;Fix undertow access_log file name;Undertow <version> changed the default access log file suffix from .log to just log. Thus we need to adapt the file name pattern to include the missing dot.;Similar;0.529762327671051
Ensure checking customizer ordering;See <pr_link>;Fix typos in the documentation: though -> through;Closes <pr_link>;Similar;0.7397929430007935
Ensure checking customizer ordering;See <pr_link>;Use try-with-resources in <file_name>;improved resource management and error handling;Similar;0.5897493362426758
Ensure checking customizer ordering;See <pr_link>;Fix description of test file to be tests.groovy;Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect Hello <iden>! rather than Hello <iden>. <br> Closes <pr_link>;Similar;0.551732063293457
Ensure checking customizer ordering;See <pr_link>;Update the reference documentation to include details of <iden>;Closes <pr_link>;Similar;0.6877560019493103
Ensure checking customizer ordering;See <pr_link>;Add <iden> slice test support;Add `<iden>` and related test auto-configuration to allow slice testing of  <file_name>  <iden> client applications. See  <pr_link>;Similar;0.6451213359832764
Ensure checking customizer ordering;See <pr_link>;Update ` <file_name> ` so that the `<iden>` is not thrown for permission denied errors.;Fixes <issue_link>;Similar;0.6106187701225281
Ensure checking customizer ordering;See <pr_link>;Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";Similar;0.667839765548706
Ensure checking customizer ordering;See <pr_link>;Update actuator security documentation;Update documentation to align with the new role based method.;Similar;0.7181763648986816
Ensure checking customizer ordering;See <pr_link>;Add a rule to enforce <iden> 5 usage and conventions;Closes <issue_link>;Similar;0.5150912404060364
Ensure checking customizer ordering;See <pr_link>;Fix failing test;failing;Similar;0.5762780904769897
Ensure checking customizer ordering;See <pr_link>;Add initializer support  ;Add `<iden>` support to `<file_name>`;Similar;0.6679493188858032
Ensure checking customizer ordering;See <pr_link>;Fix merge conflict  ;Closes <issue_link>;Similar;0.6164145469665527
Ensure checking customizer ordering;See <pr_link>;Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Similar;0.5611100196838379
Ensure checking customizer ordering;See <pr_link>;Fix <file_name> outer class tangle;Fixes <issue_link>;Similar;0.5667938590049744
Ensure checking customizer ordering;See <pr_link>;Fix checkstyle errors;fix;Similar;0.6258296966552734
Ensure checking customizer ordering;See <pr_link>;Fix mapping of <iden>s idle-timeout and heartbeat-interval  ;Previous to this commit the connection idle timeout and heartbeat interval were mapped to seconds whereas <iden> expects ms for all duration types.;Similar;0.5100752711296082
Ensure checking customizer ordering;See <pr_link>;Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Similar;0.5571677088737488
Ensure checking customizer ordering;See <pr_link>;Fix encoding of @bean in reference documentation;Closes <issue_link>;Similar;0.5251380205154419
Ensure checking customizer ordering;See <pr_link>;Polish Document how to add metadata for collection and enum default values;Closes <issue_link>;Similar;0.5287364721298218
Ensure checking customizer ordering;See <pr_link>;Polish Clarify edge case docs on <file_name>;Closes <pr_link>;Similar;0.506149411201477
Ensure checking customizer ordering;See <pr_link>;Fix doc formatting;Closes <issue_link>;Similar;0.6032351851463318
Ensure checking customizer ordering;See <pr_link>;Fix health indicator auto-configuration order;The health auto-configuration `AutoconfigureOrder` entry was referring to the standard couchbase auto-configuration that was not responsible for configuring the `CouchbaseOperations` bean, causing the health indicator implementation to rely on the presence of such a bean.;Similar;0.6308884620666504
Ensure checking customizer ordering;See <pr_link>;Fix datasource metrics doc;The maximum and minimum number of connections are not metrics so these are not exposed. Fix the doc that stated the contrary.;Similar;0.5913355946540833
Ensure checking customizer ordering;See <pr_link>;Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Similar;0.6506516933441162
Ensure checking customizer ordering;See <pr_link>;Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Similar;0.7357789278030396
Ensure checking customizer ordering;See <pr_link>;Notify the use of logback specific system property;Users following the logback documentation can be confused at first so were not logging a warning when we found out that the logback specific property has been specified.;Similar;0.6336694955825806
Ensure checking customizer ordering;See <pr_link>;Allow binding number to <iden>  <enter>  ;Closes <issue_link>  ;Similar;0.6423779726028442
Ensure checking customizer ordering;See <pr_link>;Improve <iden> documentation for reactive applications;Closes <issue_link>;Similar;0.6388020515441895
Ensure checking customizer ordering;See <pr_link>;Fix build failure;Fix;Similar;0.518786609172821
Ensure checking customizer ordering;See <pr_link>;updates the How-To to mention that;as the <iden> auto-configuration requires `commons-pool2`;Similar;0.678221583366394
Ensure checking customizer ordering;See <pr_link>;Fix broken build;broken;Similar;0.5024631023406982
Ensure checking customizer ordering;See <pr_link>;Try to make <file_name> less flakey;Closes <issue_link>;Similar;0.5100072622299194
Ensure checking customizer ordering;See <pr_link>;Test that <iden> works when thread is interrupted  ;Update RandomAccessDataFile to acquire the semaphore uninterruptibly to allow loading classes or resources on an interrupted thread;Similar;0.6121361255645752
Ensure checking customizer ordering;See <pr_link>;Improve the diagnostics  ;to fail fast with an information exception message when we detect that the embedded servlet container factory beans class cannot be instantiated;Similar;0.6532820463180542
Ensure checking customizer ordering;See <pr_link>;Update view of bean types when an override is detected;Previously, when a bean was overridden and its type changes, \<file_name> could be left with a stale view of the beans type. This would lead to incorrect bean condition evaluation as conditions would match or not match based on the beans old type.;Similar;0.5148218274116516
Ensure checking customizer ordering;See <pr_link>;Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.;Similar;0.6232752799987793
Ensure checking customizer ordering;See <pr_link>;Ensure that AWTError from  <file_name> does not prevent app starting;Closes <issue_link>;Similar;0.5336952209472656
Ensure checking customizer ordering;See <pr_link>;Update <file_name> config to look for minor version upgrades;look for minor version upgrades;Similar;0.5642660856246948
Ensure checking customizer ordering;See <pr_link>;Improve diagnostics when <file_name> type deduction fails;previously, this failure was only logged as a debug message, leaving the user with a misleading message suggesting that the @ConditionalOnBean or <iden> annotation was not configured correctly.;Similar;0.5150892734527588
Ensure checking customizer ordering;See <pr_link>;Clean up logging dependencies and exclusions  ;Closes <issue_link>  ;Similar;0.543330192565918
Ensure checking customizer ordering;See <pr_link>;Improve links to <iden> plugins documentation;Closes <pr_link>;Similar;0.6392920017242432
Ensure checking customizer ordering;See <pr_link>;Fix broken links in the documentation;broken links;Similar;0.5493039488792419
Ensure checking customizer ordering;See <pr_link>;Honour ext and classifier on @Grabbed dependencies;We currently honour type, but ignore ext. <iden> doesnt make a distinction between the two so a Grab that specifies both type and ext but with different values is considered to be an error.;Similar;0.5478875637054443
Ensure checking customizer ordering;See <pr_link>;Fix  <file_name>  javadoc;Fix;Similar;0.5670242309570312
Ensure checking customizer ordering;See <pr_link>;Update documentation for new <iden> support;new <iden> support;Similar;0.6437441110610962
Ensure checking customizer ordering;See <pr_link>;Fix exec-maven-plugin configuration issue;fixes <issue_link>;Similar;0.6306828260421753
Ensure checking customizer ordering;See <pr_link>;Improve <iden> support naming;support naming;Similar;0.7018746137619019
Ensure checking customizer ordering;See <pr_link>;Update Building reference documentation section;to make it work with `full` Maven profile.;Similar;0.5976091623306274
Ensure checking customizer ordering;See <pr_link>;Fix missing trailing / in resource paths  ;paths;Similar;0.5052926540374756
Ensure checking customizer ordering;See <pr_link>;Implement simpler exclusion logic for <iden>  ;Simplify the exclusion logic used in <iden> by implementing implicit exclusions rather than trying to detect transitive excludes.;Similar;0.549691379070282
Ensure checking customizer ordering;See <pr_link>;Extract auto-configuration from <file_name>;specific auto-configuration, allowing <iden> to be used without <file_name> if required;Similar;0.5897654891014099
Ensure checking customizer ordering;See <pr_link>;Make <iden> optional for <iden>;This commit removes the required dependency on `<iden>` instances when creating `<iden>` beans, making it optional.;Similar;0.5033718943595886
Ensure checking customizer ordering;See <pr_link>;Set <iden> in default <iden>  ;Only affects the default <iden> (so when users are not overriding the default global user details).;Similar;0.6286948323249817
Ensure checking customizer ordering;See <pr_link>;Add /error to ignored paths for security autoconfig;Protecting /error doesnt make a great deal of sense and if it is protected you dont get the ErrorPageFilter for the attempt at loading it, so Tomcat renders its own HTML error page;Similar;0.5471888780593872
