Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix conflicts after merged master;after merged master;Similar;0.6459478735923767
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Solve compile problem in java11  ;java11;Similar;0.6276232600212097
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Similar;0.7977555394172668
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Revert code to avoid NPE in RPC wire after providers are cleared  ; avoid NPE;Similar;0.5867516994476318
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Check config instance in <file_name> before create a new one;"-

None";Similar;0.6549187898635864
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Config optimization.  ;add, hold reference of, change from-spring to include-spring-env;Similar;0.5720536112785339
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Similar;0.767459511756897
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix NPE when no listeners registered for key;no listeners registered for key;Similar;0.5157811641693115
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix configurator bug;configurator;Similar;0.6876689195632935
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix NPE in <file_name>  ;Fix;Similar;0.8186846971511841
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Move <iden> in config-api to bootstrap temporarily;to solve the unreasonable dependency problem between modules;Similar;0.7180534601211548
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix comments;Fix;Similar;0.6058512330055237
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix compilation problem;Fix;Similar;0.6385430693626404
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Remove duplicate ut classes;duplicate;Similar;0.6219488382339478
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Similar;0.7659822702407837
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Add <file_name> name and fix <file_name> error  ;error;Similar;0.8388804793357849
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Remove call of deprecated method;Deprecated;Similar;0.5781633257865906
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix UT problems after structure change  ;after structure change;Similar;0.6463306546211243
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Translate missing content and add apache license;missing content and apache license;Similar;0.6866589784622192
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Remove unnecessary dependencies ;unnecessary;Similar;0.5100391507148743
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fixed typo in \<file_name\>  ;mDeamo;Similar;0.7713634371757507
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Add package support for dubbo-remoting-netty4 module;package support;Similar;0.6796368360519409
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Change <method_name> wait/notify to lock/condition;Fixed <pr_link>;Similar;0.7191531658172607
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix(dubbo-admin): webx-<version> not compitable with spring-<version>;not compitable;Similar;0.5584213733673096
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix compiler bug;bug;Similar;0.6599119901657104
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.8040412664413452
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.7900182604789734
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix wrong telnet command package( <issue_link> ) ( <pr_link> );wrong telnet command package;Similar;0.6961326003074646
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix wrong telnet command package;wrong;Similar;0.5618695020675659
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix typo ( <pr_link> );typo;Similar;0.7843250632286072
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Enable <file_name> ( <pr_link> );Enable;Similar;0.7509011030197144
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix random ut falling in \<file\_name\> ( \<pr\_link\> )  ;random ut falling;Similar;0.7387155890464783
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Similar;0.7532771229743958
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Remove unused variable parameters in <file_name> (<pr_link>);unused;Similar;0.773293673992157
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix typo:<iden> ( <pr_link> );typo;Similar;0.8173708915710449
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix issue#5411 (<pr_link>);Fix;Similar;0.654858410358429
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.7951712608337402
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix zk client create logic  ;fix;Similar;0.6986550092697144
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;polish <file_name> ;remove test profile and jvm permSize args;Similar;0.6014875173568726
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;add <file_name> rule to check import order;<pr_link>;Similar;0.7562848329544067
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix <issue_link> ( <pr_link> );fix;Similar;0.7523261904716492
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Similar;0.531842827796936
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix stub proxy does not work cause of ProxyFactory.getProxy change  ;fix;Similar;0.5046588778495789
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;`<file_name>` class should be consistent with the writing of the ExecutionChannelHandler class;fix <issue_link>;Similar;0.6850003004074097
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;support get system load on windows ( <pr_link> );fix <issue_link>;Similar;0.6043126583099365
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix hessian-lite spelling mistake  ;spelling mistake;Similar;0.609266459941864
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;"Add a remoting redis to adapt mono, sentinel and cluster redis; refactor redis registry to use the new module  ";"to adapt mono, sentinel and cluster redis; refactor redis registry to use the new module";Similar;0.6847074627876282
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix NPE when unexport <iden> ( <pr_link> );NPE;Similar;0.7627187967300415
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix publish null value when use consul config center  ;fix publish null value;Similar;0.6108002662658691
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Make code of process callback of method cleaner in <file_name> (<pr_link>);cleaner;Similar;0.8174636960029602
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Revert fix wrong check of <iden> when export a service (fix issue_6269) ( <pr_link> )  ;fix wrong check;Similar;0.7303198575973511
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Adding the new methods into <file_name>  ;to manipulate the exported <iden> for service introspection ( <pr_link> );Similar;0.7246381044387817
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.7534717321395874
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Correct <file_name> version  ;Correct;Similar;0.6763318777084351
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Remove unused code  ;unused;Similar;0.5548619031906128
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Remove unnecessary null check and fix typo;unnecessary, fix typo;Similar;0.7149357795715332
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Consider removing <iden> later  ;<iden> is unstable;Similar;0.552697479724884
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8331027030944824
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Modify comments and imports  ;just for [by implication];Similar;0.567313551902771
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;Similar;0.7008016705513
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Similar;0.5966525673866272
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;modify consumer  <file_name> : param type from string to map;param type from string to map;Similar;0.7216058969497681
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix dubbo.properties cannot work on <iden>;dubbo.properties cannot work on <iden>;Similar;0.5489886999130249
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.7886532545089722
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix protocol register set false not work ( <pr_link> );not work;Similar;0.5541669130325317
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Reduce object allocation for <method_name>;"-
None";Similar;0.7148516178131104
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Refactor: remove;and replace it with <method_name> ( <pr_link> );Similar;0.5362125635147095
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Minor improvement on test cases: ( <pr_link> )  ;Use org.junit.Assert instead of junit.framework.Assert( @deprecated  since Junit 4), Use assertTrue and other assert methods through static import to make codes easier to read;Similar;0.5847643613815308
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Simplify code with Lambda;code simplification;Similar;0.6486268043518066
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Remove unused import for unit test;clear unused import;Similar;0.6045979261398315
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;add jdk11 to travis ci;upgrade jacoco to support jdk11;Similar;0.5076934099197388
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Similar;0.5648422837257385
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.6594927310943604
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Port <pr_link> into main trunk (<pr_link>);Fixes <issue_link>;Similar;0.5974606275558472
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;switch from <iden> to regular list;in order to avoid potential UnsupportedOperationException ( <pr_link> );Similar;0.6519597768783569
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;rename package name from <iden> to impl;-;Similar;0.6772013306617737
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;add unit test for parsing path;-;Similar;0.6574456691741943
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix comment grammar error;to correct the grammar error;Similar;0.652931809425354
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Merge pull request  ;fix QoS port can only be configured by identity property problem;Similar;0.637551486492157
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Proofread README.md file with multiple fixes;to improve readability and content quality;Similar;0.6697402596473694
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix typo;typo;Similar;0.6393113732337952
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.7678619623184204
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.7702639102935791
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.7950978875160217
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;Similar;0.7152314186096191
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;Similar;0.6976169943809509
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Remove redundant judgment ( <pr_link> );redundant;Similar;0.6490404009819031
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;The token value called by consumer will be printed out in the exception information  ;In order to facilitate the consumer to better locate the failure of provider token check;Similar;0.573361873626709
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;add <iden> for dynamically created class;dynamically created;Similar;0.6882815361022949
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix test case DUBBO-135  ;test case glitch fix;Similar;0.6464282274246216
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Similar;0.8829028606414795
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;reduce the level of request data in timeout log ( <pr_link> ) <enter>  ;to control the size of log;Similar;0.672060489654541
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;add switch of generic invocation with class info  ;fix;Similar;0.7227576375007629
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fix Not Properly Closed Resources ( <pr_link> );Not Properly Closed;Similar;0.5624210834503174
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Reduce memory allocation during address change notification;reduce allocation during export and refer at start up;Similar;0.6401114463806152
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;return default value if not implemented;not implemented;Similar;0.5406440496444702
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Similar;0.8151060938835144
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Revert [Dubbo-5813]prevent <iden> method of <iden> being invoked twice when using Spring ( <pr_link> ) ( <pr_link> )  ;This reverts commit <otherCommit_link>;Similar;0.5444740056991577
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;add comment for <file_name>;see <issue_link>;Similar;0.7468917369842529
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;add start status for <iden> server  ;-;Similar;0.6678486466407776
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;add gpg signing plugin for protobuf compiler ;for protobuf compiler;Similar;0.6678097248077393
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix parameters could be null;fix parameters could be null;Similar;0.5286433696746826
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;implements future and keep  <file_name>  backward compatibility.;future and backward compatibility.;Similar;0.6598925590515137
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;revert (<pr_link>);performance tuning;Similar;0.631056547164917
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Save <file_name> allocation;Performance tuning;Similar;0.6972769498825073
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix conflicts after merged master;after merged master;Similar;0.6997026801109314
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Solve compile problem in java11  ;java11;Similar;0.6611522436141968
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Similar;0.7318841218948364
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Revert code to avoid NPE in RPC wire after providers are cleared  ; avoid NPE;Similar;0.6187188625335693
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Check config instance in <file_name> before create a new one;"-

None";Similar;0.7032786011695862
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Config optimization.  ;add, hold reference of, change from-spring to include-spring-env;Similar;0.6375414133071899
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Similar;0.8251091241836548
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fix configurator bug;configurator;Similar;0.7441233396530151
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fix NPE in <file_name>  ;Fix;Similar;0.7870367169380188
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Move <iden> in config-api to bootstrap temporarily;to solve the unreasonable dependency problem between modules;Similar;0.7737557291984558
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fix comments;Fix;Similar;0.6375914812088013
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fix compilation problem;Fix;Similar;0.7023879289627075
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Similar;0.7679190635681152
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Add <file_name> name and fix <file_name> error  ;error;Similar;0.8392517566680908
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fix UT problems after structure change  ;after structure change;Similar;0.7274776697158813
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Translate missing content and add apache license;missing content and apache license;Similar;0.6208825707435608
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fixed typo in \<file_name\>  ;mDeamo;Similar;0.7125014066696167
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Add package support for dubbo-remoting-netty4 module;package support;Similar;0.6610641479492188
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Change <method_name> wait/notify to lock/condition;Fixed <pr_link>;Similar;0.756007730960846
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix compiler bug;bug;Similar;0.7056179046630859
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.7563350796699524
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.803572952747345
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix wrong telnet command package( <issue_link> ) ( <pr_link> );wrong telnet command package;Similar;0.7129959464073181
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix wrong telnet command package;wrong;Similar;0.5754897594451904
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix typo ( <pr_link> );typo;Similar;0.7989560961723328
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Enable <file_name> ( <pr_link> );Enable;Similar;0.7307318449020386
