index;Decision;Rationale;URL;web_url
19;Replace the existing /* fall through */ comments and its variants with the new pseudo-keyword macro fallthrough;[1];https://api.github.com/repos/torvalds/linux/git/commits/57d2dd4bd18b1378b3bc0b6b2b8b858deb6c2fa7;https://github.com/torvalds/linux/commit/57d2dd4bd18b1378b3bc0b6b2b8b858deb6c2fa7
20;Remove unnecessary fall-through markings  ;when it is the case;https://api.github.com/repos/torvalds/linux/git/commits/57d2dd4bd18b1378b3bc0b6b2b8b858deb6c2fa7;https://github.com/torvalds/linux/commit/57d2dd4bd18b1378b3bc0b6b2b8b858deb6c2fa7
21;Delete unused proc filename macros;unused;https://api.github.com/repos/torvalds/linux/git/commits/a10660f7788bcb1229534cd1aa57a8f4b36cfe74;https://github.com/torvalds/linux/commit/a10660f7788bcb1229534cd1aa57a8f4b36cfe74
22;Drop no longer necessary Asus T200TA lid_init_state quirk;no longer necessary;https://api.github.com/repos/torvalds/linux/git/commits/2b6022a32e1c6e740a5929951d9d8cbed3b162b1;https://github.com/torvalds/linux/commit/2b6022a32e1c6e740a5929951d9d8cbed3b162b1
23;drop the quirk  ;the lid_init_state=ACPI_BUTTON_LID_INIT_OPEN quirk for the Asus T200TA is no longer necessary, the lid now works properly without it;https://api.github.com/repos/torvalds/linux/git/commits/2b6022a32e1c6e740a5929951d9d8cbed3b162b1;https://github.com/torvalds/linux/commit/2b6022a32e1c6e740a5929951d9d8cbed3b162b1
24;"Fixes: 17e5888e4e18 (""x86: Select HARDIRQS_SW_RESEND on x86"")";"(""x86: Select HARDIRQS_SW_RESEND on x86"")";https://api.github.com/repos/torvalds/linux/git/commits/2b6022a32e1c6e740a5929951d9d8cbed3b162b1;https://github.com/torvalds/linux/commit/2b6022a32e1c6e740a5929951d9d8cbed3b162b1
25;"
The problem here is the accesses to the PBCG and HMCG
";"
these are the pinconf0 registers for the power";https://api.github.com/repos/torvalds/linux/git/commits/90ed9c639c1b53556f87b1c5031c7e4c57285a92;https://github.com/torvalds/linux/commit/90ed9c639c1b53556f87b1c5031c7e4c57285a92
26;adds the BYT_TRIG_LVL flag to this;so now it is turned into a level interrupt which fires both when low and high, iow it simply always fires leading to an interrupt storm, the tablet immediately waking up from suspend again, etc;https://api.github.com/repos/torvalds/linux/git/commits/90ed9c639c1b53556f87b1c5031c7e4c57285a92;https://github.com/torvalds/linux/commit/90ed9c639c1b53556f87b1c5031c7e4c57285a92
28;This commit adds a quirk for this;as no lid-switch function is better then the interrupt storm;https://api.github.com/repos/torvalds/linux/git/commits/90ed9c639c1b53556f87b1c5031c7e4c57285a92;https://github.com/torvalds/linux/commit/90ed9c639c1b53556f87b1c5031c7e4c57285a92
30;Remove unused acpi_lid_notifier_[un]register() functions;unused;https://api.github.com/repos/torvalds/linux/git/commits/e346d0cf2c0a2dc9e63d5b90824bbe5ac0cc43e2;https://github.com/torvalds/linux/commit/e346d0cf2c0a2dc9e63d5b90824bbe5ac0cc43e2
32;Setting lid_init_state to ACPI_BUTTON_LID_INIT_OPEN on the T200TA  ;fixes the unwanted behavior, adds a DMI based quirk;https://api.github.com/repos/torvalds/linux/git/commits/00e250367cc6c4ab80fea6ec605d464e624bd520;https://github.com/torvalds/linux/commit/00e250367cc6c4ab80fea6ec605d464e624bd520
34; the lid_init_state selection needs to be set to ACPI_BUTTON_LID_INIT_OPEN  ;In order for the Linux LID code to work properly with this implementation;https://api.github.com/repos/torvalds/linux/git/commits/932e1ba486117de2fcea3df27ad8218ad6c11470;https://github.com/torvalds/linux/commit/932e1ba486117de2fcea3df27ad8218ad6c11470
35;Turn lid_blacklst DMI table into a generic quirk table;ACPI: button;https://api.github.com/repos/torvalds/linux/git/commits/d7cd08231a7fafb0d81786515527651d3242a7f4;https://github.com/torvalds/linux/commit/d7cd08231a7fafb0d81786515527651d3242a7f4
37;"Add a new ""disabled"" value for the lid_init_state module option";can be used to disable LID support on devices where it is completely broken;https://api.github.com/repos/torvalds/linux/git/commits/593681e2c75f59f23cf6f6cefc4f00cae2a4522b;https://github.com/torvalds/linux/commit/593681e2c75f59f23cf6f6cefc4f00cae2a4522b
38;re-using the existing option;keeps things simple and it will make it much easier to add DMI quirks which can either disable the LID completely or set another non-default lid_init_state value, both of which are necessary on some devices;https://api.github.com/repos/torvalds/linux/git/commits/593681e2c75f59f23cf6f6cefc4f00cae2a4522b;https://github.com/torvalds/linux/commit/593681e2c75f59f23cf6f6cefc4f00cae2a4522b
39;[ an action or a change that has been made, including a description of the patch behaviour ];[ the reason for a decision or value judgment ];https://api.github.com/repos/torvalds/linux/git/commits/065bd4d35b3fb4484c61fc40a51eeffd5abe52e8;https://github.com/torvalds/linux/commit/065bd4d35b3fb4484c61fc40a51eeffd5abe52e8
40;update Lid state unconditionally in the button driver .resume() callback  ;overlooked the resume case;https://api.github.com/repos/torvalds/linux/git/commits/13e962140be671f31a011543f11477af67a6c33e;https://github.com/torvalds/linux/commit/13e962140be671f31a011543f11477af67a6c33e
42;Fix an issue in button.lid_init_state=ignore mode;Reported-and-tested-by: Zhao Lijian <lijian.zhao@intel.com>;https://api.github.com/repos/torvalds/linux/git/commits/13e962140be671f31a011543f11477af67a6c33e;https://github.com/torvalds/linux/commit/13e962140be671f31a011543f11477af67a6c33e
44;Fix a build warning in the ACPI button driver when CONFIG_PROC_FS is not enabled by marking the unused function as __maybe_unused;not enabled, unused;https://api.github.com/repos/torvalds/linux/git/commits/2c4c2a71bd6f75c3982ac09407889b110673ac83;https://github.com/torvalds/linux/commit/2c4c2a71bd6f75c3982ac09407889b110673ac83
45;Increment wakeup count only when notified;-;https://api.github.com/repos/torvalds/linux/git/commits/7c058c7c74b3dbeb7d157c273959f87faf710350;https://github.com/torvalds/linux/commit/7c058c7c74b3dbeb7d157c273959f87faf710350
46;only trigger acpi_pm_wakeup_event() in the acpi_button_notify() path and don't do that in the acpi_lid_initialize_state() path;To avoid the confusion;https://api.github.com/repos/torvalds/linux/git/commits/7c058c7c74b3dbeb7d157c273959f87faf710350;https://github.com/torvalds/linux/commit/7c058c7c74b3dbeb7d157c273959f87faf710350
47;Variants of proc_create{,_data} that directly take a seq_file show callback;drastically reduces the boilerplate code in the callers;https://api.github.com/repos/torvalds/linux/git/commits/3f3942aca6da351a12543aa776467791b63b3a78;https://github.com/torvalds/linux/commit/3f3942aca6da351a12543aa776467791b63b3a78
48;making the ACPI button driver loadable as a module even if not booted in ACPI mode;to fix the asymmetry and provide the acpi_lid_open() symbol;https://api.github.com/repos/torvalds/linux/git/commits/ac1e55b1fdb27c1b07a0a6fe519f1291ff1e7d40;https://github.com/torvalds/linux/commit/ac1e55b1fdb27c1b07a0a6fe519f1291ff1e7d40
49;"The only solution is to add a DMI based blacklist and ignore the LID device on these tablets.
";There is nothing the ACPI button driver (or the gpio code) can do to fix this.;https://api.github.com/repos/torvalds/linux/git/commits/9e811e19a7aca16d40e1ce0c68e9bbffea1b9810;https://github.com/torvalds/linux/commit/9e811e19a7aca16d40e1ce0c68e9bbffea1b9810
50;evemu-record after noticing a spurious suspend is too late to detect;a LID closed event is the (probable) cause of this;https://api.github.com/repos/torvalds/linux/git/commits/ae35d656d796fa203787455ce59874c6682dc0cf;https://github.com/torvalds/linux/commit/ae35d656d796fa203787455ce59874c6682dc0cf
51;adds an acpi_handle_debug call  ;to help debugging this;https://api.github.com/repos/torvalds/linux/git/commits/ae35d656d796fa203787455ce59874c6682dc0cf;https://github.com/torvalds/linux/commit/ae35d656d796fa203787455ce59874c6682dc0cf
52;Fix function prototypes for module_param_call();-;https://api.github.com/repos/torvalds/linux/git/commits/e4dca7b7aa08b22893c45485d222b5807c1375ae;https://github.com/torvalds/linux/commit/e4dca7b7aa08b22893c45485d222b5807c1375ae
53;fix whitespace in pr_fmt() to align log entries;align log entries;https://api.github.com/repos/torvalds/linux/git/commits/b6aeab44ed387e5264d2969bc7deee993b29a515;https://github.com/torvalds/linux/commit/b6aeab44ed387e5264d2969bc7deee993b29a515
54;The ->sync hook allows all of the relevant event queues to be flushed;to prevent events from being missed due to race conditions;https://api.github.com/repos/torvalds/linux/git/commits/33e4f80ee69b5168badf37edbfed796eb48434b9;https://github.com/torvalds/linux/commit/33e4f80ee69b5168badf37edbfed796eb48434b9
56;"the ""open"" choice is worse";"the ""method"" operation mode implementation can be buggy on some platforms";https://api.github.com/repos/torvalds/linux/git/commits/878d8db039daac0938238e9a40a5bd6e50ee3c9b;https://github.com/torvalds/linux/commit/878d8db039daac0938238e9a40a5bd6e50ee3c9b
57;It breaks docking stations basically;there is no way to have a user-space hwdb to fix that;https://api.github.com/repos/torvalds/linux/git/commits/878d8db039daac0938238e9a40a5bd6e50ee3c9b;https://github.com/torvalds/linux/commit/878d8db039daac0938238e9a40a5bd6e50ee3c9b
58;libinput (1.7.0+) can fix the state of the lid switch for us: you need to set the udev property LIBINPUT_ATTR_LID_SWITCH_RELIABILITY to 'write_open';can fix the state of the lid switch for us;https://api.github.com/repos/torvalds/linux/git/commits/878d8db039daac0938238e9a40a5bd6e50ee3c9b;https://github.com/torvalds/linux/commit/878d8db039daac0938238e9a40a5bd6e50ee3c9b
59;assume the user will use the internal keyboard before this timeout expires;logind only checks the lid switch value after a timeout;https://api.github.com/repos/torvalds/linux/git/commits/878d8db039daac0938238e9a40a5bd6e50ee3c9b;https://github.com/torvalds/linux/commit/878d8db039daac0938238e9a40a5bd6e50ee3c9b
60;"userspace requires to see ""close"" event after the system is resumed";so that it can determine whether the internal display should remain dark and the external display should be lit on;https://api.github.com/repos/torvalds/linux/git/commits/f369fdf4f661322b73f3307e9f3cd55fb3a20123;https://github.com/torvalds/linux/commit/f369fdf4f661322b73f3307e9f3cd55fb3a20123
61;Reversion of button.lid_init_state=method;doing so can enter a regression loop, but facilitates users to work the reported regressions around with;https://api.github.com/repos/torvalds/linux/git/commits/f369fdf4f661322b73f3307e9f3cd55fb3a20123;https://github.com/torvalds/linux/commit/f369fdf4f661322b73f3307e9f3cd55fb3a20123
62;Remove lid_init_state=method mode;Fixes: ecb10b694b72 (ACPI / button: Remove lid_init_state=method mode);https://api.github.com/repos/torvalds/linux/git/commits/f369fdf4f661322b73f3307e9f3cd55fb3a20123;https://github.com/torvalds/linux/commit/f369fdf4f661322b73f3307e9f3cd55fb3a20123
63;The ->sync hook allows all of the relevant event queues to be flushed;to prevent events from being missed due to race conditions;https://api.github.com/repos/torvalds/linux/git/commits/eed4d47efe9508b855b09754cf6de4325d8a2f0d;https://github.com/torvalds/linux/commit/eed4d47efe9508b855b09754cf6de4325d8a2f0d
64;This patch makes it deprecated;lid_init__state=open is more useful than this mode;https://api.github.com/repos/torvalds/linux/git/commits/ecb10b694b72ca5ea51b3c90a71ff2a11963425a;https://github.com/torvalds/linux/commit/ecb10b694b72ca5ea51b3c90a71ff2a11963425a
65;have a separate patch to make lid_init_state=method deprecated  ;lid_init_state=method is buggy;https://api.github.com/repos/torvalds/linux/git/commits/77e9a4aa9de10cc1418bf9a892366988802a8025;https://github.com/torvalds/linux/commit/77e9a4aa9de10cc1418bf9a892366988802a8025
67;This patch adds a mechanism to insert lid events as a compensation for the platform triggered ones to form a complete event switches  ;in order to make sure that the platform triggered events can always be reliably delivered to the userspace;https://api.github.com/repos/torvalds/linux/git/commits/dfa46c50f65b6ca10cea389327a6f1f1749bc633;https://github.com/torvalds/linux/commit/dfa46c50f65b6ca10cea389327a6f1f1749bc633
68;it should not send the complement switch event for the unreliable initial lid state notification;However this mechanism is not suitable for lid_init_state=open/method;https://api.github.com/repos/torvalds/linux/git/commits/dfa46c50f65b6ca10cea389327a6f1f1749bc633;https://github.com/torvalds/linux/commit/dfa46c50f65b6ca10cea389327a6f1f1749bc633
69;implements this mechanism  ;only;https://api.github.com/repos/torvalds/linux/git/commits/dfa46c50f65b6ca10cea389327a6f1f1749bc633;https://github.com/torvalds/linux/commit/dfa46c50f65b6ca10cea389327a6f1f1749bc633
70;Use key event type to implement ACPI lid events;Another approach;https://api.github.com/repos/torvalds/linux/git/commits/dfa46c50f65b6ca10cea389327a6f1f1749bc633;https://github.com/torvalds/linux/commit/dfa46c50f65b6ca10cea389327a6f1f1749bc633
71;While using KEY event type, there is no such problem;no such problem;https://api.github.com/repos/torvalds/linux/git/commits/dfa46c50f65b6ca10cea389327a6f1f1749bc633;https://github.com/torvalds/linux/commit/dfa46c50f65b6ca10cea389327a6f1f1749bc633
72;Remove pointer to old lid_sysfs on unbind;ACPI / button;https://api.github.com/repos/torvalds/linux/git/commits/e370cc8640305aa2fa42b852cccd89e80c28d9a0;https://github.com/torvalds/linux/commit/e370cc8640305aa2fa42b852cccd89e80c28d9a0
73;When we removed the procfs dir on error or if the driver is unbound;the two variables acpi_lid_dir and acpi_button_dir were not reset;https://api.github.com/repos/torvalds/linux/git/commits/e370cc8640305aa2fa42b852cccd89e80c28d9a0;https://github.com/torvalds/linux/commit/e370cc8640305aa2fa42b852cccd89e80c28d9a0
74;Correct a wrong macro usage;This patch simplies the code by merging some redundant code;https://api.github.com/repos/torvalds/linux/git/commits/ee7e22653f5077169ec706b5a140a3be9db381e7;https://github.com/torvalds/linux/commit/ee7e22653f5077169ec706b5a140a3be9db381e7
75;this patch stops sending the initial lid state to the userspace;to avoid sending the wrong lid state to the userspace to trigger such kind of wrong suspending;https://api.github.com/repos/torvalds/linux/git/commits/c2dd420034f24f356b86f90222ef19148b82a5c1;https://github.com/torvalds/linux/commit/c2dd420034f24f356b86f90222ef19148b82a5c1
77;There is no need to carry potentially outdated Free Software Foundation mailing address in file headers;since the COPYING file includes it;https://api.github.com/repos/torvalds/linux/git/commits/4c62dbbce902cf2afa88cac89ec67c828160f431;https://github.com/torvalds/linux/commit/4c62dbbce902cf2afa88cac89ec67c828160f431
78;"Mark ACPI buttons (other than the lid) as ""suspended"" during system suspend and report wakeup events on button events";To prevent propagating those events up the stack;https://api.github.com/repos/torvalds/linux/git/commits/e71eeb2a6bcc6282b95215eb353a3ac9ce3e0de3;https://github.com/torvalds/linux/commit/e71eeb2a6bcc6282b95215eb353a3ac9ce3e0de3
79;Add ACPI Button event via netlink routine;-;https://api.github.com/repos/torvalds/linux/git/commits/0bf6368ee8f25826d0645c0f7a4f17c8845356a4;https://github.com/torvalds/linux/commit/0bf6368ee8f25826d0645c0f7a4f17c8845356a4
80;removed ACPI Button event which originally was sent to userspace via /proc/acpi/event;Remove the old /proc/acpi/event interface;https://api.github.com/repos/torvalds/linux/git/commits/0bf6368ee8f25826d0645c0f7a4f17c8845356a4;https://github.com/torvalds/linux/commit/0bf6368ee8f25826d0645c0f7a4f17c8845356a4
81;This caused ACPI shutdown regression on gentoo;VirtualBox;https://api.github.com/repos/torvalds/linux/git/commits/0bf6368ee8f25826d0645c0f7a4f17c8845356a4;https://github.com/torvalds/linux/commit/0bf6368ee8f25826d0645c0f7a4f17c8845356a4
82;add ACPI Button event back via netlink routine;Now ACPI events are sent to userspace via netlink;https://api.github.com/repos/torvalds/linux/git/commits/0bf6368ee8f25826d0645c0f7a4f17c8845356a4;https://github.com/torvalds/linux/commit/0bf6368ee8f25826d0645c0f7a4f17c8845356a4
83;fix button driver compile error when CONFIG_PM_SLEEP is undefined;CONFIG_PM_SLEEP is undefined;https://api.github.com/repos/torvalds/linux/git/commits/2de9fd17c0359fea0c2ab5ae393c40d6d299bcaf;https://github.com/torvalds/linux/commit/2de9fd17c0359fea0c2ab5ae393c40d6d299bcaf
84;compile error;CONFIG_PM_SLEEP is undefined;https://api.github.com/repos/torvalds/linux/git/commits/2de9fd17c0359fea0c2ab5ae393c40d6d299bcaf;https://github.com/torvalds/linux/commit/2de9fd17c0359fea0c2ab5ae393c40d6d299bcaf
85;Fix enabling button GPEs twice;Fix;https://api.github.com/repos/torvalds/linux/git/commits/8eaa29f92a66c92ade1ad663d14d975d776ef492;https://github.com/torvalds/linux/commit/8eaa29f92a66c92ade1ad663d14d975d776ef492
86;Button GPEs have been enabled in the acpi_wake_device_init() during boot;the button driver enables them for the second time;https://api.github.com/repos/torvalds/linux/git/commits/8eaa29f92a66c92ade1ad663d14d975d776ef492;https://github.com/torvalds/linux/commit/8eaa29f92a66c92ade1ad663d14d975d776ef492
87;remove the GPE enabling code from the button driver;to avoid the problem;https://api.github.com/repos/torvalds/linux/git/commits/8eaa29f92a66c92ade1ad663d14d975d776ef492;https://github.com/torvalds/linux/commit/8eaa29f92a66c92ade1ad663d14d975d776ef492
88;Clean up inclusions of ACPI header files;ACPI;https://api.github.com/repos/torvalds/linux/git/commits/8b48463f89429af408ff695244dc627e1acff4f7;https://github.com/torvalds/linux/commit/8b48463f89429af408ff695244dc627e1acff4f7
89;Replace direct inclusions of <acpi/acpi.h>, <acpi/acpi_bus.h> and <acpi/acpi_drivers.h> with <linux/acpi.h> inclusions and remove some inclusions of those files that aren't necessary;incorrect, not necessary;https://api.github.com/repos/torvalds/linux/git/commits/8b48463f89429af408ff695244dc627e1acff4f7;https://github.com/torvalds/linux/commit/8b48463f89429af408ff695244dc627e1acff4f7
90;<acpi/acpi.h>, <acpi/acpi_bus.h> and <acpi/acpi_drivers.h> should not be included directly from any files that are built for CONFIG_ACPI unset;because that generally leads to build warnings about undefined symbols in !CONFIG_ACPI builds;https://api.github.com/repos/torvalds/linux/git/commits/8b48463f89429af408ff695244dc627e1acff4f7;https://github.com/torvalds/linux/commit/8b48463f89429af408ff695244dc627e1acff4f7
92;<acpi/acpi_bus.h> be included prior to <acpi/acpi_drivers.h>;so that the acpi_pci_root declarations the latter depends on are always there;https://api.github.com/repos/torvalds/linux/git/commits/8b48463f89429af408ff695244dc627e1acff4f7;https://github.com/torvalds/linux/commit/8b48463f89429af408ff695244dc627e1acff4f7
93;Use the patch to replace the origin code;provide a better solution;https://api.github.com/repos/torvalds/linux/git/commits/763f527b68c6b026439f0b12ebe232d96b5563df;https://github.com/torvalds/linux/commit/763f527b68c6b026439f0b12ebe232d96b5563df
96;Remove useless type argument of driver .remove() operation;useless;https://api.github.com/repos/torvalds/linux/git/commits/51fac8388a0325a43f0ae67453ece2c373e2ec28;https://github.com/torvalds/linux/commit/51fac8388a0325a43f0ae67453ece2c373e2ec28
97;"The second argument of ACPI driver .remove() operation is only used by the ACPI processor driver
";the value passed to that driver through it is always available from the given struct acpi_device object's removal_type field;https://api.github.com/repos/torvalds/linux/git/commits/51fac8388a0325a43f0ae67453ece2c373e2ec28;https://github.com/torvalds/linux/commit/51fac8388a0325a43f0ae67453ece2c373e2ec28
98;drop the second ACPI driver .remove() argument  ;the second ACPI driver .remove() argument is in fact useless;https://api.github.com/repos/torvalds/linux/git/commits/51fac8388a0325a43f0ae67453ece2c373e2ec28;https://github.com/torvalds/linux/commit/51fac8388a0325a43f0ae67453ece2c373e2ec28
99;Fix unused function warnings for CONFIG_PM_SLEEP;unused function warnings;https://api.github.com/repos/torvalds/linux/git/commits/9069240480e24a2d6ce23404c9ad6cabf59b7258;https://github.com/torvalds/linux/commit/9069240480e24a2d6ce23404c9ad6cabf59b7258
100;add #ifdefs to prevent them from being built in that case  ;several suspend/resume functions in ACPI drivers are not used for CONFIG_PM_SLEEP unset;https://api.github.com/repos/torvalds/linux/git/commits/9069240480e24a2d6ce23404c9ad6cabf59b7258;https://github.com/torvalds/linux/commit/9069240480e24a2d6ce23404c9ad6cabf59b7258
101;remove unused procfs I/F;unused;https://api.github.com/repos/torvalds/linux/git/commits/912b7427fc13467bac042cc72f2eccbdbc39d773;https://github.com/torvalds/linux/commit/912b7427fc13467bac042cc72f2eccbdbc39d773
102;Remove unused ACPI button procfs interface;unused;https://api.github.com/repos/torvalds/linux/git/commits/912b7427fc13467bac042cc72f2eccbdbc39d773;https://github.com/torvalds/linux/commit/912b7427fc13467bac042cc72f2eccbdbc39d773
103;Avoid disabling wakeup unnecessarily on remove;-;https://api.github.com/repos/torvalds/linux/git/commits/c19f9a84ec807da57fd75bbd9a3f2b8269611f79;https://github.com/torvalds/linux/commit/c19f9a84ec807da57fd75bbd9a3f2b8269611f79
104;Use device wakeup flags for handling ACPI wakeup devices;for handling ACPI wakeup devices;https://api.github.com/repos/torvalds/linux/git/commits/f2b56bc808addb908a5bf435d9b942c02af9a7c4;https://github.com/torvalds/linux/commit/f2b56bc808addb908a5bf435d9b942c02af9a7c4
105;use standard device wakeup flags instead of the special ACPI flags for handling those devices;address this problem;https://api.github.com/repos/torvalds/linux/git/commits/f2b56bc808addb908a5bf435d9b942c02af9a7c4;https://github.com/torvalds/linux/commit/f2b56bc808addb908a5bf435d9b942c02af9a7c4
106;Use GPE reference counting to support shared GPEs  ;the wakeup enable mask bits of GPEs are set as soon as the GPEs are enabled to wake up the system;https://api.github.com/repos/torvalds/linux/git/commits/cb1cb1780f2025a7d612de09131bf6530f80fb1a;https://github.com/torvalds/linux/commit/cb1cb1780f2025a7d612de09131bf6530f80fb1a
107;it is sufficient to set/unset the wakeup mask bits for them during system sleep transitions;"this means that the reference counting of ""wakeup"" GPEs doesn't really make sense";https://api.github.com/repos/torvalds/linux/git/commits/cb1cb1780f2025a7d612de09131bf6530f80fb1a;https://github.com/torvalds/linux/commit/cb1cb1780f2025a7d612de09131bf6530f80fb1a
108;This will allow us to simplify the GPE handling code quite a bit;that change is too intrusive for 2.6.35;https://api.github.com/repos/torvalds/linux/git/commits/cb1cb1780f2025a7d612de09131bf6530f80fb1a;https://github.com/torvalds/linux/commit/cb1cb1780f2025a7d612de09131bf6530f80fb1a
109;Update gfp.h and slab.h includes  ;prepare for breaking implicit slab.h inclusion from percpu.h;https://api.github.com/repos/torvalds/linux/git/commits/5a0e3ad6af8660be21ca98a971cd00f331318c05;https://github.com/torvalds/linux/commit/5a0e3ad6af8660be21ca98a971cd00f331318c05
110;Prepare for this change by updating users of gfp and slab facilities;include those headers directly instead of assuming availability;https://api.github.com/repos/torvalds/linux/git/commits/5a0e3ad6af8660be21ca98a971cd00f331318c05;https://github.com/torvalds/linux/commit/5a0e3ad6af8660be21ca98a971cd00f331318c05
111;the following script is used as the basis of conversion;As this conversion needs to touch a large number of source files;https://api.github.com/repos/torvalds/linux/git/commits/5a0e3ad6af8660be21ca98a971cd00f331318c05;https://github.com/torvalds/linux/commit/5a0e3ad6af8660be21ca98a971cd00f331318c05
112;only the necessary includes are there;necessary;https://api.github.com/repos/torvalds/linux/git/commits/5a0e3ad6af8660be21ca98a971cd00f331318c05;https://github.com/torvalds/linux/commit/5a0e3ad6af8660be21ca98a971cd00f331318c05
113;put the new include  ;its order conforms to its surrounding;https://api.github.com/repos/torvalds/linux/git/commits/5a0e3ad6af8660be21ca98a971cd00f331318c05;https://github.com/torvalds/linux/commit/5a0e3ad6af8660be21ca98a971cd00f331318c05
114;prints out an error message indicating which .h file needs to be added to the file;the file doesn't have fitting include block;https://api.github.com/repos/torvalds/linux/git/commits/5a0e3ad6af8660be21ca98a971cd00f331318c05;https://github.com/torvalds/linux/commit/5a0e3ad6af8660be21ca98a971cd00f331318c05
116;The script was run again  ;to make sure no file was left behind;https://api.github.com/repos/torvalds/linux/git/commits/5a0e3ad6af8660be21ca98a971cd00f331318c05;https://github.com/torvalds/linux/commit/5a0e3ad6af8660be21ca98a971cd00f331318c05
118;The script was run on all .h files but without automatically editing them;sprinkling gfp.h and slab.h inclusions around .h files could easily lead to inclusion dependency hell;https://api.github.com/repos/torvalds/linux/git/commits/5a0e3ad6af8660be21ca98a971cd00f331318c05;https://github.com/torvalds/linux/commit/5a0e3ad6af8660be21ca98a971cd00f331318c05
