Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
Update the reference documentation to include details of <iden>;Closes <pr_link>;Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Similar;0.8868743777275085;0.2349085807800293;
Update the reference documentation to include details of <iden>;Closes <pr_link>;Improve <iden> documentation for reactive applications;Closes <issue_link>;Similar;0.8219848871231079;0.968521237373352;
Update the reference documentation to include details of <iden>;Closes <pr_link>;Improve links to <iden> plugins documentation;Closes <pr_link>;Similar;0.8790274262428284;1.0;
Update the reference documentation to include details of <iden>;Closes <pr_link>;Update documentation for new <iden> support;new <iden> support;Similar;0.8716294765472412;0.5323632955551147;
Update the reference documentation to include details of <iden>;Closes <pr_link>;Fix link formatting in custom <iden> section  ;See <pr_link>;Similar;0.8044894933700562;0.7611262798309326;
Add <iden> slice test support;Add `<iden>` and related test auto-configuration to allow slice testing of  <file_name>  <iden> client applications. See  <pr_link>;Add <iden> for <iden>  ;<iden> is exposed via server.servletPath.;Similar;0.8116330504417419;0.7266634106636047;
Remove the spring-core dependency from the annotation processor;"cherry-picked from otherCommit_link; Fixes issue_link";Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Similar;0.8214740753173828;0.6055408716201782;
Remove the spring-core dependency from the annotation processor;"cherry-picked from otherCommit_link; Fixes issue_link";Remove undefined <iden> appender from basic log4j config <enter> Fixes <issue_link> ;Fixes <issue_link>;Similar;0.806252121925354;0.8052457571029663;
Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Rename redis starter to <file_name> -boot-starter-data-redis;Closes <issue_link>;Similar;0.8105436563491821;0.5044295787811279;
Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Extract auto-configuration from <file_name>;specific auto-configuration, allowing <iden> to be used without <file_name> if required;Similar;0.863611102104187;0.5051928162574768;
Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Add group property to <file_name>;See <pr_link>;Similar;0.8534344434738159;0.6706002950668335;
Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Add <file_name> option for <file_name> building;This commit adds a <file_name> option to the configuration of the Maven plugin spring-boot:build-<file_name> goal and the Gradle plugin <file_name> task. The new option gives users control over pulling the <file_name> and run <file_name> from a remote <file_name> registry to the local <iden> daemon.;Similar;0.8150488138198853;0.48146191239356995;
Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Similar;0.8513943552970886;0.6831583976745605;
Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";Allow binding number to <iden>  <enter>  ;Closes <issue_link>  ;Similar;0.80776447057724;0.5528566837310791;
Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";Set <iden> in default <iden>  ;Only affects the default <iden> (so when users are not overriding the default global user details).;Similar;0.9197676181793212;0.5949802398681641;
Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";Add <iden> for <iden>  ;<iden> is exposed via server.servletPath.;Similar;0.8165125846862793;0.641347348690033;
Update actuator security documentation;Update documentation to align with the new role based method.;Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Similar;0.8250261545181274;0.37732747197151184;0.505072295665741
Fix failing test;failing;Fix checkstyle errors;fix;Similar;0.8548977375030518;0.793189525604248;
Fix failing test;failing;Fix build failure;Fix;Similar;0.8443320989608765;0.793189525604248;
Fix failing test;failing;Fix checkstyle header violation  ;See <issue_link>;Similar;0.8071208596229553;0.6017705202102661;
Fix failing test;failing;Fix checkstyle violation;see the PR link;Similar;0.87326979637146;0.4692680835723877;
Fix failing test;failing;Fix tests;Fix;Similar;0.8806235790252686;0.793189525604248;
Fix failing test;failing;Fix test;Fix;Similar;0.8812907934188843;0.793189525604248;
Add initializer support  ;Add `<iden>` support to `<file_name>`;Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Similar;0.8378215432167053;0.6239820718765259;
Add initializer support  ;Add `<iden>` support to `<file_name>`;Update documentation for new <iden> support;new <iden> support;Similar;0.801926851272583;0.7509086728096008;
Add initializer support  ;Add `<iden>` support to `<file_name>`;Improve <iden> support naming;support naming;Similar;0.8102930784225464;0.7048436403274536;
Add initializer support  ;Add `<iden>` support to `<file_name>`;Add <iden> for <iden>  ;<iden> is exposed via server.servletPath.;Similar;0.8527803421020508;0.709527313709259;
Add initializer support  ;Add `<iden>` support to `<file_name>`;Add test for nested properties;test for nested properties;Similar;0.8128929138183594;0.6373335719108582;
Fix merge conflict  ;Closes <issue_link>;Fix checkstyle violation;see the PR link;Similar;0.80555659532547;0.546567976474762;
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.;Similar;0.8336968421936035;0.3276137411594391;
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Extract auto-configuration from <file_name>;specific auto-configuration, allowing <iden> to be used without <file_name> if required;Similar;0.8161293268203735;0.5298907160758972;
Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Similar;0.8164408206939697;0.7049267292022705;
Fix <file_name> outer class tangle;Fixes <issue_link>;Fix  <file_name>  javadoc;Fix;Similar;0.8304834365844727;0.8193787932395935;
Fix checkstyle errors;fix;Fix build failure;Fix;Similar;0.8247348070144653;1.0;
Fix checkstyle errors;fix;Fix broken links in the documentation;broken links;Similar;0.8006472587585449;0.6973077654838562;
Fix checkstyle errors;fix;Fix checkstyle header violation  ;See <issue_link>;Similar;0.8881768584251404;0.7424383759498596;
Fix checkstyle errors;fix;Improve error handling in <iden> upgrade checks;See <pr_link>;Similar;0.817946195602417;0.711220383644104;
Fix checkstyle errors;fix;Fix checkstyle violation;see the PR link;Similar;0.9404999613761902;0.6174182891845703;
Fix checkstyle errors;fix;Fix tests;Fix;Similar;0.817817747592926;1.0;
Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Extract auto-configuration from <file_name>;specific auto-configuration, allowing <iden> to be used without <file_name> if required;Similar;0.8281834721565247;0.5563284158706665;
Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Remove undefined <iden> appender from basic log4j config <enter> Fixes <issue_link> ;Fixes <issue_link>;Similar;0.8292595148086548;0.784974217414856;
Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;Update <file_name>, Replace line break with missing line fold, Closes <pr_link>;to continue the property value;Similar;0.8560144305229187;0.4281032085418701;
Fix encoding of @bean in reference documentation;Closes <issue_link>;Fix typos in Javadocs;Improve documentation accuracy;Similar;0.8204789161682129;0.471250981092453;
Fix doc formatting;Closes <issue_link>;Fix datasource metrics doc;The maximum and minimum number of connections are not metrics so these are not exposed. Fix the doc that stated the contrary.;Similar;0.9113113880157472;0.3845573663711548;
Fix doc formatting;Closes <issue_link>;Fix exec-maven-plugin configuration issue;fixes <issue_link>;Similar;0.8245049118995667;0.7925823926925659;
Fix doc formatting;Closes <issue_link>;Fix typo a -> an  ;Fix typo;Similar;0.8278794288635254;0.6358264684677124;
Fix doc formatting;Closes <issue_link>;Fix link formatting in custom <iden> section  ;See <pr_link>;Similar;0.8008968234062195;0.7246291637420654;0.6205247044563293
Fix doc formatting;Closes <issue_link>;Fix tests;Fix;Similar;0.8062737584114075;0.6409140825271606;
Fix health indicator auto-configuration order;The health auto-configuration `AutoconfigureOrder` entry was referring to the standard couchbase auto-configuration that was not responsible for configuring the `CouchbaseOperations` bean, causing the health indicator implementation to rely on the presence of such a bean.;Fix documentation for health endpoint security  ;Fixes <issue_link>;Similar;0.8581267595291138;0.38609927892684937;
Fix datasource metrics doc;The maximum and minimum number of connections are not metrics so these are not exposed. Fix the doc that stated the contrary.;Fix exec-maven-plugin configuration issue;fixes <issue_link>;Similar;0.8079839944839478;0.3021080493927002;
Fix datasource metrics doc;The maximum and minimum number of connections are not metrics so these are not exposed. Fix the doc that stated the contrary.;Fix typo a -> an  ;Fix typo;Similar;0.8134015202522278;0.3062235713005066;
Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Allow binding number to <iden>  <enter>  ;Closes <issue_link>  ;Similar;0.8350698947906494;0.5199292898178101;
Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Set <iden> in default <iden>  ;Only affects the default <iden> (so when users are not overriding the default global user details).;Similar;0.8802893757820129;0.5598067045211792;
Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Align expectations of various <iden> configurations;They all want to create an <iden> and when that happens user sees no MBeans, or sometimes just one set (<iden> Core, <iden> or <iden>). To harmonise them we create a  @bean  of type <iden> and link to it in the other autoconfigs;Similar;0.8001569509506226;0.5911142230033875;
Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes;Add <iden> for <iden>  ;<iden> is exposed via server.servletPath.;Similar;0.8747154474258423;0.6545277237892151;
Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Allow binding number to <iden>  <enter>  ;Closes <issue_link>  ;Similar;0.8185932040214539;0.22990433871746063;
Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Improve <iden> documentation for reactive applications;Closes <issue_link>;Similar;0.8039640784263611;0.22990433871746063;
Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Improve links to <iden> plugins documentation;Closes <pr_link>;Similar;0.8337823748588562;0.2349085807800293;
Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Update documentation for new <iden> support;new <iden> support;Similar;0.831217885017395;0.22041095793247223;
Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Fix typo a -> an  ;Fix typo;Similar;0.8100650310516357;0.2657167315483093;
Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and were only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>s `<iden>` exists and is primary, we shouldnt flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that well auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`;Fix profile precedence when active and include provided  ;If profiles were activated via the environment using the active and include profile property, profiles specified via the active property would take precedence. This commit restores that behavior.;Similar;0.8162766695022583;0.5351251363754272;
