Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.803572952747345;0.6109313368797302;
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix typo:<iden> ( <pr_link> );typo;Similar;0.8112691640853882;0.7257235050201416;
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fix <issue_link> ( <pr_link> );fix;Similar;0.820050835609436;0.6700548529624939;
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Make code of process callback of method cleaner in <file_name> (<pr_link>);cleaner;Similar;0.828903079032898;0.5660650730133057;
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.884833037853241;0.6726975440979004;
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Similar;0.8018043637275696;0.5912781953811646;
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;fix typo:<iden> ( <pr_link> );typo;Similar;0.8133082389831543;0.6479573845863342;
Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Similar;0.8050821423530579;0.6187323331832886;
Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;fix typo ( <pr_link> );typo;Similar;0.8066344857215881;0.75819993019104;
Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;fix typo:<iden> ( <pr_link> );typo;Similar;0.8210673332214355;0.75819993019104;
Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8041293621063232;0.6243098974227905;
Remove redundant judgment ( <pr_link> );redundant;reduce the level of request data in timeout log ( <pr_link> ) <enter>  ;to control the size of log;Similar;0.8351635932922363;0.4588490426540375;
Remove redundant judgment ( <pr_link> );redundant;revert (<pr_link>);performance tuning;Similar;0.8183485269546509;0.43769529461860657;
Remove redundant judgment ( <pr_link> );redundant;Remove duplicate ut classes;duplicate;Similar;0.8617033958435059;0.7659105062484741;
Remove redundant judgment ( <pr_link> );redundant;Remove call of deprecated method;Deprecated;Similar;0.891352653503418;0.9005244970321655;
Remove redundant judgment ( <pr_link> );redundant;Remove unnecessary dependencies ;unnecessary;Similar;0.854846715927124;0.9226030111312866;
Remove redundant judgment ( <pr_link> );redundant;Remove unused variable parameters in <file_name> (<pr_link>);unused;Similar;0.8669729828834534;0.8929482102394104;
Remove redundant judgment ( <pr_link> );redundant;Remove unused code  ;unused;Similar;0.8522146940231323;0.8929482102394104;
Remove redundant judgment ( <pr_link> );redundant;Remove unnecessary null check and fix typo;unnecessary, fix typo;Similar;0.8556498885154724;0.8103369474411011;
Remove redundant judgment ( <pr_link> );redundant;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;Similar;0.8103709816932678;0.5551414489746094;
Remove redundant judgment ( <pr_link> );redundant;Reduce object allocation for <method_name>;"-
None";Similar;0.883053719997406;0.8509350419044495;0.522639274597168
Remove redundant judgment ( <pr_link> );redundant;Refactor: remove;and replace it with <method_name> ( <pr_link> );Similar;0.8752053380012512;0.5700613856315613;
Remove redundant judgment ( <pr_link> );redundant;Remove unused import for unit test;clear unused import;Similar;0.8218733072280884;0.7533678412437439;
Remove redundant judgment ( <pr_link> );redundant;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.9469007849693298;0.31306540966033936;
add <iden> for dynamically created class;dynamically created;add switch of generic invocation with class info  ;fix;Similar;0.8804755806922913;0.8109467029571533;
add <iden> for dynamically created class;dynamically created;add start status for <iden> server  ;-;Similar;0.8030076026916504;0.7704287767410278;
add <iden> for dynamically created class;dynamically created;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.8085769414901733;0.598954439163208;
fix test case DUBBO-135  ;test case glitch fix;Fix issue#5411 (<pr_link>);Fix;Similar;0.801507294178009;0.709597110748291;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Similar;0.9275956749916076;0.5294555425643921;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;add comment for <file_name>;see <issue_link>;Similar;0.8754220604896545;0.7003580927848816;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Save <file_name> allocation;Performance tuning;Similar;0.8102825284004211;0.6507061719894409;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Similar;0.8432356119155884;0.7284587621688843;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Similar;0.8741880059242249;0.7596575021743774;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Fix NPE in <file_name>  ;Fix;Similar;0.8832865953445435;0.8598103523254395;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Similar;0.8903182744979858;0.6969242691993713;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Add <file_name> name and fix <file_name> error  ;error;Similar;0.8750016689300537;0.6804057359695435;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Fixed typo in \<file_name\>  ;mDeamo;Similar;0.80704665184021;0.6551441550254822;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Change <method_name> wait/notify to lock/condition;Fixed <pr_link>;Similar;0.8286387920379639;0.7389040589332581;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.876034140586853;0.6221616864204407;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.8904160261154175;0.6857527494430542;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;fix typo ( <pr_link> );typo;Similar;0.8888777494430542;0.626356840133667;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Enable <file_name> ( <pr_link> );Enable;Similar;0.8638418912887573;0.7349613308906555;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Similar;0.8587825298309326;0.6470663547515869;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;fix typo:<iden> ( <pr_link> );typo;Similar;0.9208295345306396;0.626356840133667;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.9177072048187256;0.8328744173049927;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;add <file_name> rule to check import order;<pr_link>;Similar;0.8329818248748779;0.6858243346214294;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Fix <issue_link> ( <pr_link> );fix;Similar;0.8613353967666626;0.8598103523254395;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Make code of process callback of method cleaner in <file_name> (<pr_link>);cleaner;Similar;0.8384705781936646;0.6481437683105469;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Adding the new methods into <file_name>  ;to manipulate the exported <iden> for service introspection ( <pr_link> );Similar;0.8183925747871399;0.6177486181259155;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8620746731758118;0.8209810256958008;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.9426419734954834;0.7265825867652893;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;modify consumer  <file_name> : param type from string to map;param type from string to map;Similar;0.8127002716064453;0.6317504644393921;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8653587102890015;0.633454442024231;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.8501008749008179;0.6228443384170532;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.859062135219574;0.859091579914093;
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8857384324073792;0.5511336326599121;
reduce the level of request data in timeout log ( <pr_link> ) <enter>  ;to control the size of log;Reduce memory allocation during address change notification;reduce allocation during export and refer at start up;Similar;0.8435716032981873;0.5025067925453186;
reduce the level of request data in timeout log ( <pr_link> ) <enter>  ;to control the size of log;Remove unused variable parameters in <file_name> (<pr_link>);unused;Similar;0.860373854637146;0.4860301911830902;
reduce the level of request data in timeout log ( <pr_link> ) <enter>  ;to control the size of log;Reduce object allocation for <method_name>;"-
None";Similar;0.8739674687385559;0.4290010929107666;0.6910886168479919
reduce the level of request data in timeout log ( <pr_link> ) <enter>  ;to control the size of log;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8346255421638489;0.43842315673828125;
Fix Not Properly Closed Resources ( <pr_link> );Not Properly Closed;fix dubbo.properties cannot work on <iden>;dubbo.properties cannot work on <iden>;Similar;0.8414785265922546;0.650315523147583;
Fix Not Properly Closed Resources ( <pr_link> );Not Properly Closed;fix protocol register set false not work ( <pr_link> );not work;Similar;0.8467710018157959;0.8093279600143433;
Reduce memory allocation during address change notification;reduce allocation during export and refer at start up;Remove call of deprecated method;Deprecated;Similar;0.8021038174629211;0.7067365646362305;
Reduce memory allocation during address change notification;reduce allocation during export and refer at start up;Remove unnecessary null check and fix typo;unnecessary, fix typo;Similar;0.8071404695510864;0.697199821472168;
Reduce memory allocation during address change notification;reduce allocation during export and refer at start up;Reduce object allocation for <method_name>;"-
None";Similar;0.8347072601318359;0.4975349009037018;0.8485833406448364
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;add comment for <file_name>;see <issue_link>;Similar;0.8352023363113403;0.6512123942375183;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Save <file_name> allocation;Performance tuning;Similar;0.8068352937698364;0.5033021569252014;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Similar;0.8133640885353088;0.5907158255577087;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Similar;0.8613532185554504;0.5959713459014893;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Fix NPE in <file_name>  ;Fix;Similar;0.8753676414489746;0.6187323331832886;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Similar;0.8214342594146729;0.5586873292922974;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Add <file_name> name and fix <file_name> error  ;error;Similar;0.852455735206604;0.6011109352111816;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Fixed typo in \<file_name\>  ;mDeamo;Similar;0.8168858885765076;0.632564902305603;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Change <method_name> wait/notify to lock/condition;Fixed <pr_link>;Similar;0.8060635924339294;0.5712549090385437;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.8395475149154663;0.6293966770172119;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.8398237228393555;0.5197359323501587;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;fix typo ( <pr_link> );typo;Similar;0.8878651857376099;0.6481857299804688;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Enable <file_name> ( <pr_link> );Enable;Similar;0.8319600820541382;0.5194357633590698;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;fix typo:<iden> ( <pr_link> );typo;Similar;0.9215298295021056;0.6481857299804688;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8517658710479736;0.6162257194519043;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;add <file_name> rule to check import order;<pr_link>;Similar;0.8177914619445801;0.6487969160079956;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Fix <issue_link> ( <pr_link> );fix;Similar;0.859386146068573;0.6187323331832886;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Fix NPE when unexport <iden> ( <pr_link> );NPE;Similar;0.820561408996582;0.5895075798034668;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8058432340621948;0.5036970376968384;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.9079396724700928;0.49405696988105774;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.827604353427887;0.5412712097167969;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.8298697471618652;0.6020206212997437;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8285890817642212;0.5136499404907227;
fix alibaba <file_name> setAttachment(<iden>) ( <pr_link> );bugfix;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8330127000808716;0.3981856107711792;
add comment for <file_name>;see <issue_link>;add start status for <iden> server  ;-;Similar;0.8113727569580078;0.724563479423523;
add comment for <file_name>;see <issue_link>;Save <file_name> allocation;Performance tuning;Similar;0.8674560189247131;0.6206058263778687;
add comment for <file_name>;see <issue_link>;Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Similar;0.8684264421463013;0.8273607492446899;
add comment for <file_name>;see <issue_link>;Fix NPE in <file_name>  ;Fix;Similar;0.8780645728111267;0.7424383759498596;
add comment for <file_name>;see <issue_link>;Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Similar;0.8718405961990356;0.788552463054657;
add comment for <file_name>;see <issue_link>;Add <file_name> name and fix <file_name> error  ;error;Similar;0.8407342433929443;0.6742194890975952;
add comment for <file_name>;see <issue_link>;Fixed typo in \<file_name\>  ;mDeamo;Similar;0.8014110326766968;0.7738930583000183;
add comment for <file_name>;see <issue_link>;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.9045333862304688;0.63994961977005;
add comment for <file_name>;see <issue_link>;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.886055588722229;0.724563479423523;
add comment for <file_name>;see <issue_link>;Enable <file_name> ( <pr_link> );Enable;Similar;0.9097501039505004;0.7136344909667969;
add comment for <file_name>;see <issue_link>;Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Similar;0.8559370040893555;0.7543313503265381;
add comment for <file_name>;see <issue_link>;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.9200194478034972;0.7887626886367798;
add comment for <file_name>;see <issue_link>;add <file_name> rule to check import order;<pr_link>;Similar;0.8486656546592712;0.9067232608795166;
add comment for <file_name>;see <issue_link>;Adding the new methods into <file_name>  ;to manipulate the exported <iden> for service introspection ( <pr_link> );Similar;0.8064824342727661;0.6806399822235107;
add comment for <file_name>;see <issue_link>;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8841813802719116;0.6635295152664185;
add comment for <file_name>;see <issue_link>;Correct <file_name> version  ;Correct;Similar;0.8346074819564819;0.6396697759628296;
add comment for <file_name>;see <issue_link>;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8244737982749939;0.6872921586036682;
add comment for <file_name>;see <issue_link>;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.927472710609436;0.666441023349762;
add comment for <file_name>;see <issue_link>;Update README.md ( <pr_link> )  <enter> add @override annotation;to include the @override annotation;Similar;0.801719605922699;0.7363502979278564;
add comment for <file_name>;see <issue_link>;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8317253589630127;0.7589102983474731;
add comment for <file_name>;see <issue_link>;Change <iden> to regular list in <file_name> (<pr_link>);to regular list;Similar;0.8053708076477051;0.5650902986526489;
add start status for <iden> server  ;-;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.8080805540084839;0.4512050449848175;
add gpg signing plugin for protobuf compiler ;for protobuf compiler;add maven-compiler-plugin to <file_name>;to use Maven compiler plugin;Similar;0.8539060950279236;0.8885270357131958;
Shorten the life cycle of <iden>;to get a better gc effect ( <pr_link> );Consider removing <iden> later  ;<iden> is unstable;Similar;0.8290210962295532;0.4939349591732025;
Shorten the life cycle of <iden>;to get a better gc effect ( <pr_link> );Refactor: remove;and replace it with <method_name> ( <pr_link> );Similar;0.8051894903182983;0.6363900899887085;
Shorten the life cycle of <iden>;to get a better gc effect ( <pr_link> );remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8198131322860718;0.5939207077026367;
revert (<pr_link>);performance tuning;fix typo ( <pr_link> );typo;Similar;0.8251420259475708;0.5471994876861572;
revert (<pr_link>);performance tuning;Enable <file_name> ( <pr_link> );Enable;Similar;0.8060706853866577;0.622632622718811;
revert (<pr_link>);performance tuning;Fix <issue_link> ( <pr_link> );fix;Similar;0.8431588411331177;0.6748059988021851;
revert (<pr_link>);performance tuning;remove the space ( <pr_link> );follow up for pr#4339;Similar;0.8053336143493652;0.3983137309551239;
revert (<pr_link>);performance tuning;switch from <iden> to regular list;in order to avoid potential UnsupportedOperationException ( <pr_link> );Similar;0.8345810174942017;0.4354338049888611;
Save <file_name> allocation;Performance tuning;Fix NPE in <file_name>  ;Fix;Similar;0.84772789478302;0.6748059988021851;
Save <file_name> allocation;Performance tuning;Fixed typo in \<file_name\>  ;mDeamo;Similar;0.8095772862434387;0.5378116369247437;
Save <file_name> allocation;Performance tuning;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.8027963042259216;0.5475368499755859;
Save <file_name> allocation;Performance tuning;Enable <file_name> ( <pr_link> );Enable;Similar;0.8844659924507141;0.622632622718811;
Save <file_name> allocation;Performance tuning;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8491191267967224;0.6730895638465881;
Save <file_name> allocation;Performance tuning;Correct <file_name> version  ;Correct;Similar;0.8708794116973877;0.5907812714576721;
Save <file_name> allocation;Performance tuning;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8421311378479004;0.45629751682281494;
Save <file_name> allocation;Performance tuning;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8079270124435425;0.6646641492843628;0.5324980616569519
fix conflicts after merged master;after merged master;Fix UT problems after structure change  ;after structure change;Similar;0.8531420230865479;0.760002851486206;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Fix NPE in <file_name>  ;Fix;Similar;0.8260093331336975;0.82145756483078;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Change  <file_name>  and  <file_name> : scope and rules  ;scope and rules  ;Similar;0.8320412635803223;0.7710174918174744;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Add <file_name> name and fix <file_name> error  ;error;Similar;0.8190502524375916;0.7875387668609619;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;"add the router key in <file_name> (<pr_link>)
";-;Similar;0.8136966228485107;0.8374423980712891;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Enable <file_name> ( <pr_link> );Enable;Similar;0.8248770833015442;0.7865192890167236;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;fix typo:<iden> ( <pr_link> );typo;Similar;0.8206086158752441;0.8018568754196167;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;use revision in  <file_name>  ( <pr_link> );Revision use;Similar;0.8469340801239014;0.8145132064819336;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;add <file_name> rule to check import order;<pr_link>;Similar;0.821938693523407;0.8119400143623352;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Adding the overriding rule for <file_name> (<pr_link>);Enhancement;Similar;0.8475583791732788;0.7472565174102783;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8003053069114685;0.6108626127243042;
Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Similar;0.8857403993606567;0.5445026755332947;
Check config instance in <file_name> before create a new one;"-

None";Change <method_name> wait/notify to lock/condition;Fixed <pr_link>;Similar;0.8005728125572205;0.6327900886535645;0.512087881565094
Config optimization.  ;add, hold reference of, change from-spring to include-spring-env;Fix comments;Fix;Similar;0.800026535987854;0.4312191307544708;
Config optimization.  ;add, hold reference of, change from-spring to include-spring-env;Enhancement;file_name, pr_link;Similar;0.8073875308036804;0.45978766679763794;
Config optimization.  ;add, hold reference of, change from-spring to include-spring-env;Fix <issue_link> ( <pr_link> );fix;Similar;0.8253578543663025;0.4312191307544708;
Config optimization.  ;add, hold reference of, change from-spring to include-spring-env;Fix typo;typo;Similar;0.8026461601257324;0.35361963510513306;
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;fix typo ( <pr_link> );typo;Similar;0.8699032664299011;0.5809144973754883;
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Enable <file_name> ( <pr_link> );Enable;Similar;0.8043807744979858;0.6097137331962585;
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Enhance <file_name> support generate type definition which contains <iden> or <iden>;support generate type definition;Similar;0.8057307004928589;0.7459455132484436;
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;fix typo:<iden> ( <pr_link> );typo;Similar;0.8993447422981262;0.5809144973754883;
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Fix <issue_link> ( <pr_link> );fix;Similar;0.8948224186897278;0.687451183795929;
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Fix NPE when unexport <iden> ( <pr_link> );NPE;Similar;0.8288543224334717;0.5875406265258789;
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Similar;0.8665330410003662;0.6574529409408569;
support handle of exception from <iden> or <iden> ( <pr_link> ) <enter> fix <pr_link>;handle of exception from <iden> or <iden> <enter> fix <pr_link>;Support <iden> auto recognize in <file_name> ( <pr_link>);"Enhancement

Decision: Fix <issue_link>";Similar;0.8068572282791138;0.8208481073379517;
Fix configurator bug;configurator;Fix comments;Fix;Similar;0.8212873935699463;0.8218051195144653;
