Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales
Introduce kmalloc_size_roundup();"serve this function so we can start replacing the ""anticipatory resizing"" uses of ksize()";We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;Contradicts;0.8381441831588745;0.673957109451294
Introduce kmalloc_size_roundup();"serve this function so we can start replacing the ""anticipatory resizing"" uses of ksize()";we dont encode seperate size and next fields into each slob block;"use the sign bit to distinguish between ""size"" or ""next""";Contradicts;0.9264259338378906;0.5682151317596436
Introduce kmalloc_size_roundup();"serve this function so we can start replacing the ""anticipatory resizing"" uses of ksize()";Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9250497221946716;0.678627073764801
Remove export symbol and move declaration to mm/slab.h  ;we dont want to grow its callers;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.8365750908851624;0.5859299898147583
Remove export symbol and move declaration to mm/slab.h  ;we dont want to grow its callers;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.908570408821106;0.31249547004699707
unify NUMA and UMA version of tracepoints;mm/slab_common;we dont encode seperate size and next fields into each slob block;"use the sign bit to distinguish between ""size"" or ""next""";Contradicts;0.8351673483848572;0.5674521923065186
Make kmalloc_track_caller() wrapper of kmalloc_node_track_caller();-;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9137552976608276;-0.023391034454107285
Make kmalloc_track_caller() wrapper of kmalloc_node_track_caller();-;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9267287850379944;0.6270622611045837
Remove CONFIG_NUMA ifdefs for common kmalloc functions;Now that slab_alloc_node() is available for SLAB when CONFIG_NUMA=n;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8069032430648804;0.434836208820343
Slab caches marked with SLAB_ACCOUNT force accounting for every allocation from this cache  ;even if __GFP_ACCOUNT flag is not passed;Cleanup zeroing allocations;Slab allocators;Contradicts;0.873107373714447;0.4686316251754761
Slab caches marked with SLAB_ACCOUNT force accounting for every allocation from this cache  ;even if __GFP_ACCOUNT flag is not passed;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.898834228515625;0.517853319644928
increase the minimum slab alignment to 16;When CONFIG_KASAN_HW_TAGS is enabled;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9781634211540222;0.1357274204492569
increase the minimum slab alignment to 16;When CONFIG_KASAN_HW_TAGS is enabled;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9275133609771729;0.40242764353752136
increase the minimum slab alignment to 16;When CONFIG_KASAN_HW_TAGS is enabled;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9352408051490784;0.546926736831665
This happens even if MTE is not supported in hardware or disabled via kasan=off;which creates an unnecessary memory overhead in those cases;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.8928127884864807;0.5493872165679932
waiting for quiescence after a full Android boot;with a kernel built with CONFIG_KASAN_HW_TAGS;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9376110434532166;0.3422982096672058
list_lru does not need the capability of tracking every memcg on every superblock;For these systems with huge container counts;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8587898015975952;0.3834032416343689
Introduce kmem_cache_alloc_lru to allocate objects and its list_lru;to allocate objects;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9707039594650269;0.042896874248981476
Introduce kmem_cache_alloc_lru to allocate objects and its list_lru;to allocate objects;We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;Contradicts;0.9647458791732788;0.5393664836883545
Introduce kmem_cache_alloc_lru to allocate objects and its list_lru;to allocate objects;Cleanup zeroing allocations;Slab allocators;Contradicts;0.8333035111427307;0.67307049036026
Remove unnecessary page_mapcount_reset() function call;unnecessary;"Introduce much more complexity to both SLUB and memcg
";than this small patch;Contradicts;0.8416944742202759;0.7350378036499023
Use unused field for units;instead;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8524829745292664;0.4168884754180908
use struct folio instead of struct page;Where non-slab page can appear;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9491190910339355;0.16083963215351105
use struct folio instead of struct page;Where non-slab page can appear;This patch makes the slab and slub code use page->lru universally instead of mixing ->list and ->lru;mixing ->list and ->lru;Contradicts;0.9774367809295654;0.528471827507019
use struct folio instead of struct page;Where non-slab page can appear;The new rule is: page->lru is what you use;if you want to keep your page on a list;Contradicts;0.944092333316803;0.5203257203102112
use struct folio instead of struct page;Where non-slab page can appear;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8705927133560181;0.5591379404067993
dont introduce wrappers for PageSlobFree in mm/slab.h;"just for the single callers being wrappers in mm/slob.c

Decision: fix NULL pointer deference";This patch makes the slab and slub code use page->lru universally instead of mixing ->list and ->lru;mixing ->list and ->lru;Contradicts;0.8636457920074463;0.402469664812088
dont introduce wrappers for PageSlobFree in mm/slab.h;"just for the single callers being wrappers in mm/slob.c

Decision: fix NULL pointer deference";annotate reclaim context (__GFP_NOFS), fix SLOB;lockdep;Contradicts;0.8497216105461121;0.37991204857826233
dont introduce wrappers for PageSlobFree in mm/slab.h;"just for the single callers being wrappers in mm/slob.c

Decision: fix NULL pointer deference";Introduce a memory-zeroing variant of kmem_cache_alloc;memory-zeroing variant;Contradicts;0.962471842765808;0.6024171113967896
By using the slab type instead of the page type  ;we make it obvious that this can only be called for slabs;This patch makes the slab and slub code use page->lru universally instead of mixing ->list and ->lru;mixing ->list and ->lru;Contradicts;0.9691905975341796;0.3663308322429657
By using the slab type instead of the page type  ;we make it obvious that this can only be called for slabs;The new rule is: page->lru is what you use;if you want to keep your page on a list;Contradicts;0.9512932896614076;0.27794161438941956
By using the slab type instead of the page type  ;we make it obvious that this can only be called for slabs;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9260067343711852;0.3150734603404999
Dont build mm_dump_obj() on CONFIG_PRINTK=n kernels;CONFIG_PRINTK=n;This is possible now;the acquisition of the mutex was moved into kmem_cache_create();Contradicts;0.8542044758796692;0.5955944061279297
Dont build mm_dump_obj() on CONFIG_PRINTK=n kernels;CONFIG_PRINTK=n;adds alloc_pages_exact_node() that only checks the nid;To avoid a comparison and branch, this patch;Contradicts;0.8807080984115601;0.43803051114082336
Dont build mm_dump_obj() on CONFIG_PRINTK=n kernels;CONFIG_PRINTK=n;Introduce krealloc();reallocates memory while keeping the contents unchanged;Contradicts;0.8021864891052246;0.5279307961463928
This patch adds the slab name to trace_kmem_cache_free();to trace_kmem_cache_free;We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;Contradicts;0.9579660892486572;0.5576825141906738
This patch adds the slab name to trace_kmem_cache_free();to trace_kmem_cache_free;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9537898898124696;0.3604636788368225
This patch adds the slab name to trace_kmem_cache_free();to trace_kmem_cache_free;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9784733057022096;0.47508326172828674
Add mem_dump_obj() to print source of memory block;to print source of memory block;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9758762717247008;0.1394931972026825
Add mem_dump_obj() to print source of memory block;to print source of memory block;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8074954152107239;0.46367454528808594
Add mem_dump_obj() to print source of memory block;to print source of memory block;we dont encode seperate size and next fields into each slob block;"use the sign bit to distinguish between ""size"" or ""next""";Contradicts;0.8011776208877563;0.68255215883255
Add mem_dump_obj() to print source of memory block;to print source of memory block;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.8919273614883423;0.571667492389679
There are kernel facilities such as per-CPU reference counts that give error messages in generic handlers or callbacks  ;messages are unenlightening;All documentation files were explicitly excluded;explicitly excluded;Contradicts;0.9435585141181946;0.7107151746749878
There are kernel facilities such as per-CPU reference counts that give error messages in generic handlers or callbacks  ;messages are unenlightening;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8028975129127502;0.3817563056945801
There are kernel facilities such as per-CPU reference counts that give error messages in generic handlers or callbacks  ;messages are unenlightening;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.8899502754211426;0.47170260548591614
this is not a problem when creating a new use of this facility  ;the bug is almost certainly in the code implementing that new use;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9698386788368224;0.21989013254642487
"This pointer can reference the middle of the block as well as the beginning of the block, as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
";as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is;the allocation return address can be printed only for slab and slub  ;only when the necessary debug has been enabled;Contradicts;0.8366007208824158;0.5273250341415405
"This pointer can reference the middle of the block as well as the beginning of the block, as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
";as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is;All documentation files were explicitly excluded;explicitly excluded;Contradicts;0.9900942444801332;0.28041478991508484
"This pointer can reference the middle of the block as well as the beginning of the block, as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
";as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9990659356117249;0.36524465680122375
"This pointer can reference the middle of the block as well as the beginning of the block, as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
";as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is;The new rule is: page->lru is what you use;if you want to keep your page on a list;Contradicts;0.8965041041374207;0.4909248948097229
"This pointer can reference the middle of the block as well as the beginning of the block, as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
";as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is;we dont care about the RCU head state before passing it to call_rcu();anyway;Contradicts;0.8760831952095032;0.2832043766975403
"This pointer can reference the middle of the block as well as the beginning of the block, as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
";as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is;adds alloc_pages_exact_node() that only checks the nid;To avoid a comparison and branch, this patch;Contradicts;0.9510998129844666;0.4418749213218689
"This pointer can reference the middle of the block as well as the beginning of the block, as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
";as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9818750023841858;0.41773879528045654
"This pointer can reference the middle of the block as well as the beginning of the block, as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
";as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9342201948165894;0.4443759620189667
These functions and handlers can use mem_dump_obj();to print out better hints as to where the problem might lie;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9939306974411012;0.3088061809539795
These functions and handlers can use mem_dump_obj();to print out better hints as to where the problem might lie;The new rule is: page->lru is what you use;if you want to keep your page on a list;Contradicts;0.856963574886322;0.4111190140247345
The information printed can depend on kernel configuration;depend on kernel configuration;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8987814784049988;0.39135852456092834
The information printed can depend on kernel configuration;depend on kernel configuration;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.8838474154472351;0.5703030824661255
the allocation return address can be printed only for slab and slub  ;only when the necessary debug has been enabled;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9128775596618652;0.5767441987991333
build with CONFIG_DEBUG_SLAB=y and either use sizes with ample space to the next power of two or use the SLAB_STORE_USER when creating the kmem_cache structure;For slab;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9881039261817932;0.162156879901886
build with CONFIG_DEBUG_SLAB=y and either use sizes with ample space to the next power of two or use the SLAB_STORE_USER when creating the kmem_cache structure;For slab;We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;Contradicts;0.8505476713180542;0.49659499526023865
build with CONFIG_DEBUG_SLAB=y and either use sizes with ample space to the next power of two or use the SLAB_STORE_USER when creating the kmem_cache structure;For slab;we dont encode seperate size and next fields into each slob block;"use the sign bit to distinguish between ""size"" or ""next""";Contradicts;0.8358720541000366;0.5742344260215759
build with CONFIG_DEBUG_SLAB=y and either use sizes with ample space to the next power of two or use the SLAB_STORE_USER when creating the kmem_cache structure;For slab;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.989068567752838;0.6332048177719116
Use CONFIG_STACKTRACE for slub  ;to enable printing of the allocation-time stack trace.;All documentation files were explicitly excluded;explicitly excluded;Contradicts;0.8253954648971558;0.40130814909935
Use CONFIG_STACKTRACE for slub  ;to enable printing of the allocation-time stack trace.;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9674761295318604;0.13585993647575378
Use CONFIG_STACKTRACE for slub  ;to enable printing of the allocation-time stack trace.;We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;Contradicts;0.9028729796409608;0.5905473828315735
Use CONFIG_STACKTRACE for slub  ;to enable printing of the allocation-time stack trace.;remove bigblock tracking;slob;Contradicts;0.8014223575592041;0.5042703747749329
Use CONFIG_STACKTRACE for slub  ;to enable printing of the allocation-time stack trace.;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.891501247882843;0.6572788953781128
have some use eventually for annotations in drivers/gpu;I might;All documentation files were explicitly excluded;explicitly excluded;Contradicts;0.9094549417495728;0.547309160232544
have some use eventually for annotations in drivers/gpu;I might;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9979288578033448;0.07283854484558105
have some use eventually for annotations in drivers/gpu;I might;They are no longer needed;They have become so simple;Contradicts;0.9902605414390564;0.5591809749603271
have some use eventually for annotations in drivers/gpu;I might;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9369899034500122;0.5038456320762634
have some use eventually for annotations in drivers/gpu;I might;"
Use a destructor will BUG()
";"
Any attempt to";Contradicts;0.8265944123268127;0.7624736428260803
Updates gfpflags_allow_blocking();Theres a ton of callers all over the place for that already.;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9059980511665344;0.4226154685020447
Slab pages will be shared between multiple cgroups;global and node counters will reflect the total number of slab pages;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9611005783081056;0.25817951560020447
Slab pages will be shared between multiple cgroups;global and node counters will reflect the total number of slab pages;They are no longer needed;They have become so simple;Contradicts;0.8145231604576111;0.2242254763841629
Slab pages will be shared between multiple cgroups;global and node counters will reflect the total number of slab pages;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.964247703552246;0.5306829214096069
The size of slab memory shouldnt exceed 4Gb on 32-bit machines;it will fit into atomic_long_t we use for vmstats;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8914187550544739;0.48781511187553406
The size of slab memory shouldnt exceed 4Gb on 32-bit machines;it will fit into atomic_long_t we use for vmstats;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9921751618385316;0.5748453736305237
I want to use this in a memory allocation tracker in drm for stuff thats tied to the lifetime of a drm_device, not the underlying struct device;slab does this already;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.9993209838867188;0.08416923880577087
I want to use this in a memory allocation tracker in drm for stuff thats tied to the lifetime of a drm_device, not the underlying struct device;slab does this already;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.9068729877471924;0.3580186665058136
I want to use this in a memory allocation tracker in drm for stuff thats tied to the lifetime of a drm_device, not the underlying struct device;slab does this already;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9303285479545592;0.5668988227844238
CONFIG_SLUB_DEBUG or CONFIG_SLOB, and blocks stop being aligned  ;blocks stop being aligned;patch ensures alignment on all arches and cache sizes;Still;Contradicts;0.9797922372817992;0.610467255115509
CONFIG_SLUB_DEBUG or CONFIG_SLOB, and blocks stop being aligned  ;blocks stop being aligned;This patch makes the slab and slub code use page->lru universally instead of mixing ->list and ->lru;mixing ->list and ->lru;Contradicts;0.8060001730918884;0.4618017077445984
CONFIG_SLUB_DEBUG or CONFIG_SLOB, and blocks stop being aligned  ;blocks stop being aligned;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8010009527206421;0.42371150851249695
CONFIG_SLUB_DEBUG or CONFIG_SLOB, and blocks stop being aligned  ;blocks stop being aligned;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.986481785774231;0.6060459613800049
make the kmalloc() alignment to size explicitly guaranteed for power-of-two sizes under all configurations;provide to mm users what they need without difficult workarounds or own reimplementations;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.953311800956726;0.4121634364128113
make the kmalloc() alignment to size explicitly guaranteed for power-of-two sizes under all configurations;provide to mm users what they need without difficult workarounds or own reimplementations;its okay to change this situation;default slab allocator, SLUB, doesnt use this technique;Contradicts;0.9639650583267212;0.5444033145904541
make the kmalloc() alignment to size explicitly guaranteed for power-of-two sizes under all configurations;provide to mm users what they need without difficult workarounds or own reimplementations;They are no longer needed;They have become so simple;Contradicts;0.9176321029663086;0.6102646589279175
make the kmalloc() alignment to size explicitly guaranteed for power-of-two sizes under all configurations;provide to mm users what they need without difficult workarounds or own reimplementations;We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;Contradicts;0.8713335990905762;0.41960301995277405
make the kmalloc() alignment to size explicitly guaranteed for power-of-two sizes under all configurations;provide to mm users what they need without difficult workarounds or own reimplementations;"slob: fix bug - when slob allocates ""struct kmem_cache"", it does not force alignment";it does not force alignment;Contradicts;0.8567066192626953;0.6256098747253418
make the kmalloc() alignment to size explicitly guaranteed for power-of-two sizes under all configurations;provide to mm users what they need without difficult workarounds or own reimplementations;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.845459520816803;0.33931517601013184
make the kmalloc() alignment to size explicitly guaranteed for power-of-two sizes under all configurations;provide to mm users what they need without difficult workarounds or own reimplementations;we dont encode seperate size and next fields into each slob block;"use the sign bit to distinguish between ""size"" or ""next""";Contradicts;0.8488527536392212;0.34085357189178467
make the kmalloc() alignment to size explicitly guaranteed for power-of-two sizes under all configurations;provide to mm users what they need without difficult workarounds or own reimplementations;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9121804237365724;0.3582954406738281
patch ensures alignment on all arches and cache sizes;Still;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;Contradicts;0.8399131298065186;0.07694251090288162
patch ensures alignment on all arches and cache sizes;Still;"slob: fix bug - when slob allocates ""struct kmem_cache"", it does not force alignment";it does not force alignment;Contradicts;0.8828772902488708;0.7368803024291992
patch ensures alignment on all arches and cache sizes;Still;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.969732403755188;0.41912055015563965
patch ensures alignment on all arches and cache sizes;Still;Slob does not need any special definitions;since we introduce a fallback case;Contradicts;0.9167347550392152;0.4825071096420288
improve memory accounting;improve;This rips out support for the dtor pointer from kmem_cache_create() completely and fixes up every single callsite in the kernel  ;there were about 224 callsites;Contradicts;0.8786198496818542;0.35866987705230713
Modifying a counter on page allocation and freeing should be acceptable even for the small system scenarios SLOB is intended for;SLOB is intended for;Make dead caches discard free slabs immediately;slub;Contradicts;0.909539759159088;0.6960606575012207
