Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha;similarity_rationales;contradiction_rationales
can be done in __kmem_cache_shutdown;What is done there;Introduce a memory-zeroing variant of kmem_cache_alloc;memory-zeroing variant;Similar;0.8259381055831909;0.5840917825698853;
This is possible now;the acquisition of the mutex was moved into kmem_cache_create();have some improvement  ;the concept is no less complete than discovery of a locks interrupt contexts;Similar;0.8300827741622925;0.473706990480423;
Remove various small accessors;various small;reduce list scanning;slob;Similar;0.8466690182685852;0.7113665342330933;
No need to zero mapping since it is no longer in use;it is no longer in use;Slob does not need any special definitions;since we introduce a fallback case;Similar;0.8062189817428589;0.539348840713501;
move duplicated code in <asm/atomic.h> to <linux/atomic.h>;to avoid duplication of code;include/linux/kmemtrace.h: header file for kmemtrace, include/trace/kmem.h: definition of kmem tracepoints;header file for kmemtrace, definition of kmem tracepoints;Similar;0.8208510875701904;0.44414645433425903;
Remove kmemtrace ftrace plugin;tracing;We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;Similar;0.8647539615631104;0.6287064552307129;
Remove kmemtrace ftrace plugin;tracing;remove bigblock tracking;slob;Similar;0.8015408515930176;0.707062304019928;
Remove kmemtrace ftrace plugin;tracing;Remove obsolete SLAB_MUST_HWCACHE_ALIGN;obsolete;Similar;0.8483313918113708;0.6303781270980835;
We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;Drop it  ;if you want;Similar;0.8542777299880981;0.4595608115196228;
We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;removes the obsolete and no longer used exports of ksize  ;obsolete and no longer used;Similar;0.8357622623443604;0.6107777953147888;
We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;remove useless ctor parameter and reorder parameters;useless;Similar;0.8131567239761353;0.41267967224121094;0.6677667498588562
We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;reduce list scanning;slob;Similar;0.8518403768539429;0.6095860600471497;
We remove kmemtrace  ;kmemtrace has been superseded by kmem trace events and perf-kmem;remove bigblock tracking;slob;Similar;0.8058533668518066;0.6095860600471497;
fix RCU-callback-after-kmem_cache_destroy problem in sl[aou]b  ;to address the issue;The SLOB allocator should implement SLAB_DESTROY_BY_RCU correctly;even on UP, RCU freeing semantics are not equivalent to simply freeing immediately;Similar;0.8012063503265381;0.50240558385849;
use tracepoints;kmemtrace;enable and use this tracer;To enable and use this tracer;Similar;0.8726144433021545;0.5851861238479614;
have some improvement  ;the concept is no less complete than discovery of a locks interrupt contexts;I find it more readable  ;personal opinion;Similar;0.8534252643585205;0.32594358921051025;
have some improvement  ;the concept is no less complete than discovery of a locks interrupt contexts;improved alignment handling;improved;Similar;0.8334860801696777;0.5242627263069153;
I find it more readable  ;personal opinion;improved alignment handling;improved;Similar;0.8286669254302979;0.4809322953224182;
Drop it  ;if you want;reduce list scanning;slob;Similar;0.8101249933242798;0.6972525119781494;
fix bogus ksize calculation fix  ;SLOB;fix bogus ksize calculation;bogus;Similar;0.9872711896896362;0.846623420715332;
fix bogus ksize calculation fix  ;SLOB;fix;SLOB=y && SMP=y fix;Similar;0.8096705675125122;0.6227595210075378;
fix bogus ksize calculation;bogus;fix;SLOB=y && SMP=y fix;Similar;0.822981595993042;0.48978644609451294;
removes the obsolete and no longer used exports of ksize  ;obsolete and no longer used;remove useless ctor parameter and reorder parameters;useless;Similar;0.8588235378265381;0.8851944804191589;
remove useless ctor parameter and reorder parameters;useless;reduce list scanning;slob;Similar;0.8205522298812866;0.7383036017417908;
remove useless ctor parameter and reorder parameters;useless;Remove obsolete SLAB_MUST_HWCACHE_ALIGN;obsolete;Similar;0.803428590297699;0.9298909306526184;
reduce list scanning;slob;Cleanup zeroing allocations;Slab allocators;Similar;0.8207494616508484;0.6148500442504883;
remove bigblock tracking;slob;Remove obsolete SLAB_MUST_HWCACHE_ALIGN;obsolete;Similar;0.8203655481338501;0.7713018655776978;
