;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha;similarity_rationales;contradiction_rationales
15;remove deprecated oom_adj;deprecated;https://github.com/torvalds/linux/commit/01dc52ebdf472f77cca623ca693ca24cfc0f1bbe;remove task_t, convert to struct task_struct;cleanup, remove;https://github.com/torvalds/linux/commit/36c8b586896f60cb91a4fd526233190b34316baf;Similar;0.9025689363479614;0.77170729637146;
16;remove deprecated oom_adj;deprecated;https://github.com/torvalds/linux/commit/01dc52ebdf472f77cca623ca693ca24cfc0f1bbe;Remove the parameter @mem;removed since v2.6.26;https://github.com/torvalds/linux/commit/fbdd12676c83df77480f00ebd32fc98fbe3bf836;Similar;0.902563214302063;0.6619846820831299;
17;remove deprecated oom_adj;deprecated;https://github.com/torvalds/linux/commit/01dc52ebdf472f77cca623ca693ca24cfc0f1bbe;removes PF_OOM_ORIGIN;behavior is equivalent to setting the processs oom_score_adj to OOM_SCORE_ADJ_MAX;https://github.com/torvalds/linux/commit/72788c385604523422592249c19cba0187021e9b;Similar;0.9209129214286804;0.3943180441856384;
18;Theres no need to fill the ring buffer with this information;if its already been printed and the condition that triggered the previous OOM killer has not yet been alleviated.;https://github.com/torvalds/linux/commit/7213f5066fc8a17c78389fe245de522b5cf0648a;Theres no need to call schedule_timeout_interruptible();task must die ASAP;https://github.com/torvalds/linux/commit/2f659f462d2ab519068d0e2bb677d7a700decb8d;Similar;0.917081356048584;0.5518538355827332;
19;Prepare for new header dependencies before moving code to <linux/sched/coredump.h>;Prepare for new header dependencies;https://github.com/torvalds/linux/commit/f7ccbae45c5e2c1077654b0e857e7efb1aa31c92;Prepare for new header dependencies before moving code to <linux/sched/mm.h>;Prepare for new header dependencies;https://github.com/torvalds/linux/commit/6e84f31522f931027bf695752087ece278c10d3f;Similar;0.992728590965271;1.0;
20;Create a trivial placeholder <linux/sched/coredump.h> file that just maps to <linux/sched.h>;to make this patch obviously correct and bisectable;https://github.com/torvalds/linux/commit/f7ccbae45c5e2c1077654b0e857e7efb1aa31c92;Create a trivial placeholder <linux/sched/mm.h> file;to make this patch obviously correct and bisectable;https://github.com/torvalds/linux/commit/6e84f31522f931027bf695752087ece278c10d3f;Similar;0.942794680595398;0.9999998807907104;
21;Include the new header in the files that are going to need it;files that are going to need it;https://github.com/torvalds/linux/commit/f7ccbae45c5e2c1077654b0e857e7efb1aa31c92;Include the new header in the files that are going to need it;that are going to need it;https://github.com/torvalds/linux/commit/6e84f31522f931027bf695752087ece278c10d3f;Similar;0.9999998211860656;0.868226170539856;
22;removes the __GFP_NOFAIL special case;more clear semantic without surprising side effects;https://github.com/torvalds/linux/commit/06ad276ac18742c6b281698d41b27a290cd42407;removes PF_OOM_ORIGIN;behavior is equivalent to setting the processs oom_score_adj to OOM_SCORE_ADJ_MAX;https://github.com/torvalds/linux/commit/72788c385604523422592249c19cba0187021e9b;Similar;0.9080530405044556;0.3565303981304168;
23;Remove unnecessary locking in exit_oom_victim();unnecessary locking in exit_oom_victim();https://github.com/torvalds/linux/commit/da51b14adb671829077da3aeb9e9edd6f8c80afe;remove unnecessary exit_state check;unnecessary;https://github.com/torvalds/linux/commit/fb794bcbb4e5552242f9a4c5e1ffe4c6da29a968;Similar;0.910933256149292;0.7077181935310364;
24;Remove unnecessary locking in exit_oom_victim();unnecessary locking in exit_oom_victim();https://github.com/torvalds/linux/commit/da51b14adb671829077da3aeb9e9edd6f8c80afe;remove unnecessary locking in oom_enable();unnecessary locking in oom_enable();https://github.com/torvalds/linux/commit/3f5ab8cfbf15e8e02838ffc3549191351305df0e;Similar;0.9311291575431824;0.9233592748641968;
25;fix for this bug;fix;https://github.com/torvalds/linux/commit/d31f56dbf8bafaacb0c617f9a6f137498d5c7aed;Fix this bug;"using an approach used by commit 855b018325737f76 (""oom, oom_reaper: disable oom_reaper for oom_kill_allocating_task"")";https://github.com/torvalds/linux/commit/9bcdeb51bd7d2ae9fe65ea4d60643d2aeef5bfe3;Similar;0.9740132093429564;0.2972374260425567;
26;remove task_t, convert to struct task_struct;cleanup, remove;https://github.com/torvalds/linux/commit/36c8b586896f60cb91a4fd526233190b34316baf;Remove the parameter @mem;removed since v2.6.26;https://github.com/torvalds/linux/commit/fbdd12676c83df77480f00ebd32fc98fbe3bf836;Similar;0.9023247957229614;0.575302243232727;
27;Remove the unused arguments and update all callers.;unused.;https://github.com/torvalds/linux/commit/a72afd873089c697053e9daa85ff343b3140d2e7;Remove the unused arguments and update all callers.;unused;https://github.com/torvalds/linux/commit/ae8eba8b5d723a4ca543024b6e51f4d0f4fb6b6b;Similar;0.9999998807907104;0.9890319108963012;
28;fix typo in comment;typo in comment;https://github.com/torvalds/linux/commit/bdddbcd45fd191a0213e6d2a032eb55d18bd1fc0;fix typos in comments;typos in comments;https://github.com/torvalds/linux/commit/f0953a1bbaca71e1ebbcb9864eb1b273156157ed;Similar;0.9594662189483644;0.9390376806259156;
