;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha;similarity_rationales
18;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Remove the parameter @mem;removed since v2.6.26;https://github.com/torvalds/linux/commit/fbdd12676c83df77480f00ebd32fc98fbe3bf836;Contradicts;0.9767622351646424;0.5243174433708191
19;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;Kill it and directly access;directly access;https://github.com/torvalds/linux/commit/d21142ece414ce1088cfcae760689aa60d6fee80;Contradicts;0.972334623336792;0.5001663565635681
20;"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();https://github.com/torvalds/linux/commit/f44666b04605d1c7fd94ab90b7ccf633e7eff228;The fix is to remove __show_mem() and add its argument to show_mem() in all implementations;to prevent this breakage;https://github.com/torvalds/linux/commit/b2b755b5f10eb32fbdc73a9907c07006b17f714b;Contradicts;0.9572837948799132;0.5501887202262878
21;strive for making this context as reliable and independent on other subsystems;as much as possible;https://github.com/torvalds/linux/commit/ec8d7c14ea14922fe21945b458a75e39f11dd832;Kill it and directly access;directly access;https://github.com/torvalds/linux/commit/d21142ece414ce1088cfcae760689aa60d6fee80;Contradicts;0.9396885633468628;0.7918394207954407
22;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;This patch doesnt change this behavior;because we are not ready to allow those allocation requests to fail yet (and maybe we will face the reality that we will never manage to safely fail these request);https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;Contradicts;0.9966832995414734;0.625108540058136
23;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;ruling out the OOM killer;lockup machine in most of the cases;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;Contradicts;0.9638046622276306;0.2073611468076706
24;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;Change the code to ignore the PF_EXITING tasks without ->mm.;PF_EXITING tasks without ->mm should not be expected to free more memory.;https://github.com/torvalds/linux/commit/b52279406e77be711c068f9a8e970ea6471e089c;Contradicts;0.9203083515167236;0.6393542885780334
25;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;Remove this dubious PF_EXITING check;dubious;https://github.com/torvalds/linux/commit/cef1d3523d33ebc35fc29e454b1f4bab953fabbf;Contradicts;0.9507530331611632;0.1580354124307632
26;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;Teach task_will_free_mem to skip over MMF_OOM_REAPED tasks;because they will be unlikely to free anything more;https://github.com/torvalds/linux/commit/696453e66630ad45e644c4571307fa3ebec9a835;Contradicts;0.9361679553985596;0.4732512533664703
27;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;replace try_oom_reaper by wake_oom_reaper;task_will_free_mem implies the task is reapable now;https://github.com/torvalds/linux/commit/1af8bb43269563e458ebcf0ece812e9a970864b3;Contradicts;0.9911165237426758;0.4035516381263733
28;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;Remove mm->oom_disable_count entirely;its unnecessary and currently buggy;https://github.com/torvalds/linux/commit/c9f01245b6a7d77d17deaa71af10f6aca14fa24e;Contradicts;0.9738510847091676;0.3664954900741577
29;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;Remove the count;Its better to remove the count;https://github.com/torvalds/linux/commit/c9f01245b6a7d77d17deaa71af10f6aca14fa24e;Contradicts;0.9439813494682312;0.541922926902771
30;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;This patch removes the cpuset_zone_allowed() call;to force the caller to explicitly choose between the hardwall and the softwall case;https://github.com/torvalds/linux/commit/02a0e53d8227aff5e62e0433f82c12c1c2805fd6;Contradicts;0.9006791710853577;0.4987284541130066
31;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;Introduce is_init;to capture this case;https://github.com/torvalds/linux/commit/f400e198b2ed26ce55b22a1412ded0896e7516ac;Contradicts;0.9475558996200562;0.3640215396881103
32;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;CONFIG_MMU=n doesnt have oom reaper so lets stick to the original ALLOC_NO_WATERMARKS approach;CONFIG_MMU=n doesnt have oom reaper;https://github.com/torvalds/linux/commit/cd04ae1e2dc8e3651b8c427ec1b9500c6eed7b90;Contradicts;0.9779118299484252;0.3849809169769287
33;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;Get rid of this hardcoded behavior;push the allocation mask down the show_mem path and use it instead of cpuset_current_mems_allowed;https://github.com/torvalds/linux/commit/9af744d743170b5f5ef70031dea8d772d166ab28;Contradicts;0.987362265586853;0.557060956954956
34;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;The flag is set in mark_oom_victim and never cleared;so it is stable in the exit_mmap path;https://github.com/torvalds/linux/commit/4837fe37adff1d159904f0c013471b1ecbcb455e;Contradicts;0.9813884496688844;0.3509739339351654
35;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;None ;more pointed memcg page statistics for memcg-oom and take hierarchy into consideration;https://github.com/torvalds/linux/commit/58cf188ed649b6570dfdc9c62156cdf396c2e395;Contradicts;0.94785737991333;0.4519057869911194
36;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;Remove the oom_reaper from exit_mmap;make the code easier to read;https://github.com/torvalds/linux/commit/bf3980c85212fc71512d27a46f5aab66f46ca284;Contradicts;0.9819970726966858;0.3928925096988678
37;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;Remove the parameter @mem;removed since v2.6.26;https://github.com/torvalds/linux/commit/fbdd12676c83df77480f00ebd32fc98fbe3bf836;Contradicts;0.9531184434890748;0.245049700140953
38;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;remove the prototype for the old function;the prototype still existed;https://github.com/torvalds/linux/commit/11239836c04b50ba8453ec58ca7a7bd716ef02c1;Contradicts;0.9295704364776612;0.1929548531770706
39;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;removes PF_OOM_ORIGIN;behavior is equivalent to setting the processs oom_score_adj to OOM_SCORE_ADJ_MAX;https://github.com/torvalds/linux/commit/72788c385604523422592249c19cba0187021e9b;Contradicts;0.9917199611663818;0.3469239175319671
40;"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;https://github.com/torvalds/linux/commit/3ef22dfff2390e75b379f9715388a852aa56e0d5;The fix is to remove __show_mem() and add its argument to show_mem() in all implementations;to prevent this breakage;https://github.com/torvalds/linux/commit/b2b755b5f10eb32fbdc73a9907c07006b17f714b;Contradicts;0.918536365032196;0.5110605955123901
41;This patch doesnt change this behavior;because we are not ready to allow those allocation requests to fail yet (and maybe we will face the reality that we will never manage to safely fail these request);https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;This change fixes both problems.;The new for_each_thread() only requires the stable task_struct;https://github.com/torvalds/linux/commit/1da4db0cd5c8a31d4468ec906b413e75e604b465;Contradicts;0.9703565239906312;0.4538509249687195
42;This patch doesnt change this behavior;because we are not ready to allow those allocation requests to fail yet (and maybe we will face the reality that we will never manage to safely fail these request);https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;This patch fixes the problem and should be backported into stable/LTS.;Fixes the problem, should be backported into stable/LTS.;https://github.com/torvalds/linux/commit/60e2793d440a3ec95abb5d6d4fc034a4b480472d;Contradicts;0.9750211238861084;0.4228405952453613
43;This patch doesnt change this behavior;because we are not ready to allow those allocation requests to fail yet (and maybe we will face the reality that we will never manage to safely fail these request);https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;This patch fixes the issue by introducing a new MMF_OOM_KILLED mm flag which is set in oom_kill_process atomically and oom reaper is disabled if the flag was already set.;Fixes the issue by introducing a new MMF_OOM_KILLED mm flag and disabling the oom reaper if the flag was already set.;https://github.com/torvalds/linux/commit/855b018325737f7691f9b7d86339df40aa4e47c3;Contradicts;0.9187994599342346;0.3819544315338135
44;move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;not invoke OOM killer as much as possible;there is simply no reliable way to detect whether more reclaim retries make sense;https://github.com/torvalds/linux/commit/9254990fb9f0f15f25605748da20cfbeced7c816;Contradicts;0.9243658185005188;0.5262293219566345
45;move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;We can tolerate a comm being printed that is in the middle of an update;to avoid taking the lock;https://github.com/torvalds/linux/commit/da39da3a54fed88e29024f2f1f6cd7357cd03a44;Contradicts;0.9019536375999452;0.7267969846725464
46;move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;Rename mark_tsk_oom_victim() to mark_oom_victim();which is easier on the eye.;https://github.com/torvalds/linux/commit/16e951966f05da5ccd650104176f6ba289f7fa20;Contradicts;0.958897054195404;0.4733479022979736
47;move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;The flag is set in mark_oom_victim and never cleared;so it is stable in the exit_mmap path;https://github.com/torvalds/linux/commit/4837fe37adff1d159904f0c013471b1ecbcb455e;Contradicts;0.9940211176872252;0.4765758216381073
48;move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;Give the oom victim access to the memory reserves;That shouldnt be necessary;https://github.com/torvalds/linux/commit/49550b605587924b3336386caae53200c68969d3;Contradicts;0.9812545776367188;0.7478291988372803
49;move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;push the re-check loop out of freeze_processes into check_frozen_processes;to make the code more readable as per Rafael;https://github.com/torvalds/linux/commit/5695be142e203167e3cb515ef86a88424f3524eb;Contradicts;0.9551612138748168;0.3977554440498352
50;move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;We can trivially add both the oom memcg and task_memcg.;Now that we have a single line for the oom context.;https://github.com/torvalds/linux/commit/f0c867d9588d9efc10d6a55009c9560336673369;Contradicts;0.944205641746521;0.5014489889144897
51;move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;Permit the OOM reaper on mlocked vmas;No fear of blocking on all those page locks anymore;https://github.com/torvalds/linux/commit/a213e5cf71cbcea4b23caedcb8fe6629a333b275;Contradicts;0.9412422776222228;0.2722945511341095
52;Keep a comment in __alloc_pages_may_oom;to make sure we do not forget how GFP_NOFS is special and that we really want to do something about;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;The flag is set in mark_oom_victim and never cleared;so it is stable in the exit_mmap path;https://github.com/torvalds/linux/commit/4837fe37adff1d159904f0c013471b1ecbcb455e;Contradicts;0.9296677708625792;0.3931823670864105
53;ruling out the OOM killer;lockup machine in most of the cases;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;Instead of special casing all the possible situations between PF_EXITING getting set and a thread detaching its mm where it may allocate memory, the solution is to give all exiting threads access to memory reserves if they call the oom killer;which probably wouldnt get updated when a change is made to the exit path;https://github.com/torvalds/linux/commit/9ff4868e3051d9128a24dd330bed32011a11421d;Contradicts;0.955550730228424;0.3483200967311859
54;ruling out the OOM killer;lockup machine in most of the cases;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;not invoke OOM killer as much as possible;there is simply no reliable way to detect whether more reclaim retries make sense;https://github.com/torvalds/linux/commit/9254990fb9f0f15f25605748da20cfbeced7c816;Contradicts;0.9055674076080322;0.2671939134597778
55;ruling out the OOM killer;lockup machine in most of the cases;https://github.com/torvalds/linux/commit/3da88fb3bacfaa33ff9d13730d17110bb2d9604d;This patch displays the oom killer header whenever it panics;bug reports can include pertinent information to debug the issue, if possible;https://github.com/torvalds/linux/commit/1b604d75bbb6e28628c5a95a433432973c33d581;Contradicts;0.9210808873176576;0.4314886331558227
56;protect oom_reaper_list using simpler way;simpler way;https://github.com/torvalds/linux/commit/bb29902a7515208846114b3b36a4281a9bbf766a;The flag is set in mark_oom_victim and never cleared;so it is stable in the exit_mmap path;https://github.com/torvalds/linux/commit/4837fe37adff1d159904f0c013471b1ecbcb455e;Contradicts;0.926712691783905;0.6845275163650513
57;Kill current;It is better than another task needlessly.;https://github.com/torvalds/linux/commit/6cf86ac6f36b638459a9a6c2576d5e655d41d451;dont try to kill oom_unkillable child;oom_unkillable;https://github.com/torvalds/linux/commit/7c59aec830c7ed6c745bd513982cee3563ed20c1;Contradicts;0.9194631576538086;0.6243868470191956
58;Kill current;It is better than another task needlessly.;https://github.com/torvalds/linux/commit/6cf86ac6f36b638459a9a6c2576d5e655d41d451;This patch avoids killing current in such a condition and simply falls back to the tasklist scan.;memory still needs to be freed;https://github.com/torvalds/linux/commit/121d1ba0a019e1465a53533aea133b1b0f6b442d;Contradicts;0.9947677850723268;0.5377988219261169
59;Kill current;It is better than another task needlessly.;https://github.com/torvalds/linux/commit/6cf86ac6f36b638459a9a6c2576d5e655d41d451;Enforce the API to always work on the current;There are no users of exit_oom_victim on !current task anymore;https://github.com/torvalds/linux/commit/38531201c12144cd7d96abfdfe7449c2b01375e8;Contradicts;0.9950201511383056;0.2956618368625641
60;Kill current;It is better than another task needlessly.;https://github.com/torvalds/linux/commit/6cf86ac6f36b638459a9a6c2576d5e655d41d451;We can tolerate a comm being printed that is in the middle of an update;to avoid taking the lock;https://github.com/torvalds/linux/commit/da39da3a54fed88e29024f2f1f6cd7357cd03a44;Contradicts;0.9274020195007324;0.4937617182731628
61;Kill current;It is better than another task needlessly.;https://github.com/torvalds/linux/commit/6cf86ac6f36b638459a9a6c2576d5e655d41d451;Deflate the balloon a bit instead of killing processes;If the resource manager inflated the balloon to a size where memory allocations can not be satisfied anymore, it is better to deflate the balloon a bit;https://github.com/torvalds/linux/commit/8bc719d3cab8414938f9ea6e33b58d8810d18068;Contradicts;0.9835031032562256;0.3113015294075012
62;Kill current;It is better than another task needlessly.;https://github.com/torvalds/linux/commit/6cf86ac6f36b638459a9a6c2576d5e655d41d451;prevent unnecessary oom kills or kernel panics;unnecessary oom kills or kernel panics;https://github.com/torvalds/linux/commit/3a5dda7a17cf3706f79b86293f29db02d61e0d48;Contradicts;0.9552693367004396;0.5495343208312988
63;"Upon returning to the page allocator, its allocation will hopefully succeed
";so it can quickly exit and free its memory;https://github.com/torvalds/linux/commit/7b98c2e402eaa1f2beec18b1bde17f74948a19db;There is no need to call for int_sqrt;if argument is 0;https://github.com/torvalds/linux/commit/a12888f772dab4bf5e6f73668dc4f5f6026a7014;Contradicts;0.913429856300354;0.4635313749313354
