level_0;index;message_preprocessed;Decision;Rationale;URL;web_url
11;21;" The change prevents process_mrelease from calling
the last mmput, which can lead to waiting for IO completion in exit_aio.";The change prevents process_mrelease from calling;which can lead to waiting for IO completion in exit_aio.;https://api.github.com/repos/torvalds/linux/git/commits/ba535c1caf3ee78aa7719e9e4b07a0dc1d153b9e;https://github.com/torvalds/linux/commit/ba535c1caf3ee78aa7719e9e4b07a0dc1d153b9e
12;23;"Our container agent wants to know when a container exits if it was OOM
killed or not to report to the user";Our container agent wants to know when a container exits if it was OOM killed or not;to report to the user;https://api.github.com/repos/torvalds/linux/git/commits/b6bf9abb0aa44e53ffe9c1e6e1d32568f5b25e4a;https://github.com/torvalds/linux/commit/b6bf9abb0aa44e53ffe9c1e6e1d32568f5b25e4a
13;27;"This is erroneous in
   some cases where containers create their children cgroups with
   memory.oom.group=1 as such OOM kills will get counted against the
   container cgroup's oom_kill counter despite not actually OOM killing
   the entire container";OOM kills will get counted against the container cgroup's oom_kill counter despite not actually OOM killing the entire container.;some cases where containers create their children cgroups with memory.oom.group=1;https://api.github.com/repos/torvalds/linux/git/commits/b6bf9abb0aa44e53ffe9c1e6e1d32568f5b25e4a;https://github.com/torvalds/linux/commit/b6bf9abb0aa44e53ffe9c1e6e1d32568f5b25e4a
14;29;"This patch adds a new oom_group_kill event when memory.oom.group
triggers to allow userspace to cleanly identify when an entire cgroup is
oom killed.";This patch adds a new oom_group_kill event;to allow userspace to cleanly identify when an entire cgroup is oom killed.;https://api.github.com/repos/torvalds/linux/git/commits/b6bf9abb0aa44e53ffe9c1e6e1d32568f5b25e4a;https://github.com/torvalds/linux/commit/b6bf9abb0aa44e53ffe9c1e6e1d32568f5b25e4a
15;31;"In preparation for removing the flag SIGNAL_GROUP_COREDUMP, change
__task_will_free_mem to test signal->core_state instead of the flag
SIGNAL_GROUP_COREDUMP";Change __task_will_free_mem to test signal->core_state instead of the flag SIGNAL_GROUP_COREDUMP;In preparation for removing the flag SIGNAL_GROUP_COREDUMP;https://api.github.com/repos/torvalds/linux/git/commits/98b24b16b2aebffabf5b8670f44f19666c1e029f;https://github.com/torvalds/linux/commit/98b24b16b2aebffabf5b8670f44f19666c1e029f
16;38;"Fix this by adding a set_freezable() call which will clear the
PF_NOFREEZE flag and thus make the OOM reaper visible to the freezer";Adding a set_freezable() call;will clear the PF_NOFREEZE flag and thus make the OOM reaper visible to the freezer;https://api.github.com/repos/torvalds/linux/git/commits/3723929eb0f50e2101de739cdb66458a4f1f4b27;https://github.com/torvalds/linux/commit/3723929eb0f50e2101de739cdb66458a4f1f4b27
17;45;" Anyway, if the OOM killer has been already invoked there
is no reason to invoke it again from the #PF path";no reason to invoke it again from the #PF path;if the OOM killer has been already invoked;https://api.github.com/repos/torvalds/linux/git/commits/60e2793d440a3ec95abb5d6d4fc034a4b480472d;https://github.com/torvalds/linux/commit/60e2793d440a3ec95abb5d6d4fc034a4b480472d
18;48;"This all suggests that there is no legitimate reason to trigger
out_of_memory from pagefault_out_of_memory so drop it";Drop triggering out_of_memory from pagefault_out_of_memory;There is no legitimate reason ;https://api.github.com/repos/torvalds/linux/git/commits/60e2793d440a3ec95abb5d6d4fc034a4b480472d;https://github.com/torvalds/linux/commit/60e2793d440a3ec95abb5d6d4fc034a4b480472d
20;55;" This patch fixes the problem and should be backported
into stable/LTS.]";This patch fixes the problem and should be backported into stable/LTS.;Fixes the problem, should be backported into stable/LTS.;https://api.github.com/repos/torvalds/linux/git/commits/60e2793d440a3ec95abb5d6d4fc034a4b480472d;https://github.com/torvalds/linux/commit/60e2793d440a3ec95abb5d6d4fc034a4b480472d
22;60;" Fix this race
by elevating mm->mm_users and preventing exit_mmap from executing until
process_mrelease is finished";Fix this race by elevating mm->mm_users and preventing exit_mmap from executing until process_mrelease is finished;preventing exit_mmap from executing until process_mrelease is finished;https://api.github.com/repos/torvalds/linux/git/commits/337546e83fc7e50917f44846beee936abb9c9f1f;https://github.com/torvalds/linux/commit/337546e83fc7e50917f44846beee936abb9c9f1f
23;61;" Patch slightly refactors the code to
adapt for a possible mmget_not_zero failure";Patch slightly refactors the code;to adapt for a possible mmget_not_zero failure;https://api.github.com/repos/torvalds/linux/git/commits/337546e83fc7e50917f44846beee936abb9c9f1f;https://github.com/torvalds/linux/commit/337546e83fc7e50917f44846beee936abb9c9f1f
24;62;"This fix has considerable negative impact on process_mrelease
performance and will likely need later optimization.";This fix has considerable negative impact on process_mrelease performance;will likely need later optimization;https://api.github.com/repos/torvalds/linux/git/commits/337546e83fc7e50917f44846beee936abb9c9f1f;https://github.com/torvalds/linux/commit/337546e83fc7e50917f44846beee936abb9c9f1f
25;64;"Instead of duplicating the same code in two places use the newly added
pidfd_get_task() helper";use the newly added pidfd_get_task() helper;Instead of duplicating the same code in two places;https://api.github.com/repos/torvalds/linux/git/commits/ee9955d61a0a770152f9c3af470bd1689f034c74;https://github.com/torvalds/linux/commit/ee9955d61a0a770152f9c3af470bd1689f034c74
26;65;"This fixes an (unimportant for now) bug where
PIDTYPE_PID is used whereas PIDTYPE_TGID should have been used.";This fixes an unimportant bug where PIDTYPE_PID is used whereas PIDTYPE_TGID should have been used.;unimportant;https://api.github.com/repos/torvalds/linux/git/commits/ee9955d61a0a770152f9c3af470bd1689f034c74;https://github.com/torvalds/linux/commit/ee9955d61a0a770152f9c3af470bd1689f034c74
27;68;" This ensures that an accurate copy of the process can be
captured in the coredump as no cleanup for the process happens before
the coredump completes";This ensures that an accurate copy of the process can be captured in the coredump;no cleanup for the process happens before the coredump completes;https://api.github.com/repos/torvalds/linux/git/commits/92307383082daff5df884a25df9e283efb7ef261;https://github.com/torvalds/linux/commit/92307383082daff5df884a25df9e283efb7ef261
28;69;" This also ensures that PTRACE_EVENT_EXIT
will not be visited by any thread until the coredump is complete";ensures that PTRACE_EVENT_EXIT will not be visited by any thread until the coredump is complete;This also;https://api.github.com/repos/torvalds/linux/git/commits/92307383082daff5df884a25df9e283efb7ef261;https://github.com/torvalds/linux/commit/92307383082daff5df884a25df9e283efb7ef261
29;70;"Add a new flag PF_POSTCOREDUMP so that tasks that have passed through
coredump_task_exit can be recognized and ignored in zap_process";Add a new flag PF_POSTCOREDUMP;so that tasks that have passed through coredump_task_exit can be recognized and ignored in zap_process;https://api.github.com/repos/torvalds/linux/git/commits/92307383082daff5df884a25df9e283efb7ef261;https://github.com/torvalds/linux/commit/92307383082daff5df884a25df9e283efb7ef261
30;72;"Replace ""may_ptrace_stop()"" with a simple test of ""current->ptrace""";"Replace ""may_ptrace_stop()"" with a simple test of ""current->ptrace""";"a simple test of ""current->ptrace"" is more efficient and clear";https://api.github.com/repos/torvalds/linux/git/commits/92307383082daff5df884a25df9e283efb7ef261;https://github.com/torvalds/linux/commit/92307383082daff5df884a25df9e283efb7ef261
31;74;" These tests are no longer necessary as it is now
guaranteed that fatal_signal_pending will be set if the code enters
ptrace_stop during a coredump";These tests are no longer necessary;it is now guaranteed that fatal_signal_pending will be set if the code enters ptrace_stop during a coredump;https://api.github.com/repos/torvalds/linux/git/commits/92307383082daff5df884a25df9e283efb7ef261;https://github.com/torvalds/linux/commit/92307383082daff5df884a25df9e283efb7ef261
35;88;" This way the memory is freed in a
more controllable way with CPU affinity and priority of the caller";This way the memory is freed in a more controllable way with CPU affinity and priority of the caller;more controllable way with CPU affinity and priority of the caller;https://api.github.com/repos/torvalds/linux/git/commits/884a7e5964e06ed93c7771c0d7cf19c09a8946f1;https://github.com/torvalds/linux/commit/884a7e5964e06ed93c7771c0d7cf19c09a8946f1
36;91;"After previous discussions [1, 2, 3] the decision was made [4] to
introduce a dedicated system call to cover this use case";introduce a dedicated system call to cover this use case;to cover this use case;https://api.github.com/repos/torvalds/linux/git/commits/884a7e5964e06ed93c7771c0d7cf19c09a8946f1;https://github.com/torvalds/linux/commit/884a7e5964e06ed93c7771c0d7cf19c09a8946f1
39;98;" The oom proper is the only existing user so rename the
function to make that purpose explicit";Rename the function to make that purpose explicit;The oom proper is the only existing user;https://api.github.com/repos/torvalds/linux/git/commits/b26e517a058bd40c790a1d9868c896842f2e4155;https://github.com/torvalds/linux/commit/b26e517a058bd40c790a1d9868c896842f2e4155
40;99;"While at it drop the MPOL_INTERLEAVE as those allocations never has a
nodemask defined (see alloc_page_interleave) so this is a dead code and
a confusing one because MPOL_INTERLEAVE is a hint rather than a hard
requirement so it shouldn't be considered during the OOM";Drop the MPOL_INTERLEAVE;Those allocations never have a nodemask defined (see alloc_page_interleave), so this is a dead code and a confusing one because MPOL_INTERLEAVE is a hint rather than a hard requirement, so it shouldn't be considered during the OOM.;https://api.github.com/repos/torvalds/linux/git/commits/b26e517a058bd40c790a1d9868c896842f2e4155;https://github.com/torvalds/linux/commit/b26e517a058bd40c790a1d9868c896842f2e4155
41;100;"The final code can be reduced to a check for MPOL_BIND which is the
only memory policy that is a hard requirement and thus relevant to a
constrained OOM logic.";The final code can be reduced to a check for MPOL_BIND;MPOL_BIND is the only memory policy that is a hard requirement and thus relevant to a constrained OOM logic;https://api.github.com/repos/torvalds/linux/git/commits/b26e517a058bd40c790a1d9868c896842f2e4155;https://github.com/torvalds/linux/commit/b26e517a058bd40c790a1d9868c896842f2e4155
42;101;rcu: Fix typo in comment: kthead -> kthread;Fix typo in comment: kthead -> kthread;typo;https://api.github.com/repos/torvalds/linux/git/commits/4c9c3809ae2ecfcece9acb3f51427e617d21fafb;https://github.com/torvalds/linux/commit/4c9c3809ae2ecfcece9acb3f51427e617d21fafb
43;102;mm: fix typos in comments;fix typos in comments;typos in comments;https://api.github.com/repos/torvalds/linux/git/commits/f0953a1bbaca71e1ebbcb9864eb1b273156157ed;https://github.com/torvalds/linux/commit/f0953a1bbaca71e1ebbcb9864eb1b273156157ed
44;103;"Fix ~94 single-word typos in locking code comments, plus a few
very obvious grammar mistakes.";Fix ~94 single-word typos in locking code comments, plus a few very obvious grammar mistakes.;Improve code quality and readability.;https://api.github.com/repos/torvalds/linux/git/commits/f0953a1bbaca71e1ebbcb9864eb1b273156157ed;https://github.com/torvalds/linux/commit/f0953a1bbaca71e1ebbcb9864eb1b273156157ed
46;105;Various coding style tweaks to various files under mm/;Various coding style tweaks to various files under mm/;coding style tweaks;https://api.github.com/repos/torvalds/linux/git/commits/68d68ff6ebbf69d02511dd48f16b3795671c9b0b;https://github.com/torvalds/linux/commit/68d68ff6ebbf69d02511dd48f16b3795671c9b0b
47;107;"Fix stray kernel-doc warnings in mm/ due to mis-typed or missing function
names";Fix stray kernel-doc warnings in mm/;mis-typed or missing function names;https://api.github.com/repos/torvalds/linux/git/commits/845be1cd34464620861b457b808e5fb2115d06b0;https://github.com/torvalds/linux/commit/845be1cd34464620861b457b808e5fb2115d06b0
49;109;"If p is a kthread, it will be checked in oom_unkillable_task() so
we can delete the corresponding comment.";delete the corresponding comment;it will be checked in oom_unkillable_task();https://api.github.com/repos/torvalds/linux/git/commits/f8159c13905bba26f3e1782a521dacf7a66fc1ce;https://github.com/torvalds/linux/commit/f8159c13905bba26f3e1782a521dacf7a66fc1ce
50;112;Remove the unused arguments and update all callers.;Remove the unused arguments and update all callers.;unused.;https://api.github.com/repos/torvalds/linux/git/commits/a72afd873089c697053e9daa85ff343b3140d2e7;https://github.com/torvalds/linux/commit/a72afd873089c697053e9daa85ff343b3140d2e7
51;113;tlb: mmu_gather: Remove unused start/end arguments from tlb_finish_mmu();Remove unused start/end arguments from tlb_finish_mmu();unused;https://api.github.com/repos/torvalds/linux/git/commits/ae8eba8b5d723a4ca543024b6e51f4d0f4fb6b6b;https://github.com/torvalds/linux/commit/ae8eba8b5d723a4ca543024b6e51f4d0f4fb6b6b
52;115;Remove the unused arguments and update all callers.;Remove the unused arguments and update all callers.;unused;https://api.github.com/repos/torvalds/linux/git/commits/ae8eba8b5d723a4ca543024b6e51f4d0f4fb6b6b;https://github.com/torvalds/linux/commit/ae8eba8b5d723a4ca543024b6e51f4d0f4fb6b6b
53;119;" We'd better show some
helpful information to indicate why this happens.";Show some helpful information;to indicate why this happens;https://api.github.com/repos/torvalds/linux/git/commits/619b5b469bcab84ea3bee1d8d04451c781d23feb;https://github.com/torvalds/linux/commit/619b5b469bcab84ea3bee1d8d04451c781d23feb
54;120;mm, oom: make the calculation of oom badness more accurate;make the calculation of oom badness more accurate;more accurate;https://api.github.com/repos/torvalds/linux/git/commits/9066e5cfb73cdbcdbb49e87999482ab615e9fc76;https://github.com/torvalds/linux/commit/9066e5cfb73cdbcdbb49e87999482ab615e9fc76
55;129;"To fix this issue, we should make the calculation of oom point more
accurate";To fix this issue;make the calculation of oom point more accurate;https://api.github.com/repos/torvalds/linux/git/commits/9066e5cfb73cdbcdbb49e87999482ab615e9fc76;https://github.com/torvalds/linux/commit/9066e5cfb73cdbcdbb49e87999482ab615e9fc76
57;133;Also give the functions a kthread_ prefix to better document the use case.;give the functions a kthread_ prefix;to better document the use case;https://api.github.com/repos/torvalds/linux/git/commits/f5678e7f2ac31c270334b936352f0ef2fe7dd2b3;https://github.com/torvalds/linux/commit/f5678e7f2ac31c270334b936352f0ef2fe7dd2b3
61;143;" So, integrate
them and add some comment to struct alloc_context in order to reduce
future confusion about the meaning of this variable";integrate them and add some comment to struct alloc_context;reduce future confusion about the meaning of this variable;https://api.github.com/repos/torvalds/linux/git/commits/97a225e69a1f880886f33d2e65a7ace13f152caa;https://github.com/torvalds/linux/commit/97a225e69a1f880886f33d2e65a7ace13f152caa
62;144;"The accessor, ac_classzone_idx() is also removed since it isn't needed
after integration";The accessor, ac_classzone_idx() is also removed;it isn't needed after integration;https://api.github.com/repos/torvalds/linux/git/commits/97a225e69a1f880886f33d2e65a7ace13f152caa;https://github.com/torvalds/linux/commit/97a225e69a1f880886f33d2e65a7ace13f152caa
63;145;"In addition to integration, this patch also renames high_zoneidx to
highest_zoneidx since it represents more precise meaning.";Renames high_zoneidx to highest_zoneidx;Represents more precise meaning;https://api.github.com/repos/torvalds/linux/git/commits/97a225e69a1f880886f33d2e65a7ace13f152caa;https://github.com/torvalds/linux/commit/97a225e69a1f880886f33d2e65a7ace13f152caa
64;146;mm, oom: dump stack of victim when reaping failed;dump stack of victim when reaping failed;reaping failed;https://api.github.com/repos/torvalds/linux/git/commits/8a7ff02acabbd877669fecb0a2e75d0930b62c85;https://github.com/torvalds/linux/commit/8a7ff02acabbd877669fecb0a2e75d0930b62c85
65;149;" If the stack trace is dumped, we have the ability to find
related occurrences in the same kernel code and hopefully solve the
issue that is making it wedged";Dump the stack trace;Find related occurrences in the same kernel code and hopefully solve the issue that is making it wedged;https://api.github.com/repos/torvalds/linux/git/commits/8a7ff02acabbd877669fecb0a2e75d0930b62c85;https://github.com/torvalds/linux/commit/8a7ff02acabbd877669fecb0a2e75d0930b62c85
66;151;mm/oom: fix pgtables units mismatch in Killed process message;fix pgtables units mismatch in Killed process message;pgtables units mismatch in Killed process message;https://api.github.com/repos/torvalds/linux/git/commits/941f762bcb276259a78e7931674668874ccbda59;https://github.com/torvalds/linux/commit/941f762bcb276259a78e7931674668874ccbda59
67;153;"As everything else is printed in kB, I chose to fix the value rather than
the string";fix the value rather than the string;everything else is printed in kB;https://api.github.com/repos/torvalds/linux/git/commits/941f762bcb276259a78e7931674668874ccbda59;https://github.com/torvalds/linux/commit/941f762bcb276259a78e7931674668874ccbda59
72;170;To achieve the goal, the patchset introduce two new options for madvise;Introduce two new options for madvise;To achieve the goal;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
75;173;" MADV_PAGEOUT is similar to
MADV_DONTNEED in a way that it hints the kernel that memory region is not
currently needed and should be reclaimed immediately; MADV_COLD is similar
to MADV_FREE in a way that it hints the kernel that memory region is not
currently needed and should be reclaimed when memory pressure rises";"
MADV_PAGEOUT is similar to MADV_DONTNEED 
MADV_COLD is similar to MADV_FREE 
";"
it hints the kernel that memory region is not currently needed and should be reclaimed immediately 
it hints the kernel that memory region is not currently needed and should be reclaimed when memory pressure rises";https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
76;177;"MADV_COLD can be used by a process to mark a memory range as not expected
to be used in the near future";MADV_COLD can be used by a process to mark a memory range as not expected to be used in the near future;not expected to be used in the near future;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
77;178;" The hint can help kernel in deciding which
pages to evict early during memory pressure";deciding which pages to evict early during memory pressure;The hint can help kernel in early eviction during memory pressure;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
79;180;"IOW, It moves
	active file page -> inactive file LRU
	active anon page -> inacdtive anon LRU
Unlike MADV_FREE, it doesn't move active anonymous pages to inactive file
LRU's head because MADV_COLD is a little bit different symantic";It moves active file page -> inactive file LRU, active anon page -> inactive anon LRU;MADV_FREE doesn't move active anonymous pages to inactive file LRU's head, because MADV_COLD is a little bit different semantic.;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
80;181;"MADV_FREE means it's okay to discard when the memory pressure because the
content of the page is *garbage* so freeing such pages is almost zero
overhead since we don't need to swap out and access afterward causes just
minor fault";MADV_FREE means it's okay to discard when the memory pressure because the content of the page is garbage so freeing such pages is almost zero overhead;we don't need to swap out and access afterward causes just minor fault;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
81;182;" Thus, it would make sense to put those freeable pages in
inactive file LRU to compete other used-once pages";put those freeable pages in inactive file LRU;it would make sense to;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
83;184;" Even, it could give a bonus to make
them be reclaimed on swapless system";give a bonus to make them be reclaimed on swapless system;could;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
84;185;" However, MADV_COLD doesn't mean
garbage so reclaiming them requires swap-out/in in the end so it's bigger
cost";reclaiming them requires swap-out/in in the end;it's bigger cost;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
85;186;" Since we have designed VM LRU aging based on cost-model, anonymous
cold pages would be better to position inactive anon's LRU list, not file
LRU";better to position inactive anon's LRU list;based on cost-model, anonymous cold pages would be better;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
86;187;" Furthermore, it would help to avoid unnecessary scanning if system
doesn't have a swap device";avoid unnecessary scanning;help to avoid unnecessary scanning if system doesn't have a swap device;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
87;188;" Let's start simpler way without adding
complexity at this moment";Let's start simpler way without adding complexity at this moment;without adding complexity at this moment;https://api.github.com/repos/torvalds/linux/git/commits/9c276cc65a58faf98be8e56962745ec99ab87636;https://github.com/torvalds/linux/commit/9c276cc65a58faf98be8e56962745ec99ab87636
89;198;"For an OOM event: print oom_score_adj value for the OOM Killed process to
document what the oom score adjust value was at the time the process was
OOM Killed";Print oom_score_adj value for the OOM Killed process to document what the oom score adjust value was at the time the process was OOM Killed ;To document what the oom score adjust value was at the time the process was OOM Killed;https://api.github.com/repos/torvalds/linux/git/commits/70cb6d2677905121bfc7fdf5babfd8444218edd9;https://github.com/torvalds/linux/commit/70cb6d2677905121bfc7fdf5babfd8444218edd9
90;200;"When eligible tasks are not printed (sysctl oom_dump_tasks = 0) printing
this value is the only documentation of the value for the process being
killed";printing this value;the only documentation of the value for the process being killed;https://api.github.com/repos/torvalds/linux/git/commits/70cb6d2677905121bfc7fdf5babfd8444218edd9;https://github.com/torvalds/linux/commit/70cb6d2677905121bfc7fdf5babfd8444218edd9
92;207;"The addition of the pgtables_bytes shows page table usage by the process
and is a useful measure of the memory size of the process.";The addition of the pgtables_bytes ;is a useful measure of the memory size of the process.;https://api.github.com/repos/torvalds/linux/git/commits/70cb6d2677905121bfc7fdf5babfd8444218edd9;https://github.com/torvalds/linux/commit/70cb6d2677905121bfc7fdf5babfd8444218edd9
95;220;" Users, especially system administrators, will find
it useful to immediately see the UID of the process";Users, especially system administrators, will find it useful to immediately see the UID of the process;it useful to immediately see the UID of the process;https://api.github.com/repos/torvalds/linux/git/commits/8ac3f8fe91a2119522a73fbc41d354057054e6ed;https://github.com/torvalds/linux/commit/8ac3f8fe91a2119522a73fbc41d354057054e6ed
96;224;mm/oom_kill.c: remove redundant OOM score normalization in select_bad_process();remove redundant OOM score normalization in select_bad_process();redundant OOM score normalization;https://api.github.com/repos/torvalds/linux/git/commits/2c207985f354dfb549e5a543102a3e084eea81f6;https://github.com/torvalds/linux/commit/2c207985f354dfb549e5a543102a3e084eea81f6
98;234;mm, oom: remove redundant task_in_mem_cgroup() check;remove redundant task_in_mem_cgroup() check;redundant;https://api.github.com/repos/torvalds/linux/git/commits/6ba749ee78ef42ffdf4b95c042fc574a37d229d9;https://github.com/torvalds/linux/commit/6ba749ee78ef42ffdf4b95c042fc574a37d229d9
99;242;"Since commit c03cd7738a83 (""cgroup: Include dying leaders with live
threads in PROCS iterations"") corrected how CSS_TASK_ITER_PROCS works,
mem_cgroup_scan_tasks() can use CSS_TASK_ITER_PROCS in order to check
only one thread from each thread group.";mem_cgroup_scan_tasks() can use CSS_TASK_ITER_PROCS in order to check only one thread from each thread group;"Since commit c03cd7738a83 (""cgroup: Include dying leaders with live threads in PROCS iterations"") corrected how CSS_TASK_ITER_PROCS works";https://api.github.com/repos/torvalds/linux/git/commits/f168a9a54ec39b3f832c353733898b713b6b5c1f;https://github.com/torvalds/linux/commit/f168a9a54ec39b3f832c353733898b713b6b5c1f
100;243;mm/oom_kill.c: fix uninitialized oc->constraint;fix uninitialized oc->constraint;uninitialized;https://api.github.com/repos/torvalds/linux/git/commits/432b1de0de02a83f64695e69a2d83cbee10c236f;https://github.com/torvalds/linux/commit/432b1de0de02a83f64695e69a2d83cbee10c236f
101;246; We should inititialize it before;initialize it before;should;https://api.github.com/repos/torvalds/linux/git/commits/432b1de0de02a83f64695e69a2d83cbee10c236f;https://github.com/torvalds/linux/commit/432b1de0de02a83f64695e69a2d83cbee10c236f
102;248;treewide: Add SPDX license identifier for missed files;Add SPDX license identifier for missed files;SPDX license identifier for missed files;https://api.github.com/repos/torvalds/linux/git/commits/457c89965399115e5cd8bf38f9c597293405703d;https://github.com/torvalds/linux/commit/457c89965399115e5cd8bf38f9c597293405703d
103;250;" - Have no license information of any form
 - Have EXPORT_.*_SYMBOL_GPL inside which was used in the
   initial scan/conversion to ignore the file
These files fall under the project license, GPL v2 only";Have no license information of any form;GPL v2 only;https://api.github.com/repos/torvalds/linux/git/commits/457c89965399115e5cd8bf38f9c597293405703d;https://github.com/torvalds/linux/commit/457c89965399115e5cd8bf38f9c597293405703d
