url;new_message1;Decision;Rationale
https://github.com/spring-projects/spring-boot/commit/24e873cd7c2608e642fd6e90460bc98079ba4e27;Move files from  <file_name>  <file_name>  into  <file_name> <enter> Move the ` <file_name> ` file from  <file_name> ` into ` <file_name> ` since the IDE plugin supports both. ;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.
https://github.com/spring-projects/spring-boot/commit/6556bb2e8912717a00e781b483c8d83f72a69571;Fix checkstyle violations ;Fix checkstyle violations;
https://github.com/spring-projects/spring-boot/commit/5182bc4f2b1e7811b91ab857ddd325cc031d5805;Improve startup times  <enter> Improve startup times (although not by much) by adding more background pre-initializers and lazily evaluating the whitelabel SpEL view. <enter> See  <issue_link> ;Improve startup times by adding more background pre-initializers and lazily evaluating the whitelabel SpEL view  ;(although not by much)
https://github.com/spring-projects/spring-boot/commit/fa040c9e268e4f614b118af1b680d7789251ade3;Fix tests failing on Windows ;Fix tests failing on Windows;tests failing on Windows
https://github.com/spring-projects/spring-boot/commit/a5200568384b036202a49b53813aad4a6ce807b2;Make <iden> a default method  <enter> Change ` <method_name>  to have a default implementation that return `<iden>`. <enter>  Fixes <issue_link> ;Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>"
https://github.com/spring-projects/spring-boot/commit/cef635d86c854b0b767f929f110d974864dd09a1;Reinstate devtools debug logging with opt-out  <enter> Reinstate `web` logging when devtools is in use, making use of the new logging groups support. <iden> now also logs an `INFO` message informing that properties defaults are offers an easy way to disable them. <enter>  Closes <issue_link> ;Reinstate devtools debug logging with opt-out;Reinstate `web` logging when devtools is in use, making use of the new logging groups support
https://github.com/spring-projects/spring-boot/commit/f8a53cf775b03c9258b42be194e05e0ee1779f35;Update actuator security documentation  <enter> Update documentation to align with the new role based method. <enter> See  <issue_link> ;Update actuator security documentation;Update documentation to align with the new role based method.
https://github.com/spring-projects/spring-boot/commit/b3d5cd538dcea991d307ccc556cdfa93be3a7814;Add <iden> 5  <file_name>  rules  <enter> Add a rule to enforce <iden> 5 usage and conventions. <enter>  Closes <issue_link> ;Add a rule to enforce <iden> 5 usage and conventions;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/1b146f89f024ce75d6aa93a9450b69789b621f91;Fix failing test ;Fix failing test;failing
https://github.com/spring-projects/spring-boot/commit/7ab587a067254ea36b82dd7d0fde9b1ad5914e5e;Add initializer support  <enter> Add `<iden>` support to ` <file_name> `. ;Add initializer support  ;Add `<iden>` support to `<file_name>`
https://github.com/spring-projects/spring-boot/commit/1f893d9376932fefbfea2362ac513ca43931fb4f;Log warning on slow host resolution  <enter> Update ` <file_name> ` so that if the `<iden>` call takes more than 200ms a warning is logged. <enter>  Closes <issue_link> ;Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue
https://github.com/spring-projects/spring-boot/commit/69d8bf86863b370057e4ab3afbabb831f8668d8f;Fix merge conflict  <enter> Closes <issue_link> ;Fix merge conflict  ;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/8e78ba8ce77aa3206e3bd5be7b9291f0840f3478;Change LoggingSystemTests to use real temp folder  <enter> Update  <file_name>  to use a <iden> rule. <enter>  Fixes <issue_link> ;Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>
https://github.com/spring-projects/spring-boot/commit/8f23ee4e58e8d78dae7f6dd15441fb4b5ec86933;Apply micrometer <iden> beans automatically  <enter> Update ` <file_name> ` and ` <file_name> ` so that micrometer `<iden>` beans are automatically applied. <enter>  Fixes <issue_link> ;Apply micrometer <iden> beans automatically, Update ` <file_name> ` and ` <file_name> ` so that micrometer `<iden>` beans are automatically applied.  ;Fixes <issue_link>
https://github.com/spring-projects/spring-boot/commit/d0fd6145b1f3072bcc5ad81f7c20e80e890b9442;Fix  <file_name>  outer class tangle  <enter> Fixes <issue_link> ;Fix <file_name> outer class tangle;Fixes <issue_link>
https://github.com/spring-projects/spring-boot/commit/cc5d4b8b7fd56f8eb2b6ca920c1547bce3e8f4df;Add <iden>  <file_name>  rule  <enter> Closes <issue_link> ;Add <iden> <file_name> rule <enter> Closes <issue_link>;
https://github.com/spring-projects/spring-boot/commit/2136a390049c1a04b65863e8f3c74d9a0725e85d;Fix checkstyle errors ;Fix checkstyle errors;fix
https://github.com/spring-projects/spring-boot/commit/7c13c01cb6a62b86478aa53d3516ae8aaea48bca;Fix mapping of <iden>'s idle-timeout and heartbeat-interval  <enter> Previous to this commit the connection idle timeout and heartbeat interval were mapped to seconds whereas <iden> expects ms for all duration types. <enter> This commit fixes the mapping and removes the default duration unit since it should be considered ms like every other duration properties. <enter>  Closes <issue_link> ;Fix mapping of <iden>'s idle-timeout and heartbeat-interval  ;Previous to this commit the connection idle timeout and heartbeat interval were mapped to seconds whereas <iden> expects ms for all duration types.
https://github.com/spring-projects/spring-boot/commit/a5b27789c0bcc7ee65e798be68dbb44ba0e2d05b;Document how to use  <file_name>  with reactive access  <enter> Closes <issue_link> ;Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>
https://github.com/spring-projects/spring-boot/commit/676cd10dbf9deebdee844cc62294ad20abdf2c69;Fix encoding of @bean in reference documentation  <enter> Closes <issue_link> ;Fix encoding of @bean in reference documentation;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/fcf468062602966c508c260ef54da55e2d48c49a;Polish 'Document how to add metadata for collection and enum default values' <enter>  Closes <issue_link> ;Polish 'Document how to add metadata for collection and enum default values';Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/0a55e3e7365a44d2b1986954912f938be5a77398;Polish 'Clarify edge case docs on  <file_name> '  <enter> Closes <pr_link> ;Polish 'Clarify edge case docs on <file_name>';Closes <pr_link>
https://github.com/spring-projects/spring-boot/commit/49fefdafd86a2349cecaa1438a019cd5b6cdb392;Fix doc formatting  <enter> Closes <issue_link> ;Fix doc formatting;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/2a85a2557d37e133a10a513fc71b5ccf4ee2d4ff;Fix health indicator auto-configuration order  <enter> Previously, the health auto-configuration `AutoconfigureOrder` entry for couchbase was referring to the standard couchbase auto-configuration that is not responsible to configure the `CouchbaseOperations` bean. Yet, the health indicator implementation was relying on the presence of such a bean. <enter> This commit fixes the `AutoconfigureOrder` entry so that it refers to `<iden>` now. <enter>  Closes <issue_link> ;Fix health indicator auto-configuration order;The health auto-configuration `AutoconfigureOrder` entry was referring to the standard couchbase auto-configuration that was not responsible for configuring the `CouchbaseOperations` bean, causing the health indicator implementation to rely on the presence of such a bean.
https://github.com/spring-projects/spring-boot/commit/982b81c675319d1a5d2fb859a28db06449e2f1a0;Fix datasource metrics doc  <enter> The maximum and minimum number of connections are no metrics so these are not exposed. Fix the doc that stated the contrary. <enter>  Fixes <issue_link> ;Fix datasource metrics doc;The maximum and minimum number of connections are not metrics so these are not exposed. Fix the doc that stated the contrary.
https://github.com/spring-projects/spring-boot/commit/e3899df22c1f8de17081fababcbd5c406a3c8541;Configure <iden> explicitly  <enter> This commit configures <iden> explicitly rather than relying on the abstract configuration class. This has the advantage of simplifying the auto-configuration and let it us proxy-free configuration classes. <enter> <iden> no longer uses or interacts with <iden>. Users relying on that to teach <iden> which components to use should rely on `<iden>` flag instead in case of multiple beans of the same type. <enter> ` <file_name> ` is no longer public as extending from it is no longer necessary. If the `<iden>` has to be customized, a ` <file_name> ` bean can be registered to tune the auto-configured environment. <enter>  Closes <issue_link> ;Configure <iden> explicitly;simplifying the auto-configuration and let it us proxy-free configuration classes
https://github.com/spring-projects/spring-boot/commit/1de2316a0b4c2d5896c34b954208a4c550466f22;Refine validator and <iden> validator configuration  <enter> This commit ensures that a primary JSR 303 and <iden> will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. <enter> `<iden>` exposes 3 contracts and we're only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>'s `<iden>` exists and is primary, we shouldn't flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that we'll auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. <enter> This commit also restores and adds tests that validates ` <file_name> ` will configure a JSR validator even if a <iden> is present. <enter> This effectively  fixes <issue_link>  in a different way. <enter>  Closes <issue_link> Closes <issue_link> ;Refine validator and `<iden>` validator configuration  ;This commit ensures that a primary JSR 303 and `<iden>` will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. `<iden>` exposes 3 contracts and we're only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>'s `<iden>` exists and is primary, we shouldn't flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that we'll auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. This commit also restores and adds tests that validate `<file_name>` will configure a JSR validator even if a <iden> is present. This effectively fixes `<issue_link>` in a different way. Closes `<issue_link>` Closes `<issue_link>`
https://github.com/spring-projects/spring-boot/commit/32b32b714275d0efaa1f5afba10e88e09101f224;Notify the use of logback specific system property  <enter> Logback documentation explains how to initialize the logging system and namely how the `logback.configurationFile` system property can be used to specify the configuration file to use. <enter> Spring <iden> has an abstraction on top of that. A user can define the `logging.path` property regardless of the logging infrastructure it is using. <enter> Users following the logback documentation can be confused at first so we're not logging a warning when we found out that the logback specific property has been specified. <enter>  Closes <issue_link> ;Notify the use of logback specific system property;Users following the logback documentation can be confused at first so we're not logging a warning when we found out that the logback specific property has been specified.
https://github.com/spring-projects/spring-boot/commit/e79ef9b73baca23e11db3c60fd3af2ca3a3dfb70;Add option to  <file_name>  devtools from fat jar  <enter> Add an `<iden>` property to both the <iden> and <iden> plugin that removes `org.springframework.boot:spring-boot-devtools` (if necessary) when repackaging the application. <enter>  Closes <issue_link> ;Add option to  <file_name>  devtools from fat jar;removes `org.springframework.boot:spring-boot-devtools` (if necessary) when repackaging the application
https://github.com/spring-projects/spring-boot/commit/d33c0ebf8f8f52fb6fb82d615cec50a10627d267;Fix data type of telnet and ssh ports  <enter> Define shell.ssh.port and shell.telnet.port as integer properties so that the generated meta-data exposes the proper type. <enter>  Fixes <issue_link> ;Define shell.ssh.port and shell.telnet port as integer properties  ;So that the generated meta-data exposes the proper type
https://github.com/spring-projects/spring-boot/commit/c0500d6d62308ad6e42f1f1d636d259888893df1;Add documentation for Hypermedia endpoints ;Add documentation for Hypermedia endpoints  ;
https://github.com/spring-projects/spring-boot/commit/cb7de2a9636005103436ee3343afda1fed853cc4;Allow binding number to <iden>  <enter> Closes <issue_link> ;Allow binding number to <iden>  <enter>  ;Closes <issue_link>  
https://github.com/spring-projects/spring-boot/commit/2fc557a5a90d32fb2cf6ebe2491b031a72507dd3;Improve <iden> documentation for reactive applications  <enter> Closes <issue_link> ;Improve <iden> documentation for reactive applications;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/6bc4df569095548718caf835d2c7568bc456b28c;Fix meta-data for spring.devtools.remote  <enter> See  <issue_link> ;Fix meta-data for spring.devtools.remote;See <issue_link>
https://github.com/spring-projects/spring-boot/commit/e293008c3fefd03931b08c66983b7261dd276c5c;Rename redis starter to  <file_name> -boot-starter-data-redis  <enter> Closes <issue_link> ;Rename redis starter to <file_name> -boot-starter-data-redis;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/26158c1ee2f169305d2f4045b7cd7d02fd051ace;Add default order for  <file_name> <enter> Closes <issue_link> ;Add default order for  <file_name> <enter> Closes <issue_link>;
https://github.com/spring-projects/spring-boot/commit/e28b98c59d43190b5ca8ea3ae4deac50c9737766;Remove multi config <iden> extension  <enter> Closes <pr_link> ;Remove multi config <iden> extension <enter> Closes <pr_link>;
https://github.com/spring-projects/spring-boot/commit/c5d44cdae4c9f011cc88904458ff5f7dde0d7b53;Fix build failure  <enter> More change to use the http <iden> driver <enter> See  <issue_link>  <enter>  Closes <issue_link> ;Fix build failure;Fix
https://github.com/spring-projects/spring-boot/commit/efdf451e6ed779ffdceede35ee9663850d4c800a;Polish 'Auto-detect jOOQ dialect'  <enter> Closes <pr_link> ;Polish 'Auto-detect jOOQ dialect';Closes <pr_link>
https://github.com/spring-projects/spring-boot/commit/ae3225e76e6f5e7d7680bfd9b5cca9da13a6efbc;Mention that <iden> requires commons-pool2  <enter> We intend to remove this limitation in a future milestone but as the <iden> auto-configuration requires `commons-pool2`, this commit updates the How-To to mention that. <enter> See  <pr_link> ;updates the How-To to mention that;as the <iden> auto-configuration requires `commons-pool2`
https://github.com/spring-projects/spring-boot/commit/50b3b3025a60b9b96aca2d93d18f855624063b2e;Fix broken build ;Fix broken build;broken
https://github.com/spring-projects/spring-boot/commit/a37c170376156f1cd94e6c15d0d253201ca7a491;Try to make  <file_name>  less flakey  <enter> Closes <issue_link> ;Try to make <file_name> less flakey;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/85c0b44dcbbe4d201f8b7fd72a97c31c2d07a3ec;Test that <iden> works when thread is interrupted  <enter> Previously, RandomAccessDataFile used a semaphore and acquired it interruptibly. This meant that an interrupted thread was unable to access the file. Notably, this would prevent <iden> from loading classes or resources on an interrupted thread. <enter> The previous commit ( <otherCommit_link> ) updates RandomAccessDataFile to acquire the semaphore uninterruptibly. This commit adds a test to <iden> to verify that it can now load a resource from an interrupted thread. <enter>  Closes <pr_link> ;Test that <iden> works when thread is interrupted  ;Update RandomAccessDataFile to acquire the semaphore uninterruptibly to allow loading classes or resources on an interrupted thread
https://github.com/spring-projects/spring-boot/commit/0741c90489c94c7a15a415013301f40f93caae05;Avoid blocking on a <iden> indefinitely  <enter> Closes <issue_link> ;Avoid blocking on a <iden> indefinitely;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/6c8f8c9d827a5340f9e6493c14d8c252d1f0d52a;Better diagnotics when ESCF subclass breaks with custom management port  <enter> When a custom management.port is used, the child context is configured with an <iden> bean that has the same class as the parent contextÃ¢ÂÂs <iden> bean. This ensures that the child context uses the same type of embedded container as its parent when there are multiple embedded containers on the classpath. It also causes a failure when the custom <iden> subclass cannot be instantiated, for example because itÃ¢ÂÂs an anonymous inner-class. <enter> This commit improves the diagnostics so that we fail fast with an information exception message when we detect that the embedded servlet container factory beanÃ¢ÂÂs class cannot be instantiated. <enter>  Closes <issue_link> ;Improve the diagnostics  ;to fail fast with an information exception message when we detect that the embedded servlet container factory bean's class cannot be instantiated
https://github.com/spring-projects/spring-boot/commit/6dc14af92dbfa7b5281072d9fdde241ce0da3679;Update view of bean types when an override is detected  <enter> Previously, when a bean was overridden and its type changes,  <file_name>  could be left with a stale view of the bean's type. This would lead to incorrect bean condition evaluation as conditions would match or not match based on the bean's old type. <enter> This commit updates the type registry to refresh its view of a bean's type when its definition changes. <enter>  Closes <issue_link> ;Update view of bean types when an override is detected;Previously, when a bean was overridden and its type changes, \<file_name> could be left with a stale view of the bean's type. This would lead to incorrect bean condition evaluation as conditions would match or not match based on the bean's old type.
https://github.com/spring-projects/spring-boot/commit/4ec95b8308cd301d74e160a7c1a6109c6ee9b64c;Ensure that  <file_name>  destroys underlying controller  <enter> Closes <issue_link> ;Ensure that <file_name> destroys underlying controller;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/c4f756daee43f89e0ba832ceac17bac216fc899b;Fix  <file_name> Ã¢Â?handling of profiles activated by a file  <enter> Previously,  <file_name>  used a <iden> with no PathTransformer. If a  <file_name>  file contains a file-activated profile this would result in an NPE within Maven. This was made worse by the NPE not being included in the resulting failure message which hampered diagnosis of the problem. <enter> This commit updates  <file_name>  to configure its <iden> with a PathTransformer. It also improves the failure message thatÃ¢ÂÂs created from any problems that are reported by Maven while determining the active profiles to include a problemÃ¢ÂÂs exception if it has one. <enter>  Closes <issue_link> ;Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.
https://github.com/spring-projects/spring-boot/commit/34e602652c29924b5806ee0582f4ff2bef31f502;Polish new layered jar support ;Polish new layered jar support;new layered jar support
https://github.com/spring-projects/spring-boot/commit/a491727b7c9610bf1ea86d30ce3b7ffefe5f3a60;Avoid creating unnecessary garbage during <iden> normalization  <enter> Closes <issue_link> ;Avoid creating unnecessary garbage during <iden> normalization <enter> Closes <issue_link>;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/6d78066a3a20a2b8639a97904b43deb6add9ade2;Ensure that AWTError from  <file_name>  does not prevent app starting  <enter> Closes <issue_link> ;Ensure that AWTError from  <file_name> does not prevent app starting;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/247c596f8ceb657800e86d0ca59d4816aa67026b;Remove duplicate console appender from Actuator sample's  <file_name>  config  <enter> Closes <issue_link> ;Remove duplicate console appender from Actuator sample's <file_name> config;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/6c504a5098735239552db4c757815816d9ffe9cb;Fix deprecation warnings in Testcontainers wait strategies  <enter> See  <issue_link> ;Fix deprecation warnings in Testcontainers wait strategies  ;
https://github.com/spring-projects/spring-boot/commit/a23d11fe6c040eef3bd7f559a5c212cb626e698d;Update appendix with details of new Spring <iden> property  <enter> Follow-on from  <otherCommit_link> . <enter>  Closes <issue_link> ;Update appendix with details of new Spring <iden> property  ;Follow-on from  <otherCommit_link>, Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/0ef4967b9e227da2c4191d52866b1f1cc9330ea6;Update  <file_name>  config to look for minor version upgrades ;Update <file_name> config to look for minor version upgrades;look for minor version upgrades
https://github.com/spring-projects/spring-boot/commit/e5a253e68951dcf975b9844b3b39afac2222b503;Improve diagnostics when  <file_name>  type deduction fails  <enter> When @ConditionalOnBean or <iden> are used on a  @bean  method, they will, in the absence of any other configuration, attempt to deduce the bean's type by examining the method's return type. This deduction can fail. See  <issue_link> ,  <issue_link> , and  <issue_link>  for some examples of possible failure causes. Previously, this failure was only logged as a debug message leaving the user with a misleading message suggesting that the @ConditionalOnBean or <iden> annotation was not configured correctly. <enter> This commit improves the diagnostics by mention the possibility of type deduction in the exception message and including the exception that caused deduction to fail as the cause. <enter>  Closes <issue_link> ;Improve diagnostics when <file_name> type deduction fails;previously, this failure was only logged as a debug message, leaving the user with a misleading message suggesting that the @ConditionalOnBean or <iden> annotation was not configured correctly.
https://github.com/spring-projects/spring-boot/commit/993a43ee8c2a33e833d748d7027c75790f23b31d;Remove non-existent starter from dependencies  <file_name>  ;Remove non-existent starter from dependencies;non-existent
https://github.com/spring-projects/spring-boot/commit/268b97bf9826ba817c1e87fbc48f0fb589528add;No-op  <file_name>  when <iden> is not present  <enter> Closes <issue_link> ;No-op <file_name> when <iden> is not present  ;Closes <issue_link>
https://github.com/spring-projects/spring-boot/commit/93cac333e8b23de6d096fdc3559e14a531a9d2c9;Clean up logging dependencies and exclusions  <enter> Closes <issue_link> ;Clean up logging dependencies and exclusions  ;Closes <issue_link>  
https://github.com/spring-projects/spring-boot/commit/45a337b515315bab439c2265649a936c935be19c;Improve links to <iden> plugin's documentation  <enter> Closes <pr_link> ;Improve links to <iden> plugin's documentation;Closes <pr_link>
https://github.com/spring-projects/spring-boot/commit/fe3d2c39a0f4cf016c8ceb27dbeab5508c85e65f;Fix broken links in the documentation ;Fix broken links in the documentation;broken links
https://github.com/spring-projects/spring-boot/commit/8f7c96e8f0fa3504a10961bf06db42ad8472d395;Honour ext and classifier on @Grabbed dependencies  <enter> We currently honour type, but ignore ext. <iden> doesn't make a distinction between the two so a Grab that specifies both type and ext but with different values is considered to be an error. <enter>  Fixes <issue_link> ;Honour ext and classifier on @Grabbed dependencies;We currently honour type, but ignore ext. <iden> doesn't make a distinction between the two so a Grab that specifies both type and ext but with different values is considered to be an error.
https://github.com/spring-projects/spring-boot/commit/b439d3522ee0615cd46ea50d7791a89802d9c0bc;Fix  <file_name>  javadoc ;Fix  <file_name>  javadoc;Fix
https://github.com/spring-projects/spring-boot/commit/893654bdd1d71fdf42b21d8ca16c4c18faf6a3ea;Update documentation for new <iden> support ;Update documentation for new <iden> support;new <iden> support
https://github.com/spring-projects/spring-boot/commit/d828f13a09c33a4c13eddc8bcc18cd0e297102d6;Fix exec-maven-plugin configuration issue  <enter> fixes <issue_link> ;Fix exec-maven-plugin configuration issue;fixes <issue_link>
https://github.com/spring-projects/spring-boot/commit/0c036a69f2e87473cf3d60de4a4e56b8737f14ca;Improve <iden> support naming ;Improve <iden> support naming;support naming
https://github.com/spring-projects/spring-boot/commit/e769f20477c413a79fec551f42715415308516b5;Close the context in  <file_name> <enter> Closes <pr_link> ;Close the context in  <file_name> <enter> Closes <pr_link> ;
https://github.com/spring-projects/spring-boot/commit/639bf5e99cd2446e90f847e055e07099af13d8b4;Update 'Building reference documentation' section  <enter> This commit also changes  <file_name> ` to make it work with `full` Maven profile. <enter>  Closes <pr_link> ;Update 'Building reference documentation' section;to make it work with `full` Maven profile.
https://github.com/spring-projects/spring-boot/commit/1ac385c4f61bcd3bc5ef8b20c9f334d2a9371ea8;Add a missing 'io.spring.dependency-management' in doc  <enter> Closes <pr_link> ;Add a missing 'io.spring.dependency-management' in doc  ;Closes <pr_link>
https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Remove unfixable <iden> ;Remove unfixable <iden> ;unfixable
https://github.com/spring-projects/spring-boot/commit/8dae41f24c5fe614b579a960dd4382d06dcde53f;Fix missing trailing / in resource paths ;Fix missing trailing / in resource paths  ;paths
https://github.com/spring-projects/spring-boot/commit/3a8a1272855a82c1d454920b423c49ced826428a;Implement simpler exclusion logic for <iden>  <enter> Simplify the exclusion logic used in <iden> by implementing implicit exclusions rather than trying to detect transitive excludes. <enter> This commit reverts much of the code originally included to  fix <issue_link>  which adds far too much complexity to the build and still doesn't solve the underlying issue. <enter>  Fixes <issue_link> ;Implement simpler exclusion logic for <iden>  ;Simplify the exclusion logic used in <iden> by implementing implicit exclusions rather than trying to detect transitive excludes.
https://github.com/spring-projects/spring-boot/commit/75548c1205897aff851528f2528012ce88563fee;Remove spring-data-commons  <enter> Remove direct reference to spring-data-commons, instead favoring transitive dependency. <enter>  Fixes <issue_link> ;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency
