;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha;similarity_rationales
10;Make <iden> a default method;"Change ` <method_name> to have a default implementation that return `<iden>`; Fixes <issue_link>";https://github.com/spring-projects/spring-boot/commit/a5200568384b036202a49b53813aad4a6ce807b2;Make <iden> optional for <iden>;This commit removes the required dependency on `<iden>` instances when creating `<iden>` beans, making it optional.;https://github.com/spring-projects/spring-boot/commit/57147241cb9119e1c7af494bd48c76bfb4f5808a;Contradicts;0.8104891180992126;0.4283222556114197
11;Add a rule to enforce <iden> 5 usage and conventions;Closes <issue_link>;https://github.com/spring-projects/spring-boot/commit/b3d5cd538dcea991d307ccc556cdfa93be3a7814;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.8155087828636169;0.592372715473175
12;Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;https://github.com/spring-projects/spring-boot/commit/1f893d9376932fefbfea2362ac513ca43931fb4f;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;https://github.com/spring-projects/spring-boot/commit/4ec95b8308cd301d74e160a7c1a6109c6ee9b64c;Contradicts;0.8755148649215698;0.5806533098220825
13;Log warning on slow host resolution, Update ` <file_name>` so that if the `<iden>` call takes more than 200ms a warning is logged, Closes `<issue_link>`;slow host resolution, more than 200ms, close issue;https://github.com/spring-projects/spring-boot/commit/1f893d9376932fefbfea2362ac513ca43931fb4f;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;https://github.com/spring-projects/spring-boot/commit/05e6af23cf2e60d5c61388fbb954bd56f00b9f94;Contradicts;0.8564995527267456;0.2252243310213089
14;Change LoggingSystemTests to use real temp folder, Update <file_name> to use a <iden> rule, Fixes <issue_link>;real temp folder, a <iden> rule, <issue_link>;https://github.com/spring-projects/spring-boot/commit/8e78ba8ce77aa3206e3bd5be7b9291f0840f3478;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;https://github.com/spring-projects/spring-boot/commit/4ec95b8308cd301d74e160a7c1a6109c6ee9b64c;Contradicts;0.804205596446991;0.6035821437835693
15;Apply micrometer <iden> beans automatically, Update ` <file_name> ` and ` <file_name> ` so that micrometer `<iden>` beans are automatically applied.  ;Fixes <issue_link>;https://github.com/spring-projects/spring-boot/commit/8f23ee4e58e8d78dae7f6dd15441fb4b5ec86933;Make <iden> optional for <iden>;This commit removes the required dependency on `<iden>` instances when creating `<iden>` beans, making it optional.;https://github.com/spring-projects/spring-boot/commit/57147241cb9119e1c7af494bd48c76bfb4f5808a;Contradicts;0.8694391250610352;0.2967745661735534
16;Apply micrometer <iden> beans automatically, Update ` <file_name> ` and ` <file_name> ` so that micrometer `<iden>` beans are automatically applied.  ;Fixes <issue_link>;https://github.com/spring-projects/spring-boot/commit/8f23ee4e58e8d78dae7f6dd15441fb4b5ec86933;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;https://github.com/spring-projects/spring-boot/commit/05e6af23cf2e60d5c61388fbb954bd56f00b9f94;Contradicts;0.9265562891960144;0.1750507950782776
17;Fix <file_name> outer class tangle;Fixes <issue_link>;https://github.com/spring-projects/spring-boot/commit/d0fd6145b1f3072bcc5ad81f7c20e80e890b9442;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;https://github.com/spring-projects/spring-boot/commit/4ec95b8308cd301d74e160a7c1a6109c6ee9b64c;Contradicts;0.83915114402771;0.7925821542739868
18;Fix <file_name> outer class tangle;Fixes <issue_link>;https://github.com/spring-projects/spring-boot/commit/d0fd6145b1f3072bcc5ad81f7c20e80e890b9442;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.8433097004890442;0.5233895778656006
19;Fix <file_name> outer class tangle;Fixes <issue_link>;https://github.com/spring-projects/spring-boot/commit/d0fd6145b1f3072bcc5ad81f7c20e80e890b9442;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;https://github.com/spring-projects/spring-boot/commit/2b616fb7d94c8ec08ff8d750126d6470649fae72;Contradicts;0.8728055953979492;0.8257734179496765
20;Document how to use <file_name> with reactive access <enter> Closes <issue_link>;to provide information on how to use <file_name> with reactive access and address the issue identified in <issue_link>;https://github.com/spring-projects/spring-boot/commit/a5b27789c0bcc7ee65e798be68dbb44ba0e2d05b;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;https://github.com/spring-projects/spring-boot/commit/4ec95b8308cd301d74e160a7c1a6109c6ee9b64c;Contradicts;0.8447281122207642;0.5299144983291626
21;Fix health indicator auto-configuration order;The health auto-configuration `AutoconfigureOrder` entry was referring to the standard couchbase auto-configuration that was not responsible for configuring the `CouchbaseOperations` bean, causing the health indicator implementation to rely on the presence of such a bean.;https://github.com/spring-projects/spring-boot/commit/2a85a2557d37e133a10a513fc71b5ccf4ee2d4ff;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.923861026763916;0.1994054615497589
22;Fix meta-data for spring.devtools.remote;See <issue_link>;https://github.com/spring-projects/spring-boot/commit/6bc4df569095548718caf835d2c7568bc456b28c;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.9702882766723632;0.5632293224334717
23;Fix meta-data for spring.devtools.remote;See <issue_link>;https://github.com/spring-projects/spring-boot/commit/6bc4df569095548718caf835d2c7568bc456b28c;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;https://github.com/spring-projects/spring-boot/commit/75548c1205897aff851528f2528012ce88563fee;Contradicts;0.9346824884414672;0.457918643951416
24;Fix <file_name> handling of profiles activated by a file;Previously, <file_name> used a <iden> with no PathTransformer. This would result in an NPE within Maven, compounded by the NPE not being included in the failure message, hindering diagnosis. This commit updates <file_name> to configure its <iden> with a PathTransformer and improves the failure message for better problem diagnosis.;https://github.com/spring-projects/spring-boot/commit/c4f756daee43f89e0ba832ceac17bac216fc899b;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.8599514365196228;0.1686911880970001
25;Update <file_name> config to look for minor version upgrades;look for minor version upgrades;https://github.com/spring-projects/spring-boot/commit/0ef4967b9e227da2c4191d52866b1f1cc9330ea6;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;https://github.com/spring-projects/spring-boot/commit/05e6af23cf2e60d5c61388fbb954bd56f00b9f94;Contradicts;0.9223552346229552;0.2180509269237518
26;Fix  <file_name>  javadoc;Fix;https://github.com/spring-projects/spring-boot/commit/b439d3522ee0615cd46ea50d7791a89802d9c0bc;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.9576429128646852;0.7157697677612305
27;Fix  <file_name>  javadoc;Fix;https://github.com/spring-projects/spring-boot/commit/b439d3522ee0615cd46ea50d7791a89802d9c0bc;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;https://github.com/spring-projects/spring-boot/commit/2b616fb7d94c8ec08ff8d750126d6470649fae72;Contradicts;0.8779550194740295;0.7386007905006409
28;Fix exec-maven-plugin configuration issue;fixes <issue_link>;https://github.com/spring-projects/spring-boot/commit/d828f13a09c33a4c13eddc8bcc18cd0e297102d6;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.8079891800880432;0.5233895778656006
29;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;https://github.com/spring-projects/spring-boot/commit/2b616fb7d94c8ec08ff8d750126d6470649fae72;Contradicts;0.917403280735016;0.4544697105884552
