Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;make the magical value of -17 in /proc/<pid>/oom_adj defeat the oom-killer altogether;iscsi/lvm2/multipath needs guaranteed protection from the oom-killer;Contradicts;0.7321236729621887
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;This patch causes SysRq+F to always kill an eligible thread;This patch can be used to force a kill even if another oom killed thread has failed to exit.;Contradicts;0.5378387570381165
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;Remove mm->oom_disable_count entirely;its unnecessary and currently buggy;Contradicts;0.8434686064720154
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;Remove the count;Its better to remove the count;Contradicts;0.7474036812782288
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;Lets get rid of the signal_struct counter;We do not need it anymore;Contradicts;0.8528431057929993
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;We can tolerate a comm being printed that is in the middle of an update;to avoid taking the lock;Contradicts;0.5126088261604309
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;Rename mark_tsk_oom_victim() to mark_oom_victim();which is easier on the eye.;Contradicts;0.5125724673271179
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;CONFIG_GCOV_KERNEL was turned off for all tests;"my distributed build env didnt work with gcov compiles

Decision: a few more options had to be turned off depending on archs";Contradicts;0.6142014265060425
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;The flag is set in mark_oom_victim and never cleared;so it is stable in the exit_mmap path;Contradicts;0.8256665468215942
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;"
Call panic() instead of waking up the OOM reaper
";"
Memory allocation failure for creating the OOM reaper kernel thread";Contradicts;0.6335657835006714
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;Giving TIF_MEMDIE only to the main thread and the currently allocating task;To reduce the risk ;Contradicts;0.8719528317451477
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;Setting the flag for current is not necessary;check and set is not racy;Contradicts;0.6679354310035706
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;push the re-check loop out of freeze_processes into check_frozen_processes;to make the code more readable as per Rafael;Contradicts;0.7692376375198364
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;Rename try_set_zonelist_oom() to oom_zonelist_trylock() and rename clear_zonelist_oom() to oom_zonelist_unlock();to imply there is proper locking semantics;Contradicts;0.5861647725105286
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;signal to the process that no memory exists;given the constraints that the process (or the configuration of the process) has placed on the allocation behavior;Contradicts;0.646752655506134
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;Theres no need to call schedule_timeout_interruptible();task must die ASAP;Contradicts;0.6140869855880737
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;None ;more pointed memcg page statistics for memcg-oom and take hierarchy into consideration;Contradicts;0.5322325229644775
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;Have no license information of any form;GPL v2 only;Contradicts;0.816951334476471
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;We are not checking whether the task is frozen;that would be racy and __thaw_task does that already;Contradicts;0.7478606104850769
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;The order of the tests have been switched and capable() is used instead;smack_setprocattr() rejected accesses to tasks other than current just after calling __capable();Contradicts;0.550162672996521
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;The fix is to remove __show_mem() and add its argument to show_mem() in all implementations;to prevent this breakage;Contradicts;0.5154388546943665
Track number of TIF_MEMDIE threads inside signal_struct;We dont need to do TIF_MEMDIE test on each thread;Ignore the fact that all threads in a thread group do not necessarily exit at the same time;495789a5 (oom: make oom_score to per-process value);Contradicts;0.6141901016235352
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();"This patch adds try_oom_reaper.
";The decision is made in order to check the given task and queue it for the oom reaper if it is safe to be done, meaning that the task doesnt share the mm with an alive process.;Contradicts;0.7822984457015991
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();This patch doesnt change this behavior;because we are not ready to allow those allocation requests to fail yet (and maybe we will face the reality that we will never manage to safely fail these request);Contradicts;0.9945105314254761
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();move the __GFP_FS check down to out_of_memory and prevent OOM victim selection there;prevent OOM victim selection;Contradicts;0.9556928277015686
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Kill current;It is better than another task needlessly.;Contradicts;0.6125971078872681
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();"Remove the ""if (!p->mm)"" check in select_bad_process()";it is just wrong;Contradicts;0.7391332387924194
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Add the new helper, find_lock_task_mm();"finds the live thread which uses the memory and takes task_lock() to pin ->mm

Decision: change oom_badness()";Contradicts;0.5282205939292908
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Change the code to ignore the PF_EXITING tasks without ->mm.;PF_EXITING tasks without ->mm should not be expected to free more memory.;Contradicts;0.9155578017234802
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Only oom kill exiting tasks with attached memory;oom;Contradicts;0.8485736846923828
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Move the check for OOM_DISABLE to the badness heuristic;Reduce the number of times task_lock() needs to be held;Contradicts;0.8728078007698059
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();it is no longer necessary to check the oom_adj value for threads sharing the same memory (except when simply issuing SIGKILLs for threads in other thread groups);the oom_adj value is a characteristic of an mm and not a task;Contradicts;0.875335693359375
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();There is no need to call for int_sqrt;if argument is 0;Contradicts;0.8288981318473816
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Use printk_ratelimit();to quieten it;Contradicts;0.6326473355293274
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();make the magical value of -17 in /proc/<pid>/oom_adj defeat the oom-killer altogether;iscsi/lvm2/multipath needs guaranteed protection from the oom-killer;Contradicts;0.7601117491722107
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();kill duplicate OOM_DISABLE check;duplicate;Contradicts;0.5188351273536682
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();put those freeable pages in inactive file LRU;it would make sense to;Contradicts;0.5597824454307556
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();The addition of the pgtables_bytes ;is a useful measure of the memory size of the process.;Contradicts;0.5640569925308228
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();remove redundant OOM score normalization in select_bad_process();redundant OOM score normalization;Contradicts;0.5329278707504272
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();remove redundant task_in_mem_cgroup() check;redundant;Contradicts;0.917155921459198
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();mem_cgroup_scan_tasks() can use CSS_TASK_ITER_PROCS in order to check only one thread from each thread group;"Since commit c03cd7738a83 (""cgroup: Include dying leaders with live threads in PROCS iterations"") corrected how CSS_TASK_ITER_PROCS works";Contradicts;0.5098869204521179
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();oom_kill_task() will kill them anyway;t->mm == NULL doesnt really matter;Contradicts;0.5669341087341309
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();This patch reintroduces the code removed in 8c5cd6f3;it is obsoleted;Contradicts;0.8596396446228027
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();ABI is not broken with userspace applications and allows oom_adj to be deprecated for future removal;This is required;Contradicts;0.7071806192398071
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Remove this dubious PF_EXITING check;dubious;Contradicts;0.8744167685508728
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();hide the mm from the oom killer by setting MMF_OOM_REAPED flag for it;help forward progress for the OOM killer;Contradicts;0.7158554196357727
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();set MMF_OOM_REAPED to hide this mm from the oom killer completely;hide this mm from the oom killer completely;Contradicts;0.6721364259719849
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Teach task_will_free_mem to skip over MMF_OOM_REAPED tasks;because they will be unlikely to free anything more;Contradicts;0.7061522006988525
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Killing such a task should be acceptable;it is highly unlikely it has done anything useful because it cannot modify any memory before it calls exec;Contradicts;0.6154334545135498
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Share the same oom_score_adj;As a result;Contradicts;0.5138040781021118
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();force oom kill on sysrq+f;oom;Contradicts;0.6652995347976685
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();This patch causes SysRq+F to always kill an eligible thread;This patch can be used to force a kill even if another oom killed thread has failed to exit.;Contradicts;0.7774709463119507
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();silently return the oom killer;its only giving access to memory reserves and is otherwise a no-op;Contradicts;0.6538623571395874
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();return to the page allocator and retry the allocation;memory could have been freed in the interim and the oom condition may no longer exist;Contradicts;0.5288402438163757
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Remove the unnecessary return value, rename, unexport and collapse __thaw_process() into it;unnecessary return value;Contradicts;0.9238361716270447
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Remove mm->oom_disable_count entirely;its unnecessary and currently buggy;Contradicts;0.9981389045715332
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Remove the count;Its better to remove the count;Contradicts;0.9986255168914795
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Change select_bad_process() to check ->mm after TIF_MEMDIE, but skip the tasks which have already passed exit_notify();to ensure a zombie with TIF_MEMDIE set cant block oom-killer;Contradicts;0.5007063746452332
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();remove deprecated oom_adj;deprecated;Contradicts;0.8045188188552856
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();This patch avoids killing current in such a condition and simply falls back to the tasklist scan.;memory still needs to be freed;Contradicts;0.6298248767852783
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Fix this by always printing the nodemask;always printing the nodemask;Contradicts;0.6960492730140686
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();not invoke OOM killer as much as possible;there is simply no reliable way to detect whether more reclaim retries make sense;Contradicts;0.5661903023719788
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Lets get rid of the signal_struct counter;We do not need it anymore;Contradicts;0.9806713461875916
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Rename MMF_OOM_REAPED to MMF_OOM_SKIP;Make it more generic;Contradicts;0.5008293986320496
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();This patch removes the cpuset_zone_allowed() call;to force the caller to explicitly choose between the hardwall and the softwall case;Contradicts;0.9362782835960388
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Introduce a new state, TASK_DEAD;to avoid a confusion;Contradicts;0.710712194442749
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Introduce is_init;to capture this case;Contradicts;0.505039393901825
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Adds a new sysctl, oom_kill_allocating_task;which will automatically kill the OOM-triggering task instead of scanning through the tasklist to find a memory-hogging target;Contradicts;0.706887423992157
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();We now take callback_mutex after iterating through the zonelist;we dont need it yet;Contradicts;0.786687970161438
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();panic ASAP;want failover;Contradicts;0.5328000783920288
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();"OOM killer gives ""BUG: scheduling while atomic"" and the machine hangs";there isnt enough memory, badness() needs to do its PF_SWAPOFF return after the task_unlock;Contradicts;0.9122530221939087
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Drop any usage of TIF_MEMDIE from the page allocator proper and replace it by tsk_is_oom_victim as well;Make page_alloc.c completely TIF_MEMDIE free finally;Contradicts;0.7724829316139221
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();CONFIG_MMU=n doesnt have oom reaper so lets stick to the original ALLOC_NO_WATERMARKS approach;CONFIG_MMU=n doesnt have oom reaper;Contradicts;0.9121739268302917
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Add printk to both oom_killer_{enable,disable};Help distinguish first case from the second;Contradicts;0.6550315618515015
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Create a trivial placeholder <linux/sched/coredump.h> file that just maps to <linux/sched.h>;to make this patch obviously correct and bisectable;Contradicts;0.5796716213226318
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Create a trivial placeholder <linux/sched/mm.h> file;to make this patch obviously correct and bisectable;Contradicts;0.5725714564323425
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();use madvise_dontneed() logic to decide if unmap the VMA;to decide if unmap the VMA;Contradicts;0.6003844738006592
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();removes the __GFP_NOFAIL special case;more clear semantic without surprising side effects;Contradicts;0.584601640701294
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Get rid of this hardcoded behavior;push the allocation mask down the show_mem path and use it instead of cpuset_current_mems_allowed;Contradicts;0.9694297909736633
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();remove the wrong check along with pr_info();wrong check along with pr_info();Contradicts;0.8814011812210083
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();We can tolerate a comm being printed that is in the middle of an update;to avoid taking the lock;Contradicts;0.581727921962738
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();remove unnecessary variable;unnecessary;Contradicts;0.5319815278053284
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Replace both locking schemes with a single global mutex serializing OOM kills regardless of context.;regardless of context;Contradicts;0.9510989189147949
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Rename mark_tsk_oom_victim() to mark_oom_victim();which is easier on the eye.;Contradicts;0.7292488813400269
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();CONFIG_GCOV_KERNEL was turned off for all tests;"my distributed build env didnt work with gcov compiles

Decision: a few more options had to be turned off depending on archs";Contradicts;0.8364743590354919
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();percpu.h modifications were reverted;so that it could be applied as a separate patch and serve as bisection point;Contradicts;0.7165673971176147
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();The flag is set in mark_oom_victim and never cleared;so it is stable in the exit_mmap path;Contradicts;0.9982798099517822
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();Simplification of both alloc_warn() and dump_header() and getting rid of pr_cont altogether;Allows simplification;Contradicts;0.7761568427085876
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();remove pointless kthread_run() error check;pointless;Contradicts;0.7682705521583557
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();"
Call panic() instead of waking up the OOM reaper
";"
Memory allocation failure for creating the OOM reaper kernel thread";Contradicts;0.6767060160636902
"This patch adds a counter to signal_struct for tracking how many TIF_MEMDIE threads are in a given thread group, and check it at oom_scan_process_thread()
";so that select_bad_process() can use for_each_process() rather than for_each_process_thread();make the mm_has_notifiers check under the oom_lock and have a little nap before failing to give the current oom victim some more time to exit.;to not fail too early;Contradicts;0.8266218304634094
