index;Decision;Rationale;URL;url
22;list_lru does not need the capability of tracking every memcg on every superblock;For these systems with huge container counts;https://api.github.com/repos/torvalds/linux/git/commits/88f2ef73fd66491a2f9a82373d22ca6540f23c62;https://github.com/torvalds/linux/commit/88f2ef73fd66491a2f9a82373d22ca6540f23c62
23;Introduce kmem_cache_alloc_lru to allocate objects and its list_lru;to allocate objects;https://api.github.com/repos/torvalds/linux/git/commits/88f2ef73fd66491a2f9a82373d22ca6540f23c62;https://github.com/torvalds/linux/commit/88f2ef73fd66491a2f9a82373d22ca6540f23c62
24;Remove unnecessary page_mapcount_reset() function call;unnecessary;https://api.github.com/repos/torvalds/linux/git/commits/b01af5c0b0414f96e6c3891e704d1c40faa18813;https://github.com/torvalds/linux/commit/b01af5c0b0414f96e6c3891e704d1c40faa18813
25;Use unused field for units;instead;https://api.github.com/repos/torvalds/linux/git/commits/b01af5c0b0414f96e6c3891e704d1c40faa18813;https://github.com/torvalds/linux/commit/b01af5c0b0414f96e6c3891e704d1c40faa18813
26;use struct folio instead of struct page;Where non-slab page can appear;https://api.github.com/repos/torvalds/linux/git/commits/50757018b4c9b02dbf7fcc0514e0fc45b8689c62;https://github.com/torvalds/linux/commit/50757018b4c9b02dbf7fcc0514e0fc45b8689c62
27;don't introduce wrappers for PageSlobFree in mm/slab.h;"just for the single callers being wrappers in mm/slob.c

Decision: fix NULL pointer deference";https://api.github.com/repos/torvalds/linux/git/commits/50757018b4c9b02dbf7fcc0514e0fc45b8689c62;https://github.com/torvalds/linux/commit/50757018b4c9b02dbf7fcc0514e0fc45b8689c62
28;By using the slab type instead of the page type  ;we make it obvious that this can only be called for slabs;https://api.github.com/repos/torvalds/linux/git/commits/7213230af5e1e83ff010b3448260b9d3f95dd036;https://github.com/torvalds/linux/commit/7213230af5e1e83ff010b3448260b9d3f95dd036
30;Don't build mm_dump_obj() on CONFIG_PRINTK=n kernels;CONFIG_PRINTK=n;https://api.github.com/repos/torvalds/linux/git/commits/5bb1bb353cfe343fc3c84faf06f72ba309fde541;https://github.com/torvalds/linux/commit/5bb1bb353cfe343fc3c84faf06f72ba309fde541
31;mem_dump_obj() messages will be suppressed;kernels built with CONFIG_PRINTK=n;https://api.github.com/repos/torvalds/linux/git/commits/5bb1bb353cfe343fc3c84faf06f72ba309fde541;https://github.com/torvalds/linux/commit/5bb1bb353cfe343fc3c84faf06f72ba309fde541
32;This patch adds the slab name to trace_kmem_cache_free();to trace_kmem_cache_free;https://api.github.com/repos/torvalds/linux/git/commits/3544de8ee6e4817278b15fe08658de49abf58954;https://github.com/torvalds/linux/commit/3544de8ee6e4817278b15fe08658de49abf58954
33;kmem_cache_free;We can use it to understand what the RCU core is going to free;https://api.github.com/repos/torvalds/linux/git/commits/3544de8ee6e4817278b15fe08658de49abf58954;https://github.com/torvalds/linux/commit/3544de8ee6e4817278b15fe08658de49abf58954
34;Add mem_dump_obj() to print source of memory block;to print source of memory block;https://api.github.com/repos/torvalds/linux/git/commits/8e7f37f2aaa56b723a24f6872817cf9c6410b613;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613
35;There are kernel facilities such as per-CPU reference counts that give error messages in generic handlers or callbacks  ;messages are unenlightening;https://api.github.com/repos/torvalds/linux/git/commits/8e7f37f2aaa56b723a24f6872817cf9c6410b613;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613
36;this is not a problem when creating a new use of this facility  ;the bug is almost certainly in the code implementing that new use;https://api.github.com/repos/torvalds/linux/git/commits/8e7f37f2aaa56b723a24f6872817cf9c6410b613;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613
37;"This pointer can reference the middle of the block as well as the beginning of the block, as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is
";as needed by things like RCU callback functions and timer handlers that might not know where the beginning of the memory block is;https://api.github.com/repos/torvalds/linux/git/commits/8e7f37f2aaa56b723a24f6872817cf9c6410b613;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613
38;These functions and handlers can use mem_dump_obj();to print out better hints as to where the problem might lie;https://api.github.com/repos/torvalds/linux/git/commits/8e7f37f2aaa56b723a24f6872817cf9c6410b613;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613
39;The information printed can depend on kernel configuration;depend on kernel configuration;https://api.github.com/repos/torvalds/linux/git/commits/8e7f37f2aaa56b723a24f6872817cf9c6410b613;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613
40;the allocation return address can be printed only for slab and slub  ;only when the necessary debug has been enabled;https://api.github.com/repos/torvalds/linux/git/commits/8e7f37f2aaa56b723a24f6872817cf9c6410b613;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613
41;build with CONFIG_DEBUG_SLAB=y and either use sizes with ample space to the next power of two or use the SLAB_STORE_USER when creating the kmem_cache structure;For slab;https://api.github.com/repos/torvalds/linux/git/commits/8e7f37f2aaa56b723a24f6872817cf9c6410b613;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613
42;Use CONFIG_STACKTRACE for slub  ;to enable printing of the allocation-time stack trace.;https://api.github.com/repos/torvalds/linux/git/commits/8e7f37f2aaa56b723a24f6872817cf9c6410b613;https://github.com/torvalds/linux/commit/8e7f37f2aaa56b723a24f6872817cf9c6410b613
44;have some use eventually for annotations in drivers/gpu;I might;https://api.github.com/repos/torvalds/linux/git/commits/95d6c701f4ca7c44dc148d664f604541266a2333;https://github.com/torvalds/linux/commit/95d6c701f4ca7c44dc148d664f604541266a2333
45;Updates gfpflags_allow_blocking();There's a ton of callers all over the place for that already.;https://api.github.com/repos/torvalds/linux/git/commits/95d6c701f4ca7c44dc148d664f604541266a2333;https://github.com/torvalds/linux/commit/95d6c701f4ca7c44dc148d664f604541266a2333
46;Slab pages will be shared between multiple cgroups;global and node counters will reflect the total number of slab pages;https://api.github.com/repos/torvalds/linux/git/commits/d42f3245c7e299e017213fa028c319316bcdb7f4;https://github.com/torvalds/linux/commit/d42f3245c7e299e017213fa028c319316bcdb7f4
47;The size of slab memory shouldn't exceed 4Gb on 32-bit machines;it will fit into atomic_long_t we use for vmstats;https://api.github.com/repos/torvalds/linux/git/commits/d42f3245c7e299e017213fa028c319316bcdb7f4;https://github.com/torvalds/linux/commit/d42f3245c7e299e017213fa028c319316bcdb7f4
48;I want to use this in a memory allocation tracker in drm for stuff that's tied to the lifetime of a drm_device, not the underlying struct device;slab does this already;https://api.github.com/repos/torvalds/linux/git/commits/fd7cb5753ef49964ea9db5121c3fc9a4ec21ed8e;https://github.com/torvalds/linux/commit/fd7cb5753ef49964ea9db5121c3fc9a4ec21ed8e
49;CONFIG_SLUB_DEBUG or CONFIG_SLOB, and blocks stop being aligned  ;blocks stop being aligned;https://api.github.com/repos/torvalds/linux/git/commits/59bb47985c1db229ccff8c5deebecd54fc77d2a9;https://github.com/torvalds/linux/commit/59bb47985c1db229ccff8c5deebecd54fc77d2a9
50;make the kmalloc() alignment to size explicitly guaranteed for power-of-two sizes under all configurations;provide to mm users what they need without difficult workarounds or own reimplementations;https://api.github.com/repos/torvalds/linux/git/commits/59bb47985c1db229ccff8c5deebecd54fc77d2a9;https://github.com/torvalds/linux/commit/59bb47985c1db229ccff8c5deebecd54fc77d2a9
51;patch ensures alignment on all arches and cache sizes;Still;https://api.github.com/repos/torvalds/linux/git/commits/59bb47985c1db229ccff8c5deebecd54fc77d2a9;https://github.com/torvalds/linux/commit/59bb47985c1db229ccff8c5deebecd54fc77d2a9
53;improve memory accounting;improve;https://api.github.com/repos/torvalds/linux/git/commits/6a486c0ad4dcdee3946842c64884d2978bfe2602;https://github.com/torvalds/linux/commit/6a486c0ad4dcdee3946842c64884d2978bfe2602
54;Modifying a counter on page allocation and freeing should be acceptable even for the small system scenarios SLOB is intended for;SLOB is intended for;https://api.github.com/repos/torvalds/linux/git/commits/6a486c0ad4dcdee3946842c64884d2978bfe2602;https://github.com/torvalds/linux/commit/6a486c0ad4dcdee3946842c64884d2978bfe2602
55;it might look like a memory leak  ;As they also don't appear in /proc/slabinfo;https://api.github.com/repos/torvalds/linux/git/commits/6a486c0ad4dcdee3946842c64884d2978bfe2602;https://github.com/torvalds/linux/commit/6a486c0ad4dcdee3946842c64884d2978bfe2602
56;"SLAB doesn't actually use page allocator directly
";no change there;https://api.github.com/repos/torvalds/linux/git/commits/6a486c0ad4dcdee3946842c64884d2978bfe2602;https://github.com/torvalds/linux/commit/6a486c0ad4dcdee3946842c64884d2978bfe2602
58;add three helpers, convert the appropriate places;these three patches;https://api.github.com/repos/torvalds/linux/git/commits/a50b854e073cd3335bbbada8dcff83a857297dd7;https://github.com/torvalds/linux/commit/a50b854e073cd3335bbbada8dcff83a857297dd7
59;to find out the size of a potentially huge page;It's unnecessarily hard;https://api.github.com/repos/torvalds/linux/git/commits/a50b854e073cd3335bbbada8dcff83a857297dd7;https://github.com/torvalds/linux/commit/a50b854e073cd3335bbbada8dcff83a857297dd7
60;union of slab_list and lru;slab_list and lru are the same bits;https://api.github.com/repos/torvalds/linux/git/commits/adab7b68189d14504e9f690ee7eb7e98af68301b;https://github.com/torvalds/linux/commit/adab7b68189d14504e9f690ee7eb7e98af68301b
61;verify that this change is safe to do by examining the object file produced from slob.c before and after this patch is applied;safe to do;https://api.github.com/repos/torvalds/linux/git/commits/adab7b68189d14504e9f690ee7eb7e98af68301b;https://github.com/torvalds/linux/commit/adab7b68189d14504e9f690ee7eb7e98af68301b
62;configure and build (select SLOB allocator);SLOB allocator;https://api.github.com/repos/torvalds/linux/git/commits/adab7b68189d14504e9f690ee7eb7e98af68301b;https://github.com/torvalds/linux/commit/adab7b68189d14504e9f690ee7eb7e98af68301b
64;Use slab_list list_head instead of the lru list_head for maintaining lists of slabs  ;maintain;https://api.github.com/repos/torvalds/linux/git/commits/adab7b68189d14504e9f690ee7eb7e98af68301b;https://github.com/torvalds/linux/commit/adab7b68189d14504e9f690ee7eb7e98af68301b
65;Add a return parameter to slob_page_alloc();to signal that the list was modified;https://api.github.com/repos/torvalds/linux/git/commits/130e8e09e2675bbc484581825fe29e2e5a6b8b0a;https://github.com/torvalds/linux/commit/130e8e09e2675bbc484581825fe29e2e5a6b8b0a
66;Add a return parameter to slob_page_alloc()  ;to signal that the allocation used up the whole page and that the page was removed from the free list;https://api.github.com/repos/torvalds/linux/git/commits/130e8e09e2675bbc484581825fe29e2e5a6b8b0a;https://github.com/torvalds/linux/commit/130e8e09e2675bbc484581825fe29e2e5a6b8b0a
67;remove an unnecessary check for __GFP_ZERO;unnecessary;https://api.github.com/repos/torvalds/linux/git/commits/9f88faee3ff7d6e8b09c9d23b7d4ac0c15a3eae9;https://github.com/torvalds/linux/commit/9f88faee3ff7d6e8b09c9d23b7d4ac0c15a3eae9
68;Remove the unnecessary NULL pointer check;unnecessary;https://api.github.com/repos/torvalds/linux/git/commits/9f88faee3ff7d6e8b09c9d23b7d4ac0c15a3eae9;https://github.com/torvalds/linux/commit/9f88faee3ff7d6e8b09c9d23b7d4ac0c15a3eae9
69;Add SPDX GPL-2.0 license identifier to files with no license;License cleanup;https://api.github.com/repos/torvalds/linux/git/commits/b24413180f5600bcb3bb70fbed5cf186b60864bd;https://github.com/torvalds/linux/commit/b24413180f5600bcb3bb70fbed5cf186b60864bd
71;to be applied to the file;a file by file comparison of the scanner;https://api.github.com/repos/torvalds/linux/git/commits/b24413180f5600bcb3bb70fbed5cf186b60864bd;https://github.com/torvalds/linux/commit/b24413180f5600bcb3bb70fbed5cf186b60864bd
72;Make and config files were included as candidates if they contained >5 lines of source;File already had some variant of a license header in it (even if <5 lines);https://api.github.com/repos/torvalds/linux/git/commits/b24413180f5600bcb3bb70fbed5cf186b60864bd;https://github.com/torvalds/linux/commit/b24413180f5600bcb3bb70fbed5cf186b60864bd
73;All documentation files were explicitly excluded;explicitly excluded;https://api.github.com/repos/torvalds/linux/git/commits/b24413180f5600bcb3bb70fbed5cf186b60864bd;https://github.com/torvalds/linux/commit/b24413180f5600bcb3bb70fbed5cf186b60864bd
74;the top level COPYING file license applied;both scanners couldn't find any license traces, file was considered to have no license information;https://api.github.com/repos/torvalds/linux/git/commits/b24413180f5600bcb3bb70fbed5cf186b60864bd;https://github.com/torvalds/linux/commit/b24413180f5600bcb3bb70fbed5cf186b60864bd
75;For non */uapi/* files;that summary was;https://api.github.com/repos/torvalds/linux/git/commits/b24413180f5600bcb3bb70fbed5cf186b60864bd;https://github.com/torvalds/linux/commit/b24413180f5600bcb3bb70fbed5cf186b60864bd
76;Kate also obtained a third independent scan of the 4.13 code base from FOSSology, and compared selected files where the other two scanners disagreed against that SPDX file;to see if there was new insights;https://api.github.com/repos/torvalds/linux/git/commits/b24413180f5600bcb3bb70fbed5cf186b60864bd;https://github.com/torvalds/linux/commit/b24413180f5600bcb3bb70fbed5cf186b60864bd
77;Thomas wrote a script to parse the csv files and add the proper SPDX tag to the file  ;in the format that the file expected;https://api.github.com/repos/torvalds/linux/git/commits/b24413180f5600bcb3bb70fbed5cf186b60864bd;https://github.com/torvalds/linux/commit/b24413180f5600bcb3bb70fbed5cf186b60864bd
78;Greg ran the script using the .csv files to generate the patches;to detect more types of files automatically and to distinguish between header and source .c files;https://api.github.com/repos/torvalds/linux/git/commits/b24413180f5600bcb3bb70fbed5cf186b60864bd;https://github.com/torvalds/linux/commit/b24413180f5600bcb3bb70fbed5cf186b60864bd
80;reducing the 'irq' states;allows reducing the 'irq' states and will reduce the amount of __bfs() lookups we do;https://api.github.com/repos/torvalds/linux/git/commits/d92a8cfcb37ecd1315269dab741f073b63b3a8b6;https://github.com/torvalds/linux/commit/d92a8cfcb37ecd1315269dab741f073b63b3a8b6
81;And by moving this annotation out of the lockdep code;it becomes easier for the mm people to extend;https://api.github.com/repos/torvalds/linux/git/commits/d92a8cfcb37ecd1315269dab741f073b63b3a8b6;https://github.com/torvalds/linux/commit/d92a8cfcb37ecd1315269dab741f073b63b3a8b6
82;"reported chasing a bug
";their assumption that SLAB_DESTROY_BY_RCU provided an existence guarantee;https://api.github.com/repos/torvalds/linux/git/commits/5f0d5a3ae7cff0d7fa943c199c3a2e44f23e1fac;https://github.com/torvalds/linux/commit/5f0d5a3ae7cff0d7fa943c199c3a2e44f23e1fac
83;SLAB_DESTROY_BY_RCU only prevents freeing of an entire slab of blocks;Instead;https://api.github.com/repos/torvalds/linux/git/commits/5f0d5a3ae7cff0d7fa943c199c3a2e44f23e1fac;https://github.com/torvalds/linux/commit/5f0d5a3ae7cff0d7fa943c199c3a2e44f23e1fac
84;renames SLAB_DESTROY_BY_RCU to SLAB_TYPESAFE_BY_RCU;to avoid future instances of this sort of confusion;https://api.github.com/repos/torvalds/linux/git/commits/5f0d5a3ae7cff0d7fa943c199c3a2e44f23e1fac;https://github.com/torvalds/linux/commit/5f0d5a3ae7cff0d7fa943c199c3a2e44f23e1fac
85;call synchronize_sched() just once;it's enough to call it just once - after setting cpu_partial for all caches and before shrinking them;https://api.github.com/repos/torvalds/linux/git/commits/89e364db71fb5e7fc8d93228152abfa67daf35fa;https://github.com/torvalds/linux/commit/89e364db71fb5e7fc8d93228152abfa67daf35fa
86;move it out of the slab_mutex  ;which we have to hold for iterating over the slab cache list;https://api.github.com/repos/torvalds/linux/git/commits/89e364db71fb5e7fc8d93228152abfa67daf35fa;https://github.com/torvalds/linux/commit/89e364db71fb5e7fc8d93228152abfa67daf35fa
87;Adjust API to return type 'int' instead of previously type 'bool';previously type 'bool';https://api.github.com/repos/torvalds/linux/git/commits/865762a8119e74b5f0e236d2d8eaaf8be9292a06;https://github.com/torvalds/linux/commit/865762a8119e74b5f0e236d2d8eaaf8be9292a06
88;allow future extension of the bulk alloc API;is done to;https://api.github.com/repos/torvalds/linux/git/commits/865762a8119e74b5f0e236d2d8eaaf8be9292a06;https://github.com/torvalds/linux/commit/865762a8119e74b5f0e236d2d8eaaf8be9292a06
89;We always end up returning some objects at the cost of another cmpxchg  ;Else;https://api.github.com/repos/torvalds/linux/git/commits/865762a8119e74b5f0e236d2d8eaaf8be9292a06;https://github.com/torvalds/linux/commit/865762a8119e74b5f0e236d2d8eaaf8be9292a06
90;"To keep compatible with future users of this API linking against an older kernel when using the new flag, we need to return the number of allocated objects with this API change.
";to keep compatible;https://api.github.com/repos/torvalds/linux/git/commits/865762a8119e74b5f0e236d2d8eaaf8be9292a06;https://github.com/torvalds/linux/commit/865762a8119e74b5f0e236d2d8eaaf8be9292a06
92;hiding potentially buggy callers;except temporarily;https://api.github.com/repos/torvalds/linux/git/commits/96db800f5d73cd5c49461253d45766e094f0f8c2;https://github.com/torvalds/linux/commit/96db800f5d73cd5c49461253d45766e094f0f8c2
93;Add the basic infrastructure for alloc/free operations on pointer arrays;for alloc/free operations on pointer arrays;https://api.github.com/repos/torvalds/linux/git/commits/484748f0b65a1950b2b93f444a2287e8dd2cedd6;https://github.com/torvalds/linux/commit/484748f0b65a1950b2b93f444a2287e8dd2cedd6
94;These optimizations may avoid taking locks repeatedly and bypass metadata creation if all objects in slab pages can be used to provide the objects required;avoid taking locks repeatedly and bypass metadata creation if all objects in slab pages can be used to provide the objects required;https://api.github.com/repos/torvalds/linux/git/commits/484748f0b65a1950b2b93f444a2287e8dd2cedd6;https://github.com/torvalds/linux/commit/484748f0b65a1950b2b93f444a2287e8dd2cedd6
96;Make dead caches discard free slabs immediately;slub;https://api.github.com/repos/torvalds/linux/git/commits/d6e0b7fa11862433773d986b5f995ffdf47ce672;https://github.com/torvalds/linux/commit/d6e0b7fa11862433773d986b5f995ffdf47ce672
97;SLUB may store empty slabs in per cpu/node partial lists instead of freeing them immediately;To speed up further allocations;https://api.github.com/repos/torvalds/linux/git/commits/d6e0b7fa11862433773d986b5f995ffdf47ce672;https://github.com/torvalds/linux/commit/d6e0b7fa11862433773d986b5f995ffdf47ce672
98;resurrects approach first proposed in [1];To fix this issue;https://api.github.com/repos/torvalds/linux/git/commits/d6e0b7fa11862433773d986b5f995ffdf47ce672;https://github.com/torvalds/linux/commit/d6e0b7fa11862433773d986b5f995ffdf47ce672
99;setting kmem_cache's cpu_partial and min_partial constants to 0 and tuning put_cpu_partial();Achieving dropping frozen empty slabs immediately if cpu_partial = 0;https://api.github.com/repos/torvalds/linux/git/commits/d6e0b7fa11862433773d986b5f995ffdf47ce672;https://github.com/torvalds/linux/commit/d6e0b7fa11862433773d986b5f995ffdf47ce672
100;make put_cpu_partial() call unfreeze_partials() after freezing a slab that belongs to an offline memory cgroup;touch relatively cold functions, only make this specific call;https://api.github.com/repos/torvalds/linux/git/commits/d6e0b7fa11862433773d986b5f995ffdf47ce672;https://github.com/torvalds/linux/commit/d6e0b7fa11862433773d986b5f995ffdf47ce672
101;slab freezing exists;to avoid moving slabs from/to a partial list on free/alloc;https://api.github.com/repos/torvalds/linux/git/commits/d6e0b7fa11862433773d986b5f995ffdf47ce672;https://github.com/torvalds/linux/commit/d6e0b7fa11862433773d986b5f995ffdf47ce672
103;I do not see it as an option;SLUB shrinker would be too costly to call since SLUB does not keep free slabs on a separate list;https://api.github.com/repos/torvalds/linux/git/commits/d6e0b7fa11862433773d986b5f995ffdf47ce672;https://github.com/torvalds/linux/commit/d6e0b7fa11862433773d986b5f995ffdf47ce672
104;"Introduce much more complexity to both SLUB and memcg
";than this small patch;https://api.github.com/repos/torvalds/linux/git/commits/d6e0b7fa11862433773d986b5f995ffdf47ce672;https://github.com/torvalds/linux/commit/d6e0b7fa11862433773d986b5f995ffdf47ce672
105;Thanks to list_lru reparenting, we no longer keep entries for offline cgroups in per-memcg arrays;We do not have to bother if a per-memcg cache will be shrunk a bit later than it could be;https://api.github.com/repos/torvalds/linux/git/commits/d6e0b7fa11862433773d986b5f995ffdf47ce672;https://github.com/torvalds/linux/commit/d6e0b7fa11862433773d986b5f995ffdf47ce672
106;Track caller if tracing or slab debugging is enabled;Tracing or slab debugging is enabled;https://api.github.com/repos/torvalds/linux/git/commits/61f47105a2c9c60e950ca808b7560f776f9bfa31;https://github.com/torvalds/linux/commit/61f47105a2c9c60e950ca808b7560f776f9bfa31
107;it's okay to change this situation;default slab allocator, SLUB, doesn't use this technique;https://api.github.com/repos/torvalds/linux/git/commits/61f47105a2c9c60e950ca808b7560f776f9bfa31;https://github.com/torvalds/linux/commit/61f47105a2c9c60e950ca808b7560f776f9bfa31
108;turn on/off CONFIG_DEBUG_SLAB without full kernel build and remove some complicated '#if' defintion;After this change, simplify the process and reduce complexity;https://api.github.com/repos/torvalds/linux/git/commits/61f47105a2c9c60e950ca808b7560f776f9bfa31;https://github.com/torvalds/linux/commit/61f47105a2c9c60e950ca808b7560f776f9bfa31
110;slab_mutex for kmem_cache_shrink is removed;after it's applied, there is no need in taking the slab_mutex;https://api.github.com/repos/torvalds/linux/git/commits/03afc0e25f7fc03537014a770f4c54ebbe63a24c;https://github.com/torvalds/linux/commit/03afc0e25f7fc03537014a770f4c54ebbe63a24c
111;unioned together;Conveniently;https://api.github.com/repos/torvalds/linux/git/commits/34bf6ef94a835a8f1d8abd3e7d38c6c08d205867;https://github.com/torvalds/linux/commit/34bf6ef94a835a8f1d8abd3e7d38c6c08d205867
112;That code can use them interchangeably;Gets horribly confusing like with this nugget from slab.c;https://api.github.com/repos/torvalds/linux/git/commits/34bf6ef94a835a8f1d8abd3e7d38c6c08d205867;https://github.com/torvalds/linux/commit/34bf6ef94a835a8f1d8abd3e7d38c6c08d205867
113;This patch makes the slab and slub code use page->lru universally instead of mixing ->list and ->lru;mixing ->list and ->lru;https://api.github.com/repos/torvalds/linux/git/commits/34bf6ef94a835a8f1d8abd3e7d38c6c08d205867;https://github.com/torvalds/linux/commit/34bf6ef94a835a8f1d8abd3e7d38c6c08d205867
114;The new rule is: page->lru is what you use;if you want to keep your page on a list;https://api.github.com/repos/torvalds/linux/git/commits/34bf6ef94a835a8f1d8abd3e7d38c6c08d205867;https://github.com/torvalds/linux/commit/34bf6ef94a835a8f1d8abd3e7d38c6c08d205867
115;function naming changes;requires some;https://api.github.com/repos/torvalds/linux/git/commits/f1b6eb6e6be149b40ebb013f5bfe2ac86b6f1c1b;https://github.com/torvalds/linux/commit/f1b6eb6e6be149b40ebb013f5bfe2ac86b6f1c1b
116;Call the ctor() method only if allocation succeeded;The solution is to only call the ctor() method if allocation succeeded;https://api.github.com/repos/torvalds/linux/git/commits/c1e854e924f354657ea2ad08fd7b38aac81c59b1;https://github.com/torvalds/linux/commit/c1e854e924f354657ea2ad08fd7b38aac81c59b1
