Decision;Rationale
<acpi/acpi.h>, <acpi/acpi_bus.h> and <acpi/acpi_drivers.h> should not be included directly from any files that are built for CONFIG_ACPI unset;because that generally leads to build warnings about undefined symbols in !CONFIG_ACPI builds
For CONFIG_ACPI set, <linux/acpi.h> includes those files and for CONFIG_ACPI unset it provides stub ACPI symbols to be used in that case  ;
<acpi/acpi_bus.h> be included prior to <acpi/acpi_drivers.h>;so that the acpi_pci_root declarations the latter depends on are always there
Use the patch to replace the origin code;provide a better solution
"Provide a helper for that; static inline for now, eventually will be moved to fs/proc, along with the knowledge of struct proc_dir_entry layout.";
This patch fixes following compiler warnings when build via make W=1;
Remove useless type argument of driver .remove() operation;useless
"The second argument of ACPI driver .remove() operation is only used by the ACPI processor driver
";the value passed to that driver through it is always available from the given struct acpi_device object's removal_type field
drop the second ACPI driver .remove() argument  ;the second ACPI driver .remove() argument is in fact useless
Fix unused function warnings for CONFIG_PM_SLEEP;unused function warnings
add #ifdefs to prevent them from being built in that case  ;several suspend/resume functions in ACPI drivers are not used for CONFIG_PM_SLEEP unset
remove unused procfs I/F;unused
Remove unused ACPI button procfs interface;unused
Avoid disabling wakeup unnecessarily on remove;-
Use device wakeup flags for handling ACPI wakeup devices;for handling ACPI wakeup devices
use standard device wakeup flags instead of the special ACPI flags for handling those devices;address this problem
Use GPE reference counting to support shared GPEs  ;the wakeup enable mask bits of GPEs are set as soon as the GPEs are enabled to wake up the system
it is sufficient to set/unset the wakeup mask bits for them during system sleep transitions;"this means that the reference counting of ""wakeup"" GPEs doesn't really make sense"
This will allow us to simplify the GPE handling code quite a bit;that change is too intrusive for 2.6.35
Update gfp.h and slab.h includes  ;prepare for breaking implicit slab.h inclusion from percpu.h
Prepare for this change by updating users of gfp and slab facilities;include those headers directly instead of assuming availability
the following script is used as the basis of conversion;As this conversion needs to touch a large number of source files
only the necessary includes are there;necessary
put the new include  ;its order conforms to its surrounding
prints out an error message indicating which .h file needs to be added to the file;the file doesn't have fitting include block
some didn't need the inclusion, some needed manual addition while adding it to implementation .h or embedding .c file was more appropriate for others;
The script was run again  ;to make sure no file was left behind
Several build tests were done and a couple of problems were fixed;
The script was run on all .h files but without automatically editing them;sprinkling gfp.h and slab.h inclusions around .h files could easily lead to inclusion dependency hell
Most gfp.h inclusion directives were ignored  ;stuff from gfp.h was usually wildly available and often used in preprocessor macros
description of the patch behaviour;an action or a change
failures were fixed;Build tests were done on the following configurations
CONFIG_GCOV_KERNEL was turned off for all tests and a few more options had to be turned off depending on archs to make things build;my distributed build env didn't work with gcov compiles, like ipr on powerpc/64 which failed due to missing writeq
percpu.h modifications were reverted  ;so that it could be applied as a separate patch and serve as bisection point
I'm fairly confident about the coverage of this conversion patch  ;Given the fact that I had only a couple of failures from tests on step 6
Add more run-time wake-up fields;Add more
Introduce a new wake-up flag, always_enabled, for marking devices that should be permanently enabled to generate run-time events  ;devices that should be permanently enabled to generate run-time events
Introduce a reference counter for run-wake devices and a function that will initialize all of the run-time wake-up fields for given device.;-
Add an API to allow devices to indicate whether or not they want their device's GPE to be enabled for both runtime and wakeup events;to allow devices to indicate whether or not they want their device's GPE to be enabled
Remove the old GPE type handling entirely  ;Gets rid of various quirks, like the implicit disabling with GPE type setting
complain the following warning message;"will

"
"This patch is to eliminate the above warning message
";Device PNP0C0D:00 failed to resume: error 1
don't try to use a non-existent lid device;non-existent
return -ENODEV;there's no lid device present
Some drivers need to know when a lid event occurs and get the current status;-
not all ACPI drivers use/want it;they should not have to #undef PREFIX to define their own
whitespace fix  ;This does not change any actual console output
remove control method/fixed hardware distinctions;
removes the driver distinction between control method (CM) and fixed hardware (FF) buttons  ;
we could install either a fixed event handler or a notify handler, but the Linux/ACPI code now handles that for us;We previously needed that so we don't need to worry about it
"removes the FF/CM annotation from the ""info"" files in /proc";
type: Power Button;I don't think there's anything meaningful user-space can do by knowing whether a button is a control method or a fixed hardware button
Remove button->device pointer;button
We no longer need a pointer from struct acpi_button back to the struct acpi_device;no longer need
removes the structure element;
This patch adds temporaries to cache the acpi_device_hid(), acpi_device_name(), and acpi_device_class() pointers;so we don't have to clutter the code with so many uses of those interfaces
Better to oops and learn about a bug;than to silently cover it up
changes a bit of whitespace to follow Linux conventions;follow Linux conventions
use .notify method instead of installing handler directly  ;-
The presence of .notify() causes Linux/ACPI to manage event handlers and notify handlers on our behalf  ;so we don't have to install and remove them ourselves
convert that back to ACPI_BUTTON_NOTIFY_STATUS;to preserve user-space backward compatibility
remove struct proc_dir_entry::owner;
Setting ->owner as done currently (pde->owner = THIS_MODULE) is racy;as correctly noted at bug #12454
leave ->owner as easy-manipulative field;somebody will forget to unpin previous/pin current module when switching ->owner
"proc_fops is declared as ""const""";should give some thoughts
"rmmod'ed directories will be empty and return ""."" and "".."" -- no harm";no harm
don't want such modular code;definitely
Use spinlock for acpi_{en|dis}able_gpe;
start using GPE from userspace;GPE is already disabled in interrupt context
Move all the component definitions for drivers to a single shared place, include/acpi/acpi_drivers.h  ;to have a single shared place
"verify by using ""input-events"" from input-utils and just closing and opening the lid";easy
Change the argument to take a pointer to an acpi_integer;support 64-bit integers on all platforms
use non-racy method for proc entries creation;reduce race conditions in proc entries creation
Use proc_create()/proc_create_data() to make sure that ->proc_fops and ->data be setup;before gluing PDE to main tree
Add correct ->owner to proc_fops to fix reading/module unloading race  ;fix reading/module unloading race
get rid of input BIT* duplicate defines;duplicate
Also remove includes of input.h from non-input sources only for BIT macro definition;non-input sources, BIT macro definition
Define the macro temporarily in a local manner;all those local definitions will be removed further in this patchset (to not break bisecting)
Schedule /proc/acpi/event for removal in 6 months;
Re-name acpi_bus_generate_event() to acpi_bus_generate_proc_event()  ;to make sure there is no confusion that it is for /proc/acpi/event only
Add CONFIG_ACPI_PROC_EVENT to allow removal of /proc/acpi/event;to allow removal of /proc/acpi/event
acpi:ACPI0001;
Cosmetic only;
fix acpi_driver.name usage;fix
ls bus/acpi/drivers  ;Display the list of ACPI drivers.
clean up ACPI_MODULE_NAME() use  ;
"Make ""module name"" actually match the file name";cosmetic only
"Invoke with ';' as leaving it off confuses Lindent  ";gcc doesn't care
Fix indentation where Lindent did get confused  ;Lindent did get confused
Pull sysfs into test branch;
include/acpi/acpi_drivers.h;
remove unnecessary casts and variable initializations, clean up formatting;unnecessary
Remove unneeded acpi_handle from driver;unneeded
Use acpi_device's handle instead of driver's  ;-
un-export ACPI_ERROR() -- use printk(KERN_ERR...);use printk(KERN_ERR...)
Enable ACPI error messages w/o CONFIG_ACPI_DEBUG;
restore /proc/acpi/button/ (ala 2.6.12)  ;[ACPI]
delete /proc/acpi/button;
Linux-2.6.12-rc2;
Initial git repository build;
"Create a separate ""historical"" git archive";about 3.2GB when imported into git - space that would just make the early git days unnecessarily complicated
