url;new_message1;Decision;Rationale
https://github.com/apache/dubbo/commit/28e737880ce70acb0339100a58512425cfb11fe7;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link> ;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change
https://github.com/apache/dubbo/commit/529713305fc7807dd1600f18199ff4e7442f955f;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link> ;Fix stub proxy does not work cause of ProxyFactory.getProxy change  ;fix
https://github.com/apache/dubbo/commit/c9f12ca17770d7035f1f9bf0a27c18fd6c4dce5a; <file_name>  class should be consistent with the writing of the ExecutionChannelHandler class. ( <pr_link> ) <enter>  fix <issue_link> ;`<file_name>` class should be consistent with the writing of the ExecutionChannelHandler class;fix <issue_link>
https://github.com/apache/dubbo/commit/f720ccb965d490e6cc328af8d3e9820cb6eaf8f7;fix travis cov ( <pr_link> ) ;fix travis cov;
https://github.com/apache/dubbo/commit/d73831895bc8dc9e85d6818571d6fa17a27ba404;fix <issue_link> , support get system load on windows ( <pr_link> ) ;support get system load on windows ( <pr_link> );fix <issue_link>
https://github.com/apache/dubbo/commit/3516df569777b2ec6fbe20f130f3c342caf3f476;Fix hessian-lite spelling mistake ( <pr_link> ) ;Fix hessian-lite spelling mistake  ;spelling mistake
https://github.com/apache/dubbo/commit/392f15952f46340130ba51b08a02536823a5880a;"[Dubbo-6536]Add a remoting redis to adapt mono, sentinel and cluster redis; refactor redis registry to use the new module ( <pr_link> ) <enter> add remoting-redis module, refactor  <file_name>  ";"Add a remoting redis to adapt mono, sentinel and cluster redis; refactor redis registry to use the new module  ";"to adapt mono, sentinel and cluster redis; refactor redis registry to use the new module"
https://github.com/apache/dubbo/commit/a2e5102657a8abe03812f0b025f457ca3d994921;Fix NPE when unexport <iden> ( <pr_link> ) ;Fix NPE when unexport <iden> ( <pr_link> );NPE
https://github.com/apache/dubbo/commit/5230444d5f83e586ce759d15e02ee799cf6241e7;fix publish null value when use consul config center ( <pr_link> )  <enter> * fix publish null value when use consul config center ;fix publish null value when use consul config center  ;fix publish null value
https://github.com/apache/dubbo/commit/b0064d78a3b929eb3b25e0de9055412cb61f48ce;Make code of process callback of method cleaner in  <file_name>  ( <pr_link> ) ;Make code of process callback of method cleaner in <file_name> (<pr_link>);cleaner
https://github.com/apache/dubbo/commit/ad5f9f909e6282381499e63070c6175014c81935;Correct @parameter config of field of  <file_name>  ( <pr_link> ) ;Correct @parameter config of field of <file_name> (<pr_link>);
https://github.com/apache/dubbo/commit/c39eeb57aef6d2cb046a031a47dbd37e43b4b056;Revert 'fix wrong check of <iden> when export a service (fix issue_6269) ( <pr_link> )' <enter> This reverts commit  <otherCommit_link> . ;Revert 'fix wrong check of <iden> when export a service (fix issue_6269) ( <pr_link> )'  ;fix wrong check
https://github.com/apache/dubbo/commit/951955ad51c602a51b4ac6ada7344eef9ee1c195;Polish <issue_link> : Adding the new methods into  <file_name>  to manipulate the exported <iden> for service introspection ( <pr_link> ) ;Adding the new methods into <file_name>  ;to manipulate the exported <iden> for service introspection ( <pr_link> )
https://github.com/apache/dubbo/commit/7234078e8cf49f4ee0231b6cd0237fb730446dd1;[Enhancement] Adding the overriding rule for  <file_name>  ( <pr_link> ) ;Adding the overriding rule for <file_name> (<pr_link>);Enhancement
https://github.com/apache/dubbo/commit/c13809fa5dab74cc11cdc549de7293d27581116e;Add `how can I contribute?` section. ;Add `how can I contribute?` section;-
https://github.com/apache/dubbo/commit/0d00ef25a230f0f252045fa700ec007fb4c52c6b;Correct  <file_name>  version. ;Correct <file_name> version  ;Correct
https://github.com/apache/dubbo/commit/c1b686545cc1adaa1ff69c1493a094b751cad52f;Remove unused code. ;Remove unused code  ;unused
https://github.com/apache/dubbo/commit/6ec0225cfa9b45c8349d19019f965d5c52d40a09;Remove unnecessary null check and fix typo. ;Remove unnecessary null check and fix typo;unnecessary, fix typo
https://github.com/apache/dubbo/commit/203078981bb23517703e7bbb60925b8542bc8983;Ignore <iden> since it is unstable and consider removing it later. ;Consider removing <iden> later  ;<iden> is unstable
https://github.com/apache/dubbo/commit/543a52abc0a86efad59f0f97f32de282321a4ab5; <file_name>  ( <pr_link> )  <enter> fixes <issue_link> ,  <issue_link> ,  <issue_link> ;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times
https://github.com/apache/dubbo/commit/5caa422add46efa9b6de8c0e763e1ccecbcbfacd;just for modify comments and imports ( <pr_link> ) ;Modify comments and imports  ;just for [by implication]
https://github.com/apache/dubbo/commit/e5fe041812285869d5ab73516dd424338473bcf2;remove tomcat-embed-logging-juli ( <pr_link> )  <enter> fixes <issue_link> ;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>
https://github.com/apache/dubbo/commit/18773aa4d0925693839be7f53c0eee27697ebc1d;fix qos configuration cannot work after added 'qos-enable' style support ( <pr_link> ) <enter>  fixes <issue_link> ;fix qos configuration cannot work after added 'qos-enable' style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added 'qos-enable' style support
https://github.com/apache/dubbo/commit/0aebefec3d4653c5144e4e68e77049d7b1198b1d;modify consumer  <file_name> : param type from string to map ;modify consumer  <file_name> : param type from string to map;param type from string to map
https://github.com/apache/dubbo/commit/d8db928d0a080767fe7ad4a3398d17ec39ec9614;fix :dubbo.properties cannot work on <iden> ;fix dubbo.properties cannot work on <iden>;dubbo.properties cannot work on <iden>
https://github.com/apache/dubbo/commit/1e6800bea49698c6d27b0ab05a1ffb15edff634b;seperate retry from  <file_name>  ;separate retry from <file_name>;
https://github.com/apache/dubbo/commit/336ffd1db4a65fb77285674821e86e7b9274e944;add unit test ;add unit test;
https://github.com/apache/dubbo/commit/103e0264b4e246cc74f05a99f8d293e970798694; <file_name> <enter> <url> ;\<file_name\> <enter> <url>;
https://github.com/apache/dubbo/commit/1352d4688d17c003434a5200db8cfd9693d61a41;Modify  <file_name> <enter> <url> ;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>
https://github.com/apache/dubbo/commit/0234dd23a95adb5dc90f5eb0f38f6c15c1473f07;Modify  <file_name> <enter> <url> ;Modify <file_name> <enter> <url>;
https://github.com/apache/dubbo/commit/10052d468760f2f952064289719286d3ba608693;Add <version>  <enter> < <file_name> > ;Add <version>  <enter> < <file_name> >;
https://github.com/apache/dubbo/commit/5f19335477a9ea4eb0af0dd0bdbe068b4e309edd;typo for  <file_name>  ( <pr_link> ) ;typo for <file_name> (<pr_link>);
https://github.com/apache/dubbo/commit/bd6e5f101ba5ddaa6bd4f153d694bf7dcf0c19d0;Class comment error ( <pr_link> ) ;Class comment error (<pr_link>);
https://github.com/apache/dubbo/commit/8798d3852ed0e9e82f037e89f9b8cd8b96a17e49;fix protocol register set false not work ( <pr_link> ) ;fix protocol register set false not work ( <pr_link> );not work
https://github.com/apache/dubbo/commit/6f6ef6c9f2100e6d9a69c0337601d766f5587dea;[dubbo-2766] fix the bug of <iden> method of  <file_name>  ( <pr_link>  <enter> ) ;Fix the bug of <iden> method of <file_name>  ;
https://github.com/apache/dubbo/commit/c0d62ed7a83347fa469c2b2a7d75287a5feb799b;[Dubbo-perf]: Reduce object allocation for  <method_name>  <iden>, <iden>, <iden>) ( <pr_link> ) ;Reduce object allocation for <method_name>;"-
None"
